osmid,oneway,name,highway,reversed,length,geometry,junction,ref,lanes,maxspeed
122204381,True,Necochea,residential,False,99.877,"LINESTRING (-65.3043489 -24.182054, -65.3042999 -24.1829511)",,,,
717781973,True,Salta,primary,False,136.732,"LINESTRING (-65.3043489 -24.182054, -65.3030269 -24.1822941)",,,,
652959810,True,Lavalle,residential,False,37.101,"LINESTRING (-65.3030269 -24.1822941, -65.3030413 -24.1819607)",,,,
717781973,True,Salta,primary,False,117.69999999999999,"LINESTRING (-65.3030269 -24.1822941, -65.3022272 -24.1824478, -65.30209 -24.1824762, -65.3020443 -24.1825028, -65.3020255 -24.1825231, -65.3019994 -24.1825539, -65.3019805 -24.182584, -65.3019695 -24.1826175)",,,,
288574680,True,,primary,False,7.299,"LINESTRING (-65.3015703 -24.1825589, -65.3016195 -24.182511)",circular,,,
122204319,True,General Güemes,residential,False,107.438,"LINESTRING (-65.3019728 -24.1827142, -65.3019988 -24.1827466, -65.3020344 -24.1827699, -65.3021115 -24.182778, -65.3023655 -24.1828045, -65.303002 -24.1828453)",,,,
"[698340326, 698340327]",True,,primary,False,33.617,"LINESTRING (-65.3019728 -24.1827142, -65.3019554 -24.1827603, -65.3019266 -24.1828013, -65.3018878 -24.1828348, -65.3018414 -24.1828589, -65.3017611 -24.1828732, -65.3017252 -24.182875)",circular,,,
122204319,True,General Güemes,residential,False,132.179,"LINESTRING (-65.303002 -24.1828453, -65.3042999 -24.1829511)",,,,
652959810,True,Lavalle,residential,False,61.343,"LINESTRING (-65.303002 -24.1828453, -65.3030269 -24.1822941)",,,,
122204381,True,Necochea,residential,False,134.06900000000002,"LINESTRING (-65.3042999 -24.1829511, -65.3042709 -24.1834336, -65.3042275 -24.184155)",,,,
122204379,True,Sarmiento,residential,False,77.713,"LINESTRING (-65.3002825 -24.1832612, -65.300236 -24.1839588)",,,,
122204385,True,Avenida General Justo Jose de Urquiza,primary,False,118.46400000000001,"LINESTRING (-65.3002825 -24.1832612, -65.2994671 -24.1835953, -65.2993918 -24.1836404, -65.2993447 -24.1837003, -65.2993083 -24.1837883)",,,,
"[698340324, 698340325]",True,,primary,False,16.930999999999997,"LINESTRING (-65.2993083 -24.1837883, -65.2992937 -24.1838283, -65.2992755 -24.1838557, -65.2992528 -24.1838745, -65.2992274 -24.1838856, -65.2992024 -24.1838943)",circular,,,
122204320,True,General Alvear,tertiary,False,105.106,"LINESTRING (-65.300236 -24.1839588, -65.2993065 -24.1839058, -65.2992024 -24.1838943)",,,,
122204379,True,Sarmiento,residential,False,142.417,"LINESTRING (-65.300236 -24.1839588, -65.3001561 -24.1851464, -65.3001305 -24.1852343)",,,,
122204320,True,General Alvear,tertiary,False,136.392,"LINESTRING (-65.3015773 -24.1840446, -65.3008872 -24.1840015, -65.3005343 -24.18398, -65.300236 -24.1839588)",,,,
122204374,True,General Otero,residential,False,130.597,"LINESTRING (-65.3015773 -24.1840446, -65.3016293 -24.1829889, -65.3016172 -24.1828717)",,,,
122204320,True,General Alvear,tertiary,False,136.853,"LINESTRING (-65.3029255 -24.1840909, -65.3015773 -24.1840446)",,,,
652959810,True,Lavalle,residential,False,138.722,"LINESTRING (-65.3029255 -24.1840909, -65.3029861 -24.1831036, -65.303002 -24.1828453)",,,,
122204320,True,General Alvear,tertiary,False,132.262,"LINESTRING (-65.3042275 -24.184155, -65.3029255 -24.1840909)",,,,
122204381,True,Necochea,residential,False,138.145,"LINESTRING (-65.3042275 -24.184155, -65.3041686 -24.1853962)",,,,
122204379,True,Sarmiento,residential,False,129.186,"LINESTRING (-65.3001305 -24.1852343, -65.300087 -24.1853342, -65.3000274 -24.1863871)",,,,
