osmid,oneway,name,highway,reversed,length,maxspeed,ref,geometry
117301836,False,Moreno,residential,True,167.617,,,"LINESTRING (-63.1557975 -37.6881616, -63.1576216 -37.6885959)"
117302425,True,Mitre,residential,False,121.723,40,,"LINESTRING (-63.1557975 -37.6881616, -63.1563109 -37.6891781)"
117302431,False,Sarmiento,secondary,True,130.534,,085-03,"LINESTRING (-63.1557975 -37.6881616, -63.1571695 -37.6877152)"
117302431,False,Sarmiento,secondary,False,118.63,,085-03,"LINESTRING (-63.1596702 -37.6868907, -63.1584258 -37.6873011)"
117302431,False,Sarmiento,secondary,True,22.03,,085-03,"LINESTRING (-63.1596702 -37.6868907, -63.1597946 -37.6868496, -63.1599012 -37.6868143)"
117300960,False,Maestro Rey,secondary,True,96.114,,085-03,"LINESTRING (-63.1599012 -37.6868143, -63.1609103 -37.6864835)"
117300968,True,Boulevard Hipólito Yrigoyen,tertiary,False,124.889,40,,"LINESTRING (-63.1599012 -37.6868143, -63.1604337 -37.6878554)"
117302431,False,Sarmiento,secondary,False,22.03,,085-03,"LINESTRING (-63.1599012 -37.6868143, -63.1597946 -37.6868496, -63.1596702 -37.6868907)"
117300956,False,25 de Mayo,residential,False,124.19,,,"LINESTRING (-63.1609103 -37.6864835, -63.1614673 -37.6875097)"
117300960,False,Maestro Rey,secondary,False,96.114,,085-03,"LINESTRING (-63.1609103 -37.6864835, -63.1599012 -37.6868143)"
117300960,False,Maestro Rey,secondary,True,141.927,,085-03,"LINESTRING (-63.1609103 -37.6864835, -63.1623999 -37.6859941)"
117302426,True,Doctor Magadán,residential,False,32.409,,,"LINESTRING (-63.161465 -37.6886502, -63.1618104 -37.688549)"
950207690,True,Italia,tertiary,False,24.975,,,"LINESTRING (-63.161465 -37.6886502, -63.1615721 -37.6888582)"
117300960,False,Maestro Rey,secondary,False,119.261,,085-03,"LINESTRING (-63.1649142 -37.6851641, -63.1636605 -37.6855715)"
117300976,True,Las Heras,residential,False,125.355,,,"LINESTRING (-63.1649142 -37.6851641, -63.1654835 -37.6861975)"
