osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,junction
392539476,True,Omar Carrasco,residential,40,False,14.923,,"LINESTRING (-60.6662292 -32.955638, -60.666189 -32.9555081)",
392539477,True,Avenida Presidente Perón,secondary,60,False,138.578,2,"LINESTRING (-60.6662292 -32.955638, -60.6650184 -32.9555047, -60.6648045 -32.9554844, -60.664756 -32.9554798)",
161563982,True,Cerrito,residential,40,False,127.866,2,"LINESTRING (-60.666703 -32.9574688, -60.6653623 -32.9577072)",
330169528,True,Omar Carrasco,residential,40,False,64.501,2,"LINESTRING (-60.666703 -32.9574688, -60.6665668 -32.9569001)",
330169528,True,Omar Carrasco,residential,40,False,132.602,2,"LINESTRING (-60.666996 -32.9586357, -60.666703 -32.9574688)",
23764830,True,Riobamba,residential,40,False,130.273,1,"LINESTRING (-60.6656246 -32.9588559, -60.666996 -32.9586357)",
525708017,True,Avenida Ovidio Lagos,secondary,50,False,74.535,2,"LINESTRING (-60.6656246 -32.9588559, -60.6657221 -32.9595212)",
474914158,True,Avenida Ovidio Lagos,secondary,50,False,132.753,2,"LINESTRING (-60.6660596 -32.9611445, -60.666322 -32.9623179)",
386272978,True,Avenida Ovidio Lagos,secondary,50,False,66.169,2,"LINESTRING (-60.6657993 -32.9600485, -60.6659379 -32.9606321)",
329980788,True,Avenida Dante Alighieri,residential,40,False,64.66,1,"LINESTRING (-60.6657993 -32.9600485, -60.6657255 -32.9600844, -60.6651286 -32.9601803)",
277829599,True,Avenida Ovidio Lagos,secondary,50,False,130.053,3,"LINESTRING (-60.6653623 -32.9577072, -60.6656246 -32.9588559)",
277626265,True,Avenida Daniel Infante,residential,40,False,68.36500000000001,,"LINESTRING (-60.6631127 -32.9555269, -60.663117 -32.9557778, -60.66294 -32.95611)",
116655077,True,Avenida Daniel Infante,residential,40,False,190.531,4,"LINESTRING (-60.66294 -32.95611, -60.6627614 -32.9563262, -60.66245 -32.9566, -60.6621564 -32.9567861, -60.6617613 -32.9569304, -60.6615326 -32.9569928, -60.6613315 -32.9570999)",
501029132,True,Avenida Intendente Morcillo,residential,40,False,9.438,,"LINESTRING (-60.6603767 -32.9549969, -60.6604757 -32.9549795)",
23765582,True,Avenida Dante Alighieri,residential,40,False,283.389,2,"LINESTRING (-60.6594432 -32.9583955, -60.6589502 -32.9586702, -60.658705 -32.9588213, -60.6585096 -32.9589598, -60.6582409 -32.9591978, -60.6580659 -32.9594373, -60.6579356 -32.9596406, -60.6578059 -32.959896, -60.6577478 -32.9600637, -60.6576807 -32.9602417, -60.6575733 -32.9602928)",
23765660,False,Avenida Isaac Newell,residential,40,True,238.681,4,"LINESTRING (-60.6594432 -32.9583955, -60.6596305 -32.9583482, -60.6598597 -32.9582826, -60.6601323 -32.9581871, -60.660419 -32.958067, -60.6606056 -32.9579436, -60.6607544 -32.9578366, -60.6608674 -32.9577511, -60.6609757 -32.9576564, -60.6610614 -32.9575282, -60.6611138 -32.9573789, -60.6611701 -32.9572699, -60.6612399 -32.9571799, -60.6613315 -32.9570999)",
"[394950369, 23765666]",False,Lorenzo Lugones,residential,40,False,164.063,4,"LINESTRING (-60.6594432 -32.9583955, -60.6591909 -32.9584061, -60.6589307 -32.9584321, -60.658465 -32.9584506, -60.6581873 -32.9584313, -60.6579222 -32.9583773, -60.6577067 -32.9583198)",
