osmid,oneway,highway,junction,reversed,length,geometry,name,lanes,maxspeed,ref
369952976,True,secondary,roundabout,False,13.015,"LINESTRING (-68.3273596 -34.610856, -68.3274044 -34.6108688, -68.3274437 -34.6108907, -68.3274749 -34.61092)",,,,
90356675,True,residential,,False,127.897,"LINESTRING (-68.3318793 -34.6142579, -68.3324048 -34.6153237)",Comandante Salas,,,
487080946,True,residential,,False,118.874,"LINESTRING (-68.3318793 -34.6142579, -68.3330825 -34.613855)",Chile,2,40,
90356736,True,residential,,False,122.693,"LINESTRING (-68.3330825 -34.613855, -68.332581 -34.6128317)",Bombal,,,
487080946,True,residential,,False,119.201,"LINESTRING (-68.3330825 -34.613855, -68.3342846 -34.6134422)",Chile,2,40,
90356755,True,residential,,False,119.917,"LINESTRING (-68.3264212 -34.6149283, -68.3252023 -34.6153242)",Francia,,,
90356807,True,residential,,False,120.476,"LINESTRING (-68.3264212 -34.6149283, -68.3269161 -34.6159323)",Alem,,,
90356807,True,residential,,False,127.963,"LINESTRING (-68.3269161 -34.6159323, -68.3274351 -34.6170009)",Alem,,,
300107629,True,residential,,False,122.933,"LINESTRING (-68.3269161 -34.6159323, -68.3281597 -34.6155142)",Olascoaga,,,
90356834,True,residential,,False,128.361,"LINESTRING (-68.3342846 -34.6134422, -68.3348113 -34.6145121)",Buenos Aires,,,
487080946,True,residential,,False,122.919,"LINESTRING (-68.3342846 -34.6134422, -68.3355326 -34.6130335)",Chile,2,40,
90356675,True,residential,,False,127.156,"LINESTRING (-68.3298661 -34.610177, -68.3303889 -34.6112365)",Comandante Salas,,,
106559913,False,secondary,,False,119.437,"LINESTRING (-68.3298661 -34.610177, -68.3310728 -34.6097679)",Avenida Rivadavia,,,
106559913,False,secondary,,True,121.543,"LINESTRING (-68.3298661 -34.610177, -68.3286383 -34.6105937)",Avenida Rivadavia,,,
90356736,True,residential,,False,126.299,"LINESTRING (-68.3310728 -34.6097679, -68.3305492 -34.608717)",Bombal,,,
106559913,False,secondary,,False,115.727,"LINESTRING (-68.3310728 -34.6097679, -68.3322406 -34.6093687)",Avenida Rivadavia,,,
106559913,False,secondary,,True,119.437,"LINESTRING (-68.3310728 -34.6097679, -68.3298661 -34.610177)",Avenida Rivadavia,,,
90356609,True,residential,,False,124.722,"LINESTRING (-68.3316919 -34.6167827, -68.3311808 -34.6157429)",Avellaneda,,,
106559913,False,secondary,,False,121.543,"LINESTRING (-68.3286383 -34.6105937, -68.3298661 -34.610177)",Avenida Rivadavia,,,
123121278,True,residential,,False,127.496,"LINESTRING (-68.3286383 -34.6105937, -68.328124 -34.6095281)",Carlos Pellegrini,,,
106559913,False,secondary,,True,73.01,"LINESTRING (-68.3286383 -34.6105937, -68.3280728 -34.6107757, -68.3278953 -34.6108328)",Avenida Rivadavia,,,
106559913,False,secondary,,True,124.66,"LINESTRING (-68.3335014 -34.6089444, -68.3322406 -34.6093687)",Avenida Rivadavia,,,
369954883,False,secondary,,False,127.783,"LINESTRING (-68.3335014 -34.6089444, -68.3347924 -34.6085067)",Avenida Rivadavia,,,
369954884,False,tertiary,,False,127.569,"LINESTRING (-68.3335014 -34.6089444, -68.3340275 -34.6100068)",Avenida Moreno,,,
90356675,True,residential,,False,119.237,"LINESTRING (-68.3303889 -34.6112365, -68.3308789 -34.6122301)",Comandante Salas,,,
