osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,tunnel
50855012,Calle 215,residential,40,False,False,11.754,,,"LINESTRING (-58.2184773 -34.8062534, -58.2183646 -34.8062023)",
50855012,Calle 215,residential,40,False,True,139.314,,,"LINESTRING (-58.2173037 -34.8053018, -58.2183646 -34.8062023)",
174644236,Camino General Belgrano,secondary,60,False,False,14.083,2,RP14,"LINESTRING (-58.2173037 -34.8053018, -58.2171742 -34.8053706)",
174644236,Camino General Belgrano,secondary,60,False,True,105.407,2,RP14,"LINESTRING (-58.2173037 -34.8053018, -58.2182589 -34.8047694)",
50855013,Calle 215,residential,40,False,False,89.776,,,"LINESTRING (-58.2171742 -34.8053706, -58.2166075 -34.8047108)",
174644236,Camino General Belgrano,secondary,60,False,False,118.347,2,RP14,"LINESTRING (-58.2171742 -34.8053706, -58.2160961 -34.8059615)",
174644236,Camino General Belgrano,secondary,60,False,True,14.083,2,RP14,"LINESTRING (-58.2171742 -34.8053706, -58.2173037 -34.8053018)",
50855013,Calle 215,residential,40,False,False,45.986,,,"LINESTRING (-58.2163049 -34.8043585, -58.2159736 -34.804047)",
50855013,Calle 215,residential,40,False,True,47.937,,,"LINESTRING (-58.2163049 -34.8043585, -58.2166075 -34.8047108)",
174011770,Avenida Dardo Rocha,secondary,60,False,False,110.25899999999999,2,120-03,"LINESTRING (-58.2163049 -34.8043585, -58.2160772 -34.8048046, -58.2158265 -34.8052689)",
174011770,Avenida Dardo Rocha,secondary,60,False,True,119.082,2,120-03,"LINESTRING (-58.2163049 -34.8043585, -58.2163733 -34.8042064, -58.2164264 -34.8040824, -58.2164877 -34.8039274, -58.2165773 -34.8036317, -58.2166669 -34.8033309)",
436645947,Avenida Doctor Luis Agote,residential,40,False,False,175.079,,,"LINESTRING (-58.2110635 -34.802959, -58.2118623 -34.8043904)",
1082749799,Calle 262,residential,,False,False,96.554,,,"LINESTRING (-58.2110635 -34.802959, -58.2117956 -34.8023324)",
436645947,Avenida Doctor Luis Agote,residential,40,False,True,179.08599999999998,,,"LINESTRING (-58.2110635 -34.802959, -58.2103091 -34.8016128, -58.2102564 -34.8015188, -58.2102439 -34.8014958)",
174644232,Calle 258,residential,,False,True,23.861,,,"LINESTRING (-58.2180381 -34.802334, -58.2178439 -34.8024776)",
136714893,Ángel Cabrera,residential,40,False,False,88.577,,,"LINESTRING (-58.2176583 -34.8081275, -58.2180557 -34.8088542)",
549371378,Papa Francisco,secondary,60,True,False,104.95,2,,"LINESTRING (-58.2176583 -34.8081275, -58.2165495 -34.8083765)",
232585266,Intendente Nicolás Milazzo,tertiary,,False,False,124.488,,,"LINESTRING (-58.2106654 -34.8103972, -58.2098382 -34.8095072)",
548445187,Papa Francisco,secondary,60,True,False,92.288,2,,"LINESTRING (-58.2106654 -34.8103972, -58.2115372 -34.8099771)",
136604260,Calle 259,residential,40,False,True,87.139,,,"LINESTRING (-58.2087771 -34.8083178, -58.2095306 -34.8078368)",
136604261,Avenida Intendente Nicolás Milazzo,tertiary,40,False,False,163.941,2,,"LINESTRING (-58.2087771 -34.8083178, -58.2098382 -34.8095072)",
136604261,Avenida Intendente Nicolás Milazzo,tertiary,40,False,True,163.941,2,,"LINESTRING (-58.2098382 -34.8095072, -58.2087771 -34.8083178)",
232585266,Intendente Nicolás Milazzo,tertiary,,False,True,124.488,,,"LINESTRING (-58.2098382 -34.8095072, -58.2106654 -34.8103972)",
548445189,Camino General Belgrano,secondary,60,False,True,168.33,2,RP14,"LINESTRING (-58.2098382 -34.8095072, -58.2113087 -34.808594)",
58281251,Calle 221,residential,40,False,False,165.322,,,"LINESTRING (-58.2113087 -34.808594, -58.2102087 -34.807413)",
548445181,Calle 221,residential,40,False,True,134.794,,,"LINESTRING (-58.2113087 -34.808594, -58.2122099 -34.8095542)",
548445189,Camino General Belgrano,secondary,60,False,False,168.33,2,RP14,"LINESTRING (-58.2113087 -34.808594, -58.2098382 -34.8095072)",
"[548445188, 548445189]",Camino General Belgrano,secondary,"['60', '30']",False,True,187.42000000000002,2,RP14,"LINESTRING (-58.2113087 -34.808594, -58.2121324 -34.8081106, -58.2129969 -34.8076354)",
58281251,Calle 221,residential,40,False,True,199.355,,,"LINESTRING (-58.2080412 -34.8050437, -58.2093488 -34.8064795)",
136604273,Calle 262,residential,,False,True,168.93,,,"LINESTRING (-58.2080412 -34.8050437, -58.209531 -34.8041428)",
136714892,Domingo Martínez de Irala,residential,40,False,False,102.069,,,"LINESTRING (-58.2183927 -34.8094661, -58.2173778 -34.8098511)",
136714893,Ángel Cabrera,residential,40,False,True,74.673,,,"LINESTRING (-58.2183927 -34.8094661, -58.2180557 -34.8088542)",
58284580,Sebastián Gaboto,residential,40,False,True,103.491,,,"LINESTRING (-58.2180557 -34.8088542, -58.2170205 -34.8092334)",
136714893,Ángel Cabrera,residential,40,False,False,74.673,,,"LINESTRING (-58.2180557 -34.8088542, -58.2183927 -34.8094661)",
136714893,Ángel Cabrera,residential,40,False,True,88.577,,,"LINESTRING (-58.2180557 -34.8088542, -58.2176583 -34.8081275)",
58284572,Calle 217,tertiary,40,False,True,150.611,,,"LINESTRING (-58.2160206 -34.8079388, -58.2149113 -34.8069363)",
1230404661,Calle 255,residential,40,False,True,157.624,,,"LINESTRING (-58.2160206 -34.8079388, -58.2172959 -34.8069833)",
58284572,Calle 217,tertiary,40,False,False,43.105,,,"LINESTRING (-58.2160206 -34.8079388, -58.2160488 -34.8079778, -58.2161498 -34.8083099)",
58284573,Santa Lucía,residential,40,False,True,131.302,,,"LINESTRING (-58.2149744 -34.8100094, -58.2143847 -34.8089324)",
58284580,Sebastián Gaboto,residential,40,False,False,104.402,,,"LINESTRING (-58.2149744 -34.8100094, -58.2160092 -34.8096098)",
174011770,Avenida Dardo Rocha,secondary,60,False,True,44.232,2,120-03,"LINESTRING (-58.2152214 -34.806408, -58.2154126 -34.8060425)",
174644236,Camino General Belgrano,secondary,60,False,False,43.431,2,RP14,"LINESTRING (-58.2152214 -34.806408, -58.2148301 -34.8066301)",
174644236,Camino General Belgrano,secondary,60,False,True,94.036,2,RP14,"LINESTRING (-58.2152214 -34.806408, -58.2160961 -34.8059615)",
606130440,Avenida Dardo Rocha,secondary,60,False,False,65.211,2,,"LINESTRING (-58.2152214 -34.806408, -58.2149113 -34.8069363)",
58284576,Calle 216,residential,40,False,False,157.825,,,"LINESTRING (-58.2160961 -34.8059615, -58.2172959 -34.8069833)",
174644236,Camino General Belgrano,secondary,60,False,False,94.036,2,RP14,"LINESTRING (-58.2160961 -34.8059615, -58.2152214 -34.806408)",
174644236,Camino General Belgrano,secondary,60,False,True,118.347,2,RP14,"LINESTRING (-58.2160961 -34.8059615, -58.2171742 -34.8053706)",
58284572,Calle 217,tertiary,40,False,False,150.611,,,"LINESTRING (-58.2149113 -34.8069363, -58.2160206 -34.8079388)",
606130440,Avenida Dardo Rocha,secondary,60,False,True,65.211,2,,"LINESTRING (-58.2149113 -34.8069363, -58.2152214 -34.806408)",
1163528639,Avenida Dardo Rocha,tertiary,40,False,False,219.06099999999998,2,,"LINESTRING (-58.2149113 -34.8069363, -58.2140739 -34.8082703, -58.214273 -34.8087102)",
174644223,Calle 213,residential,,False,False,94.931,,,"LINESTRING (-58.2171409 -34.8018486, -58.2178439 -34.8024776)",
174011770,Avenida Dardo Rocha,secondary,60,False,False,75.02000000000001,2,120-03,"LINESTRING (-58.2171409 -34.8018486, -58.2170467 -34.8020053, -58.2169954 -34.8021109, -58.2169564 -34.8022165, -58.2168651 -34.802482)",
174011770,Avenida Dardo Rocha,secondary,60,False,False,96.113,2,120-03,"LINESTRING (-58.2168651 -34.802482, -58.2166669 -34.8033309)",
174011770,Avenida Dardo Rocha,secondary,60,False,True,75.02,2,120-03,"LINESTRING (-58.2168651 -34.802482, -58.2169564 -34.8022165, -58.2169954 -34.8021109, -58.2170467 -34.8020053, -58.2171409 -34.8018486)",
174644225,Calle 214,residential,,False,True,57.122,,,"LINESTRING (-58.2168651 -34.802482, -58.216988 -34.8025873, -58.2172742 -34.8028703)",
174644233,Calle 259,residential,40,False,True,178.20399999999998,,,"LINESTRING (-58.2168651 -34.802482, -58.2167836 -34.8024778, -58.216688 -34.8025028, -58.2154138 -34.8035113)",
