osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width
404846755,True,3,063-04,Avenida Hipólito Yrigoyen,primary,60,False,136.944,"LINESTRING (-58.4025061 -34.7604301, -58.4022524 -34.7592163)",
28133403,True,2,,Francisco Narciso de Laprida,residential,40,False,8.429,"LINESTRING (-58.4025061 -34.7604301, -58.4025593 -34.7604245, -58.4025975 -34.7604198)",
28002006,True,2,,Domingo Faustino Sarmiento,residential,40,False,132.81,"LINESTRING (-58.4040043 -34.7602441, -58.4042486 -34.7614215)",
28133403,True,2,,Francisco Narciso de Laprida,residential,40,False,129.612,"LINESTRING (-58.4040043 -34.7602441, -58.4054062 -34.7600646)",
28022133,True,1,,Félix de Azara,residential,40,False,141.128,"LINESTRING (-58.4054062 -34.7600646, -58.4051484 -34.7588132)",
28133403,True,2,,Francisco Narciso de Laprida,residential,40,False,145.98,"LINESTRING (-58.4054062 -34.7600646, -58.4069813 -34.7598432)",
28002103,True,1,,Simón Bolívar,residential,,False,129.669,"LINESTRING (-58.4069813 -34.7598432, -58.4072188 -34.7609929)",
481283843,True,3,063-04,Avenida Hipólito Yrigoyen,primary,60,False,132.18,"LINESTRING (-58.4027578 -34.7616007, -58.4025061 -34.7604301)",
304127371,True,2,,José Ignacio Gorriti,residential,40,False,129.631,"LINESTRING (-58.4042486 -34.7614215, -58.4028449 -34.7615925)",
734086217,True,,,Saavedra,residential,,False,130.312,"LINESTRING (-58.405647 -34.7612197, -58.4054062 -34.7600646)",
734086218,True,1,,José Ignacio Gorriti,residential,40,False,129.7,"LINESTRING (-58.405647 -34.7612197, -58.4042486 -34.7614215)",
734697861,True,1,,José Ignacio Gorriti,residential,40,False,145.783,"LINESTRING (-58.4072188 -34.7609929, -58.405647 -34.7612197)",
239376622,True,,,Carlos Pellegrini,residential,40,False,123.009,"LINESTRING (-58.3980383 -34.7597687, -58.3977941 -34.7586808)",
283817611,True,2,,Mariano Boedo,tertiary,,False,127.647,"LINESTRING (-58.3980383 -34.7597687, -58.3994184 -34.7595891)",
734034574,True,2,,Leandro N. Alem,residential,40,False,136.759,"LINESTRING (-58.3994184 -34.7595891, -58.3991346 -34.7583815)",9
283817611,True,2,,Mariano Boedo,tertiary,,False,133.687,"LINESTRING (-58.3994184 -34.7595891, -58.4003453 -34.7594685, -58.4008638 -34.759401)",
283817611,True,2,,Mariano Boedo,tertiary,,False,128.504,"LINESTRING (-58.4008638 -34.759401, -58.4022524 -34.7592163)",
283889430,True,3,063-04,Avenida Hipólito Yrigoyen,primary,60,False,137.712,"LINESTRING (-58.4022524 -34.7592163, -58.4019944 -34.7579961)",
396636415,True,2,,Mariano Boedo,tertiary,,False,8.322,"LINESTRING (-58.4022524 -34.7592163, -58.402343 -34.7592085)",
283889445,True,,,Senador Manuel Castro,residential,40,False,138.964,"LINESTRING (-58.4037378 -34.7590137, -58.4040043 -34.7602441)",
283889446,True,2,,Mariano Boedo,residential,40,False,130.777,"LINESTRING (-58.4037378 -34.7590137, -58.4051484 -34.7588132)",
28022133,True,1,,Félix de Azara,residential,40,False,137.326,"LINESTRING (-58.4051484 -34.7588132, -58.4049072 -34.7575942)",
