osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,width,tunnel
28166213,24 de Septiembre,residential,False,True,108.815,,,"LINESTRING (-71.314611 -41.1373421, -71.3133583 -41.137602)",,,
1199655363,Martín Miguel de Güemes,residential,False,False,146.551,,,"LINESTRING (-71.314611 -41.1373421, -71.3142994 -41.1360452)",,,
321518929,20 de Febrero,primary,True,False,21.234,2,40,"LINESTRING (-71.31249 -41.1377709, -71.3124251 -41.1375863)",,,
28166213,24 de Septiembre,residential,False,False,75.103,,,"LINESTRING (-71.31249 -41.1377709, -71.3126587 -41.1377399, -71.3133583 -41.137602)",,,
279678667,20 de Febrero,primary,True,False,103.65,2,40,"LINESTRING (-71.3124251 -41.1375863, -71.3123855 -41.1374781, -71.3121991 -41.1366703)",,,
"[321518931, 321518933]",24 de Septiembre,residential,False,False,163.991,,,"LINESTRING (-71.3124251 -41.1375863, -71.3121675 -41.1376122, -71.311731 -41.1376545, -71.3106797 -41.137769, -71.3104857 -41.1377901)",,,
28214640,Juan José Paso,residential,True,False,218.39900000000003,,,"LINESTRING (-71.3122402 -41.1365363, -71.3122836 -41.1363573, -71.3124016 -41.1359432, -71.3124499 -41.1357594, -71.3125207 -41.1356098, -71.3125925 -41.1354936, -71.3126643 -41.1353985, -71.3127725 -41.1352963, -71.3129515 -41.1351634, -71.3131205 -41.1350631, -71.3132827 -41.13499, -71.3134643 -41.1349274)",,,
288728522,Manuel Belgrano,primary,True,False,170.389,2,40,"LINESTRING (-71.3122402 -41.1365363, -71.3124932 -41.1365073, -71.3126878 -41.1364875, -71.3129303 -41.1364299, -71.314116 -41.1359794)",,,
279678637,20 de Febrero,residential,True,False,117.047,,,"LINESTRING (-71.3111949 -41.1355615, -71.3112556 -41.1355914, -71.3113132 -41.1356248, -71.3113655 -41.1356667, -71.3114354 -41.1357339, -71.3120387 -41.1363928)",,,
1199655363,Martín Miguel de Güemes,residential,False,True,12.197,,,"LINESTRING (-71.3142755 -41.135937, -71.3142994 -41.1360452)",,,
229246919,Martín Miguel de Güemes,residential,False,True,45.581,,,"LINESTRING (-71.3142755 -41.135937, -71.3142276 -41.135814, -71.3142204 -41.135756, -71.3142226 -41.1356874, -71.3142545 -41.1355344)",,,
"[321518931, 321518933]",24 de Septiembre,residential,False,True,163.991,,,"LINESTRING (-71.3104857 -41.1377901, -71.3106797 -41.137769, -71.311731 -41.1376545, -71.3121675 -41.1376122, -71.3124251 -41.1375863)",,,
646575391,Avenida Ángel Gallardo,primary,False,False,118.269,2,40,"LINESTRING (-71.310303 -41.1367248, -71.3089029 -41.136864)",,,
229250782,Emilio B. Morales,residential,True,False,119.44,,,"LINESTRING (-71.310303 -41.1367248, -71.3104734 -41.1377184, -71.3104857 -41.1377901)",,,
1230847346,Avenida Manuel Belgrano,primary,False,True,141.137,2,40,"LINESTRING (-71.310303 -41.1367248, -71.3105399 -41.1367005, -71.3119424 -41.1365567, -71.3119729 -41.1365536)",,,
263882970,Avenida Perito Moreno,secondary,True,False,92.842,2,,"LINESTRING (-71.3085099 -41.1347423, -71.3096085 -41.1346305)",,,
698939154,Gobernador León Quaglia,residential,True,False,119.095,2,40,"LINESTRING (-71.3085099 -41.1347423, -71.3084174 -41.1342242, -71.3083531 -41.1338634, -71.3083205 -41.1336808)",,,
646575391,Avenida Ángel Gallardo,primary,False,True,118.269,2,40,"LINESTRING (-71.3089029 -41.136864, -71.310303 -41.1367248)",,,
1251759783,Gobernador León Quaglia,residential,True,False,119.007,,,"LINESTRING (-71.3089029 -41.136864, -71.3087105 -41.1358036)",,,
313175703,Avenida Ángel Gallardo,primary,False,False,119.47999999999999,2,40,"LINESTRING (-71.3089029 -41.136864, -71.3084921 -41.1369072, -71.3074899 -41.1370126)",,,
28166219,Gobernador León Quaglia,residential,True,False,119.203,,,"LINESTRING (-71.3087105 -41.1358036, -71.3086318 -41.1353695, -71.308533 -41.134861, -71.3085099 -41.1347423)",,,
313172258,Ada María Elflein,residential,True,False,119.826,,,"LINESTRING (-71.3087105 -41.1358036, -71.3085059 -41.135824, -71.307422 -41.1359318, -71.307292 -41.1359447)",,,
