osmid,lanes,highway,junction,oneway,reversed,length,geometry,name,maxspeed
298319910,1,residential,roundabout,True,False,23.965999999999998,"LINESTRING (-58.1836312 -34.8378011, -58.1835952 -34.8378325, -58.1835499 -34.8378543, -58.183499 -34.8378648, -58.1834465 -34.8378632, -58.1833967 -34.8378495)",,
298319910,1,residential,roundabout,True,False,17.003,"LINESTRING (-58.1833967 -34.8378495, -58.1833466 -34.8378193, -58.1833115 -34.8377773, -58.1832953 -34.8377281)",,
341158178,2,tertiary,,False,True,42.298,"LINESTRING (-58.1818093 -34.8350409, -58.181654 -34.8346825)",Calle 416,40
51889331,2,residential,,False,True,51.625,"LINESTRING (-58.1818093 -34.8350409, -58.181602 -34.8349855, -58.1813571 -34.834783)",Calle 417,40
58281994,,residential,,False,False,95.076,"LINESTRING (-58.1818093 -34.8350409, -58.1815908 -34.8351079, -58.1808334 -34.83534)",Calle 455,40
341158178,2,tertiary,,False,False,47.515,"LINESTRING (-58.1818093 -34.8350409, -58.1818893 -34.8352075, -58.1819106 -34.8352494, -58.18192 -34.835267, -58.1820092 -34.8354354)",Calle 416,40
298319904,2,residential,,False,True,117.193,"LINESTRING (-58.1825399 -34.8365452, -58.1837358 -34.8361614)",Calle 454,40
298319898,2,residential,,False,True,124.876,"LINESTRING (-58.1825399 -34.8365452, -58.1821211 -34.8356144, -58.1820908 -34.835486)",Calle 416,40
298319899,2,residential,,False,False,140.144,"LINESTRING (-58.1825399 -34.8365452, -58.1827007 -34.8368537, -58.1828924 -34.837147, -58.1833542 -34.8376017)",Calle 416,
298319905,2,residential,,False,False,86.39500000000001,"LINESTRING (-58.1825399 -34.8365452, -58.1823304 -34.8366268, -58.1821479 -34.8367453, -58.1819571 -34.8368213, -58.181761 -34.8368415, -58.1816892 -34.8368345)",Calle 454,
298319899,2,residential,,False,True,140.144,"LINESTRING (-58.1833542 -34.8376017, -58.1828924 -34.837147, -58.1827007 -34.8368537, -58.1825399 -34.8365452)",Calle 416,
298319910,1,residential,roundabout,True,False,17.487000000000002,"LINESTRING (-58.1833542 -34.8376017, -58.1834079 -34.8375734, -58.1834702 -34.8375617, -58.1835336 -34.8375681)",,
51890640,2,residential,,False,True,158.334,"LINESTRING (-58.1844929 -34.8337604, -58.1838635 -34.8324335)",Calle 413 A,40
341158181,2,tertiary,,False,False,85.13,"LINESTRING (-58.1844929 -34.8337604, -58.185261 -34.8335045, -58.1853573 -34.8334728)",Calle 455,40
341158181,2,tertiary,,False,True,73.65400000000001,"LINESTRING (-58.1844929 -34.8337604, -58.1844341 -34.833779, -58.1837397 -34.8339982)",Calle 455,40
51890641,2,residential,,False,True,155.632,"LINESTRING (-58.1837397 -34.8339982, -58.18311 -34.8326975)",Calle 414,40
341158181,2,tertiary,,False,True,68.715,"LINESTRING (-58.1837397 -34.8339982, -58.1830398 -34.8342259)",Calle 455,40
341158181,2,tertiary,,False,False,73.65400000000001,"LINESTRING (-58.1837397 -34.8339982, -58.1844341 -34.833779, -58.1844929 -34.8337604)",Calle 455,40
51890646,2,residential,,False,True,120.05,"LINESTRING (-58.1908422 -34.8321041, -58.190373 -34.8310955)",Calle 409,
183586479,2,tertiary,,False,False,157.959,"LINESTRING (-58.1908422 -34.8321041, -58.1903995 -34.8322492, -58.1892349 -34.8326308)",Calle 455,60
136748318,2,residential,,False,False,109.966,"LINESTRING (-58.1847939 -34.8296148, -58.1859073 -34.829237)",Calle 459,
136748318,2,residential,,False,True,109.195,"LINESTRING (-58.1847939 -34.8296148, -58.1836811 -34.8299753)",Calle 459,
136748318,2,residential,,False,True,109.966,"LINESTRING (-58.1859073 -34.829237, -58.1847939 -34.8296148)",Calle 459,
536385857,2,residential,,False,False,105.271,"LINESTRING (-58.1859073 -34.829237, -58.1863456 -34.8301127)",Calle 411,40
536385861,2,residential,,False,False,67.195,"LINESTRING (-58.182262 -34.8294261, -58.1817613 -34.8298691)",Camino Real,
