osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,junction,bridge
1102457143,True,2,Avenida del Libertador General San Martín,secondary,False,27.071,"LINESTRING (-58.5819268 -34.4218998, -58.5821165 -34.4217133)",,,,
474421132,True,2,General Lavalle,tertiary,False,153.792,"LINESTRING (-58.5819268 -34.4218998, -58.5818609 -34.4218136, -58.5812142 -34.421197, -58.5810134 -34.4210101, -58.5808454 -34.4208443)",,,,
958854313,True,1,Montes de Oca,residential,False,114.275,"LINESTRING (-58.5785647 -34.4242641, -58.5791528 -34.4251701)",40,,,
958854312,True,2,Avenida Daniel M. Cazón,secondary,False,146.201,"LINESTRING (-58.5785647 -34.4242641, -58.5780913 -34.4246433, -58.577437 -34.4251932)",40,,,
137012016,True,,Sarmiento,residential,False,134.636,"LINESTRING (-58.5762866 -34.4261197, -58.5771944 -34.4270712)",40,,,
958853993,False,,Sarmiento,residential,True,5.028,"LINESTRING (-58.5762866 -34.4261197, -58.576249 -34.4260868)",,,,
26959499,True,2,Avenida Intendente Ubieto,secondary,False,37.284,"LINESTRING (-58.5815511 -34.422802, -58.5814407 -34.4227808, -58.58134 -34.4227702, -58.5812545 -34.4227685, -58.5811502 -34.4227845)",60,RNA003,,
189877773,True,2,General Bartolomé Mitre,tertiary,False,9.647,"LINESTRING (-58.579853 -34.4220824, -58.5799357 -34.4220288)",,,,
383397070,False,2,Avenida Italia,tertiary,True,116.39999999999999,"LINESTRING (-58.579853 -34.4220824, -58.579729 -34.4221468, -58.5787638 -34.4226195)",,,,
799745173,False,4,General Bartolomé Mitre,residential,False,143.396,"LINESTRING (-58.579853 -34.4220824, -58.5797292 -34.4219977, -58.5793592 -34.4216655, -58.5791501 -34.4214674, -58.5789345 -34.421215, -58.5788536 -34.4210984)",40,,,
26959507,True,2,Avenida del Libertador General San Martín,secondary,False,78.037,"LINESTRING (-58.5858062 -34.4195531, -58.5857402 -34.4196425, -58.5856262 -34.4197232, -58.5851767 -34.4200172)",,,,
262135741,False,4,Avenida del Libertador General San Martín,secondary,True,47.965,"LINESTRING (-58.5858062 -34.4195531, -58.5860117 -34.4194588, -58.5862631 -34.4193433)",,,,
262135741,False,4,Avenida del Libertador General San Martín,secondary,False,47.965,"LINESTRING (-58.5862631 -34.4193433, -58.5860117 -34.4194588, -58.5858062 -34.4195531)",,,,
969561511,False,,Belgrano,residential,False,102.882,"LINESTRING (-58.5862631 -34.4193433, -58.586261 -34.4198835, -58.5862856 -34.420268)",40,,,
969561511,False,,Belgrano,residential,True,102.882,"LINESTRING (-58.5862856 -34.420268, -58.586261 -34.4198835, -58.5862631 -34.4193433)",40,,,
701190206,True,,Tacuarí,residential,False,13.997,"LINESTRING (-58.5850975 -34.4199096, -58.5851767 -34.4200172)",40,,,
208688197,True,2,Avenida del Libertador General San Martín,secondary,False,77.07000000000001,"LINESTRING (-58.5850975 -34.4199096, -58.5855659 -34.419618, -58.5856744 -34.4195815, -58.5858062 -34.4195531)",,,,
26959521,True,,Eduardo Madero,residential,False,76.623,"LINESTRING (-58.5800684 -34.4200599, -58.5807064 -34.4196151)",40,,,
57953903,True,,Vicente López,residential,False,130.287,"LINESTRING (-58.581697 -34.4189182, -58.5824116 -34.419641, -58.5826048 -34.4198191)",40,,,
269058306,False,,Eduardo Madero,residential,False,123.455,"LINESTRING (-58.581697 -34.4189182, -58.5826586 -34.418296, -58.5827573 -34.4182344)",40,,,
