osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge
615928694,True,,Leandro N. Alem,residential,,False,140.588,"LINESTRING (-60.2136663 -33.3291708, -60.2148546 -33.328388)",,
635746644,True,2,Carlos Pellegrini,residential,,False,75.668,"LINESTRING (-60.2136663 -33.3291708, -60.2131377 -33.3286531)",,
618706935,True,2,Carlos Pellegrini,residential,,False,141.889,"LINESTRING (-60.2164172 -33.332063, -60.2154849 -33.3310523)",,
618706935,True,2,Carlos Pellegrini,residential,,False,140.505,"LINESTRING (-60.2154849 -33.3310523, -60.2145385 -33.3300667)",,
635398684,True,2,Italia,tertiary,40,False,139.703,"LINESTRING (-60.2154849 -33.3310523, -60.2166412 -33.3302491)",,
299144788,True,2,José Garibaldi,residential,40,False,139.349,"LINESTRING (-60.2133653 -33.3308949, -60.2143097 -33.3318685)",,
539109474,True,2,Bernardino Rivadavia,tertiary,40,False,141.049,"LINESTRING (-60.2133653 -33.3308949, -60.2122098 -33.3317177)",,
299163221,True,,Rafael de Aguiar,residential,,False,152.602,"LINESTRING (-60.2190865 -33.3246273, -60.2178196 -33.3255007)",,
92474189,True,,León Guruciaga,residential,,False,76.30799999999999,"LINESTRING (-60.2190865 -33.3246273, -60.2191016 -33.3246442, -60.2195772 -33.3251776)",,
299143606,False,,Avenida Costanera Brigadier General Juan Manuel de Rosas,secondary,,True,25.964,"LINESTRING (-60.2172772 -33.324941, -60.2175004 -33.3248005)",,
299143606,False,,Avenida Costanera Brigadier General Juan Manuel de Rosas,secondary,,False,127.716,"LINESTRING (-60.2172772 -33.324941, -60.2172108 -33.3249851, -60.2163753 -33.325541, -60.2162018 -33.3256564)",,
134429481,True,2,General Juan Galo de Lavalle,residential,,False,80.081,"LINESTRING (-60.2178196 -33.3255007, -60.2172772 -33.324941)",,
"[619901297, 619901298, 619901295]",True,,Rafael de Aguiar,residential,,False,276.70000000000005,"LINESTRING (-60.2178196 -33.3255007, -60.2167276 -33.3262605, -60.2166279 -33.3263271, -60.2155062 -33.3270675)",,yes
619901296,True,,Rafael de Aguiar,residential,,False,140.922,"LINESTRING (-60.2155062 -33.3270675, -60.2143565 -33.327839, -60.214345 -33.3278468, -60.2143238 -33.3278613)",,
120082540,True,2,De la Nación,residential,40,False,76.564,"LINESTRING (-60.2143238 -33.3278613, -60.2148546 -33.328388)",,
121186366,True,,Cristóbal Colón,residential,,False,141.052,"LINESTRING (-60.2143238 -33.3278613, -60.214293 -33.3278816, -60.2142764 -33.3278925, -60.2131377 -33.3286531)",,
298883437,False,,Carlos Pellegrini,residential,,True,41.396,"LINESTRING (-60.2128555 -33.328365, -60.2131377 -33.3286531)",,
298883437,False,,Carlos Pellegrini,residential,,False,41.396,"LINESTRING (-60.2131377 -33.3286531, -60.2128555 -33.328365)",,
624140743,True,,Cristóbal Colón,residential,,False,139.601,"LINESTRING (-60.2131377 -33.3286531, -60.2119584 -33.3294311)",,
119877110,False,,José Garibaldi,residential,,False,60.072,"LINESTRING (-60.2112956 -33.3287631, -60.2117036 -33.3291822)",,
622402201,False,,Guardias Nacionales,tertiary,,True,41.56,"LINESTRING (-60.2210296 -33.3241232, -60.220688 -33.3243645)",,
128816792,True,,Guardias Nacionales,tertiary,,False,40.528999999999996,"LINESTRING (-60.2210296 -33.3241232, -60.2211538 -33.3240045, -60.2212229 -33.3239166, -60.2212585 -33.3238194)",,
128816782,True,,Avenida Costanera Brigadier General Juan Manuel de Rosas,secondary,,False,54.77,"LINESTRING (-60.2162018 -33.3256564, -60.2162165 -33.3256842, -60.2162175 -33.3257145, -60.2162047 -33.3257429, -60.2161799 -33.3257652, -60.216147 -33.325778, -60.2161107 -33.3257794, -60.2160764 -33.3257692, -60.2160493 -33.325749, -60.2160334 -33.3257217, -60.2160302 -33.3256999, -60.2160344 -33.3256783, -60.2160456 -33.3256584, -60.2160628 -33.3256419, -60.2160848 -33.32563, -60.21611 -33.3256236, -60.2161362 -33.3256233, -60.2161615 -33.325629, -60.216184 -33.3256403, -60.2162018 -33.3256564)",,
299143606,False,,Avenida Costanera Brigadier General Juan Manuel de Rosas,secondary,,True,127.716,"LINESTRING (-60.2162018 -33.3256564, -60.2163753 -33.325541, -60.2172108 -33.3249851, -60.2172772 -33.324941)",,
299143606,False,,Avenida Costanera Brigadier General Juan Manuel de Rosas,secondary,,False,21.542,"LINESTRING (-60.2188673 -33.3239787, -60.2186762 -33.3240884)",,
92474189,True,,León Guruciaga,residential,,False,78.733,"LINESTRING (-60.2188673 -33.3239787, -60.2189009 -33.3240559, -60.2190671 -33.324214, -60.2190774 -33.3242579, -60.2190732 -33.3245817, -60.2190865 -33.3246273)",,
"[299143610, 299143605]",False,,"['Diagonal del Puerto', 'Avenida Doctor Juan Bautista Alberdi']",secondary,,False,299.908,"LINESTRING (-60.2188673 -33.3239787, -60.2188137 -33.3238932, -60.2188199 -33.3238461, -60.2191457 -33.3232886, -60.2191926 -33.3232189, -60.2192668 -33.3231551, -60.2193126 -33.3231337, -60.2193662 -33.3231201, -60.2194288 -33.3231341, -60.2195023 -33.3232007, -60.219765 -33.3234692, -60.2201873 -33.3238786, -60.2206629 -33.32434, -60.220688 -33.3243645)",,
134429508,True,2,Domingo Faustino Sarmiento,tertiary,40,False,133.546,"LINESTRING (-60.217951 -33.3276208, -60.2168651 -33.3284077)",,
635746645,True,2,General Manuel Belgrano,residential,,False,146.989,"LINESTRING (-60.217951 -33.3276208, -60.2189807 -33.3286244)",,
134429441,True,,Bartolomé Mitre,living_street,,False,113.222,"LINESTRING (-60.2168651 -33.3284077, -60.2160691 -33.3276367)",,
624425548,True,1,Domingo Faustino Sarmiento,tertiary,40,False,144.856,"LINESTRING (-60.2168651 -33.3284077, -60.2156763 -33.3292506)",,
119877110,False,,José Garibaldi,residential,,True,60.072,"LINESTRING (-60.2117036 -33.3291822, -60.2112956 -33.3287631)",,
622402199,True,,Guardias Nacionales,residential,,False,64.051,"LINESTRING (-60.2218861 -33.3235667, -60.2213395 -33.3239177)",,
298883439,True,,José Garibaldi,residential,,False,36.419,"LINESTRING (-60.2119584 -33.3294311, -60.2117036 -33.3291822)",,
635746643,True,2,José Garibaldi,residential,40,False,75.099,"LINESTRING (-60.2119584 -33.3294311, -60.21247 -33.329954)",,
299143606,False,,Avenida Costanera Brigadier General Juan Manuel de Rosas,secondary,,False,25.964,"LINESTRING (-60.2175004 -33.3248005, -60.2172772 -33.324941)",,
299143606,False,,Avenida Costanera Brigadier General Juan Manuel de Rosas,secondary,,True,134.924,"LINESTRING (-60.2175004 -33.3248005, -60.2175475 -33.3247719, -60.2186762 -33.3240884)",,
618824565,False,,General Juan Galo de Lavalle,residential,,False,23.725,"LINESTRING (-60.2175004 -33.3248005, -60.2174418 -33.3247414, -60.2173423 -33.324633)",,
299143606,False,,Avenida Costanera Brigadier General Juan Manuel de Rosas,secondary,,True,21.542,"LINESTRING (-60.2186762 -33.3240884, -60.2188673 -33.3239787)",,
299143606,False,,Avenida Costanera Brigadier General Juan Manuel de Rosas,secondary,,False,134.924,"LINESTRING (-60.2186762 -33.3240884, -60.2175475 -33.3247719, -60.2175004 -33.3248005)",,
"[619554140, 619554141]",False,,"['Paseo Combate de Obligado', 'León Guruciaga']",residential,,True,172.538,"LINESTRING (-60.2186762 -33.3240884, -60.2183713 -33.3238435, -60.2183311 -33.3238293, -60.2182811 -33.3238339, -60.2178992 -33.324159, -60.2173423 -33.324633)",,
618824565,False,,General Juan Galo de Lavalle,residential,,False,15.45,"LINESTRING (-60.2173423 -33.324633, -60.2172276 -33.3245324)",,
618824565,False,,General Juan Galo de Lavalle,residential,,True,23.725,"LINESTRING (-60.2173423 -33.324633, -60.2174418 -33.3247414, -60.2175004 -33.3248005)",,
"[619554140, 619554141]",False,,"['Paseo Combate de Obligado', 'León Guruciaga']",residential,,False,172.538,"LINESTRING (-60.2173423 -33.324633, -60.2178992 -33.324159, -60.2182811 -33.3238339, -60.2183311 -33.3238293, -60.2183713 -33.3238435, -60.2186762 -33.3240884)",,
618824565,False,,General Juan Galo de Lavalle,residential,,True,15.45,"LINESTRING (-60.2172276 -33.3245324, -60.2173423 -33.324633)",,
622402199,True,,Guardias Nacionales,residential,,False,36.759,"LINESTRING (-60.2213395 -33.3239177, -60.2210296 -33.3241232)",,
991202891,True,,Guardias Nacionales,residential,,False,14.781,"LINESTRING (-60.2213395 -33.3239177, -60.2212797 -33.3238957, -60.2212585 -33.3238194)",,
635746645,True,2,General Manuel Belgrano,residential,,False,109.849,"LINESTRING (-60.2171837 -33.3268692, -60.217951 -33.3276208)",,
299144078,True,,Guardias Nacionales,residential,,False,142.965,"LINESTRING (-60.2171837 -33.3268692, -60.2172411 -33.326828, -60.2183553 -33.3260357)",,
306600093,True,,Bartolomé Mitre,residential,40,False,82.104,"LINESTRING (-60.2160691 -33.3276367, -60.2155062 -33.3270675)",,
"[621602451, 621600356]",True,,Guardias Nacionales,residential,,False,134.21,"LINESTRING (-60.2160691 -33.3276367, -60.2162577 -33.3275146, -60.2171429 -33.3269008, -60.2171837 -33.3268692)",,
