osmid,name,highway,junction,oneway,reversed,length,maxspeed,geometry,lanes,ref,width
300710316,Calle 12,residential,roundabout,True,False,6.41,,"LINESTRING (-58.0437779 -34.8639774, -58.0437114 -34.8639588)",,,
482896705,Calle 12,residential,,True,False,30.534,40,"LINESTRING (-58.0437584 -34.8637573, -58.0440344 -34.863602)",,,
484861916,,residential,roundabout,True,False,15.576,,"LINESTRING (-58.0437584 -34.8637573, -58.0438395 -34.8637635, -58.0439063 -34.8638121)",,,
49071599,Calle 464,residential,,False,False,13.725,30,"LINESTRING (-58.0493412 -34.8635316, -58.0494147 -34.8636393)",,,
300710804,Camino Parque Centenario,primary,,True,False,83.063,80,"LINESTRING (-58.0493412 -34.8635316, -58.0494514 -34.8635248, -58.0500387 -34.8634917, -58.0502489 -34.8634748)",2,RP14,
49071592,Calle 466,residential,,True,False,115.711,20,"LINESTRING (-58.046694 -34.8640168, -58.0473576 -34.8649036)",,,
360611288,Camino Parque Centenario,primary,,True,False,113.46099999999998,60,"LINESTRING (-58.046694 -34.8640168, -58.0465018 -34.864098, -58.0462213 -34.8642272, -58.0456911 -34.8644905, -58.0456159 -34.8645247)",2,RP14,
300878715,Calle 473,residential,,False,False,13.223,40,"LINESTRING (-58.0422914 -34.8660218, -58.0423679 -34.8661228)",,,
287907760,Camino Parque Centenario,primary,,True,False,51.019999999999996,60,"LINESTRING (-58.0422914 -34.8660218, -58.042477 -34.8659257, -58.0427643 -34.8657769)",2,RP14,
41671752,Diagonal 92,residential,,True,False,166.113,40,"LINESTRING (-58.0440655 -34.8664994, -58.0458275 -34.8668758)",,,
49073854,Calle 13a,residential,,True,False,112.369,40,"LINESTRING (-58.0440655 -34.8664994, -58.0430232 -34.8670378)",,,
49133653,Calle 472,residential,,True,False,118.846,30,"LINESTRING (-58.0440655 -34.8664994, -58.0447353 -34.8674161)",,,
49133653,Calle 472,residential,,True,False,115.133,30,"LINESTRING (-58.043445 -34.8655978, -58.0440655 -34.8664994)",,,
"[347795808, 335953680]",Camino Parque Centenario,primary,,True,False,114.315,60,"LINESTRING (-58.043445 -34.8655978, -58.0429353 -34.8658368, -58.0425585 -34.8660267, -58.0423679 -34.8661228)","['2', '3']",RP14,
45020601,Diagonal 3,residential,,True,False,117.044,,"LINESTRING (-58.0439019 -34.8702554, -58.0447581 -34.8694715)",,,
266396987,Calle 473 Bis,residential,,True,False,120.109,,"LINESTRING (-58.0439019 -34.8702554, -58.0432079 -34.8693375)",,,
347795815,Plaza San Martín,tertiary,roundabout,True,False,53.986999999999995,,"LINESTRING (-58.0468506 -34.8670745, -58.0468839 -34.8669983, -58.0469292 -34.8669264, -58.0469857 -34.8668601, -58.0470525 -34.8668006, -58.0471283 -34.8667489, -58.0471874 -34.8667185, -58.0472119 -34.8667059)",,,
41673738,Diagonal 91,residential,,False,False,95.45,,"LINESTRING (-58.0476973 -34.8666439, -58.0479884 -34.8658194)",,,
347795814,Plaza San Martín,tertiary,roundabout,True,False,68.94800000000001,,"LINESTRING (-58.0476973 -34.8666439, -58.0477295 -34.8666517, -58.0478423 -34.8666789, -58.0479756 -34.8667374, -58.0480916 -34.8668169, -58.0481855 -34.8669141, -58.0482381 -34.8670001, -58.0482533 -34.8670249)",,,
41673738,Diagonal 91,residential,,False,False,161.683,,"LINESTRING (-58.0479884 -34.8658194, -58.0484237 -34.8644099)",,,
41673738,Diagonal 91,residential,,False,True,95.45,,"LINESTRING (-58.0479884 -34.8658194, -58.0476973 -34.8666439)",,,
49071592,Calle 466,residential,,True,False,112.463,20,"LINESTRING (-58.0479884 -34.8658194, -58.0486278 -34.8666841)",,,
283603091,Calle 13b,residential,,True,False,112.636,,"LINESTRING (-58.0479884 -34.8658194, -58.0490543 -34.8653083)",,,
