osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,ref,junction,access
1250500876,Македония,residential,False,True,32.708,"LINESTRING (25.3910169 42.6217154, 25.390715 42.6215226)",,,,,,
441504415,Македония,residential,False,False,77.838,"LINESTRING (25.3910169 42.6217154, 25.3916361 42.6220805, 25.3917273 42.6221753)",,,,,,
"[367421548, 29231502]","['Отец Паисий', 'Отец Паисий Хилендарски']",tertiary,False,False,152.554,"LINESTRING (25.3984506 42.6214224, 25.3973333 42.6211842, 25.3970826 42.6211368, 25.3966835 42.6209964)",2,50,,,,
"[29249131, 1041500612, 1041500613]",Старозагорска,tertiary,False,False,31.950000000000003,"LINESTRING (25.3984506 42.6214224, 25.3985131 42.6214369, 25.3987478 42.6214922, 25.3988228 42.6215093)",2,40,yes,,,
1173693555,Никола Петков,primary,True,False,139.233,"LINESTRING (25.3984506 42.6214224, 25.398817 42.6205787, 25.3989936 42.6202361)",2,50,,5,,
29389570,Шипченска епопея,secondary,True,False,19.871,"LINESTRING (25.3917273 42.6221753, 25.3919658 42.6221416)",,,,,,
803195800,Шипченска епопея,secondary,False,False,64.298,"LINESTRING (25.3917273 42.6221753, 25.3909495 42.6222578)",,,,,,
1074056801,,residential,False,False,20.867,"LINESTRING (25.3917273 42.6221753, 25.3919623 42.6222482)",,,,,,
441504415,Македония,residential,False,True,77.838,"LINESTRING (25.3917273 42.6221753, 25.3916361 42.6220805, 25.3910169 42.6217154)",,,,,,
29231496,Бузлуджа,residential,False,False,11.857,"LINESTRING (25.3919658 42.6221416, 25.3919623 42.6222482)",,,,,,
29389570,Шипченска епопея,secondary,True,False,146.852,"LINESTRING (25.3919658 42.6221416, 25.3924097 42.6220873, 25.3931041 42.6219881, 25.3934042 42.6219047, 25.3936636 42.6217711)",,,,,,
367421548,Отец Паисий Хилендарски,tertiary,False,False,60.435,"LINESTRING (25.3966835 42.6209964, 25.3960668 42.6206973)",2,50,,,,
"[367421548, 29231502]","['Отец Паисий', 'Отец Паисий Хилендарски']",tertiary,False,True,152.554,"LINESTRING (25.3966835 42.6209964, 25.3970826 42.6211368, 25.3973333 42.6211842, 25.3984506 42.6214224)",2,50,,,,
367421554,Славянска,residential,True,False,97.50099999999999,"LINESTRING (25.3966835 42.6209964, 25.396582 42.6211531, 25.3962461 42.6216067, 25.3961084 42.6217635)",,,,,,
29231495,Чудомир,residential,False,False,58.025,"LINESTRING (25.3959841 42.6218895, 25.3953267 42.6216938)",,,,,,
