osmid,highway,oneway,reversed,length,geometry,name,ref,bridge,lanes,maxspeed
670581224,residential,False,True,72.445,"LINESTRING (23.1689446 41.72241, 23.1683347 41.7228761)",,,,,
27195980,residential,False,True,49.724999999999994,"LINESTRING (23.1689446 41.72241, 23.168833 41.7223648, 23.1684844 41.7221271)",,,,,
27195985,residential,False,False,97.913,"LINESTRING (23.1606217 41.7225979, 23.1594611 41.722756)",Перун,,,,
27195985,residential,False,True,85.588,"LINESTRING (23.1606217 41.7225979, 23.161637 41.722463)",Перун,,,,
27196008,residential,False,False,165.993,"LINESTRING (23.1606217 41.7225979, 23.1597187 41.7212659)",Цар Симеон,,,,
27196002,residential,False,False,153.897,"LINESTRING (23.163367 41.7197156, 23.1642703 41.7209243)",Спартак,,,,
27196021,residential,False,False,92.526,"LINESTRING (23.163367 41.7197156, 23.164341 41.7193108)",Яне Сандански,,,,
27196021,residential,False,True,90.019,"LINESTRING (23.163367 41.7197156, 23.1624248 41.7201166)",Яне Сандански,,,,
27195985,residential,False,False,91.167,"LINESTRING (23.162597 41.7220645, 23.161637 41.722463)",Перун,,,,
27195985,residential,False,True,89.78,"LINESTRING (23.162597 41.7220645, 23.1635488 41.7216808)",Перун,,,,
27195987,residential,False,False,195.813,"LINESTRING (23.162597 41.7220645, 23.1614629 41.7205203)",Цар Самуил,,,,
27195985,residential,False,False,28.682,"LINESTRING (23.1676521 41.7199641, 23.1673457 41.7200834)",Перун,,,,
27195985,residential,False,True,61.468,"LINESTRING (23.1676521 41.7199641, 23.1682967 41.7196919)",Перун,,,,
27196014,residential,False,False,98.459,"LINESTRING (23.1676521 41.7199641, 23.1676747 41.7208494)",,,,,
27196014,residential,False,True,121.096,"LINESTRING (23.1676521 41.7199641, 23.1690245 41.7203338)",,,,,
27195975,residential,False,False,197.369,"LINESTRING (23.1624248 41.7201166, 23.1635488 41.7216808)",Пирин,,,,
27196021,residential,False,False,90.019,"LINESTRING (23.1624248 41.7201166, 23.163367 41.7197156)",Яне Сандански,,,,
27196021,residential,False,True,38.061,"LINESTRING (23.1624248 41.7201166, 23.1620239 41.7202828)",Яне Сандански,,,,
27195939,residential,False,False,87.988,"LINESTRING (23.1601977 41.7239151, 23.161236 41.7237551)",,,,,
