osmid,name,highway,oneway,reversed,length,maxspeed,geometry,access,bridge,lanes,ref,width,tunnel
24936096,Здравец,residential,False,True,83.947,,"LINESTRING (23.1965506 42.7654585, 23.1974797 42.7657821)",,,,,,
32399518,бул. Европа,secondary,False,True,100.644,50,"LINESTRING (23.1965506 42.7654585, 23.1970809 42.7646414)",,,,,,
206653901,9-ти май,residential,False,True,58.521,,"LINESTRING (23.1965506 42.7654585, 23.1958439 42.7653701)",,,,,,
32399518,бул. Европа,secondary,False,False,150.00900000000001,50,"LINESTRING (23.1965506 42.7654585, 23.195921 42.7664711, 23.1958666 42.7665331, 23.1957961 42.7665912, 23.1957168 42.7666523)",,,,,,
24936102,Искър,residential,False,True,38.817,,"LINESTRING (23.1949322 42.7671783, 23.1953244 42.7673757)",,,,,,
32399518,бул. Европа,secondary,False,False,30.561,50,"LINESTRING (23.1949322 42.7671783, 23.1946442 42.7673539)",,,,,,
32399518,бул. Европа,secondary,False,True,86.735,50,"LINESTRING (23.1949322 42.7671783, 23.1957168 42.7666523)",,,,,,
24936125,Бор,residential,False,False,74.073,,"LINESTRING (23.1996845 42.7648573, 23.1990025 42.7644179)",,,,,,
24936125,Бор,residential,False,True,121.186,,"LINESTRING (23.1996845 42.7648573, 23.2008335 42.7655474)",,,,,,
206657627,,residential,False,True,81.204,,"LINESTRING (23.1996845 42.7648573, 23.2002868 42.7642761)",yes,,,,,
206657628,Еделвайс,residential,False,False,176.975,,"LINESTRING (23.1996845 42.7648573, 23.1987731 42.7663014)",yes,,,,,
24936096,Здравец,residential,False,False,81.443,,"LINESTRING (23.1987731 42.7663014, 23.1978987 42.7659487)",,,,,,
24936096,Здравец,residential,False,True,105.776,,"LINESTRING (23.1987731 42.7663014, 23.1999064 42.7667626)",,,,,,
206657628,Еделвайс,residential,False,False,160.388,,"LINESTRING (23.1987731 42.7663014, 23.1978814 42.7675867)",yes,,,,,
206657628,Еделвайс,residential,False,True,176.975,,"LINESTRING (23.1987731 42.7663014, 23.1996845 42.7648573)",yes,,,,,
24936101,Явор,residential,False,False,93.444,,"LINESTRING (23.1978814 42.7675867, 23.1968877 42.7671695)",,,,,,
24936101,Явор,residential,False,True,101.611,,"LINESTRING (23.1978814 42.7675867, 23.1989243 42.7680856)",,,,,,
206657628,Еделвайс,residential,False,False,86.169,,"LINESTRING (23.1978814 42.7675867, 23.1972777 42.7682224)",yes,,,,,
206657628,Еделвайс,residential,False,True,160.388,,"LINESTRING (23.1978814 42.7675867, 23.1987731 42.7663014)",yes,,,,,
24936102,Искър,residential,False,False,89.075,,"LINESTRING (23.1972777 42.7682224, 23.1963474 42.7678037)",,,,,,
206657628,Еделвайс,residential,False,True,86.169,,"LINESTRING (23.1972777 42.7682224, 23.1978814 42.7675867)",yes,,,,,
