osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,ref,access
78325938,2,бул.Димовец,residential,False,False,51.897,"LINESTRING (25.3368866 42.711994, 25.3366687 42.7115556)",,,,
27359400,,Христо Патрев,residential,False,False,100.96600000000001,"LINESTRING (25.3368866 42.711994, 25.3376599 42.7118075, 25.3380595 42.7117081)",,,,
"[246031849, 228068791]",2,Христо Патрев,residential,False,True,15.412,"LINESTRING (25.3368866 42.711994, 25.33675 42.7120259, 25.3367051 42.7120303)",yes,,,
29393643,,Стефан Орешков,tertiary,False,False,17.581,"LINESTRING (25.3357859 42.709818, 25.3356328 42.7099291)",,,,
78325938,2,бул.Димовец,residential,False,True,71.801,"LINESTRING (25.3357859 42.709818, 25.3361384 42.7104095)",,,,
29393643,,Стефан Орешков,tertiary,False,True,122.08699999999999,"LINESTRING (25.3357859 42.709818, 25.3358771 42.7097472, 25.3360224 42.7096654, 25.3361369 42.7096199, 25.3363801 42.7095369, 25.337114 42.7093424)",,,,
78324463,,Христо Патрев,residential,False,False,17.761,"LINESTRING (25.3330739 42.7130048, 25.3329259 42.7131218)",,,,
78324463,,Христо Патрев,residential,False,True,78.632,"LINESTRING (25.3330739 42.7130048, 25.3330618 42.7128541, 25.3330558 42.7127992, 25.3329725 42.7125289, 25.3328204 42.7123348)",,,,
246031847,,Христо Патрев,residential,False,True,48.533,"LINESTRING (25.3330739 42.7130048, 25.3331781 42.7129272, 25.3332545 42.7128915, 25.3335318 42.7127285)",,,,
78324463,,Христо Патрев,residential,False,False,88.078,"LINESTRING (25.3293698 42.7139567, 25.328301 42.7140603)",,,,
29393645,,Опълченска,residential,False,False,215.933,"LINESTRING (25.3293698 42.7139567, 25.3289013 42.7145186, 25.3288545 42.7146124, 25.3288247 42.714736, 25.3287949 42.7148783, 25.3287608 42.7150097, 25.3285302 42.7154227, 25.328448 42.7155603, 25.3283575 42.7156235, 25.3282741 42.7156913)",,,,
78324463,,Христо Патрев,residential,False,True,14.366,"LINESTRING (25.3293698 42.7139567, 25.3294569 42.7139498, 25.3295441 42.7139399)",,,,
78324463,,Христо Патрев,residential,False,True,25.938,"LINESTRING (25.3295441 42.7139399, 25.3298579 42.7139045)",,,,
78325937,,Орлово гнездо,residential,False,False,67.263,"LINESTRING (25.3295441 42.7139399, 25.3295982 42.7145435)",,,,
78324463,,Христо Патрев,residential,False,False,14.366,"LINESTRING (25.3295441 42.7139399, 25.3294569 42.7139498, 25.3293698 42.7139567)",,,,
29393647,1,Мильо Мишев,tertiary,True,False,100.697,"LINESTRING (25.3300304 42.7104474, 25.3291775 42.7097937)",,50,,
78324464,,Генерал Радецки,residential,False,False,215.897,"LINESTRING (25.3300304 42.7104474, 25.3305022 42.7102717, 25.3308343 42.710156, 25.3311898 42.7100715, 25.3314769 42.7100389, 25.3325579 42.710009)",,,,
55561357,,Стефан Орешков,tertiary,False,False,76.705,"LINESTRING (25.3322351 42.7124179, 25.3312963 42.7124241)",,,,
29393646,,Стефан Гъдев,residential,False,True,121.68,"LINESTRING (25.3322351 42.7124179, 25.3321702 42.7132049, 25.332148 42.7133857, 25.3321226 42.7135086)",,,,
29393647,1,Мильо Мишев,tertiary,True,False,35.592,"LINESTRING (25.3322351 42.7124179, 25.3321979 42.7122689, 25.3321398 42.7121058)",,50,,
55561357,,Стефан Орешков,tertiary,False,True,48.789,"LINESTRING (25.3322351 42.7124179, 25.3324054 42.7124007, 25.3326673 42.7123678, 25.3328204 42.7123348)",,,,
30089952,,Теменуга,residential,False,False,99.599,"LINESTRING (25.3351495 42.7127604, 25.3341021 42.7132187)",,,,
78325934,,Боян Чокмаков,residential,False,False,100.52,"LINESTRING (25.3351495 42.7127604, 25.3352621 42.7136606)",,,,
78325934,,Боян Чокмаков,residential,False,True,18.242,"LINESTRING (25.3351495 42.7127604, 25.3351267 42.7125972)",,,,
30089952,,Теменуга,residential,False,True,99.599,"LINESTRING (25.3341021 42.7132187, 25.3351495 42.7127604)",,,,
246031777,,,residential,False,True,26.983,"LINESTRING (25.3341021 42.7132187, 25.3342955 42.7134154)",,,,
"[30089953, 29393644]",,Хр. Патрев,residential,False,False,71.709,"LINESTRING (25.3341021 42.7132187, 25.333634 42.7128168, 25.3335318 42.7127285)",,,,
29393645,,Опълченска,residential,False,True,215.93300000000002,"LINESTRING (25.3282741 42.7156913, 25.3283575 42.7156235, 25.328448 42.7155603, 25.3285302 42.7154227, 25.3287608 42.7150097, 25.3287949 42.7148783, 25.3288247 42.714736, 25.3288545 42.7146124, 25.3289013 42.7145186, 25.3293698 42.7139567)",,,,
78324463,,Христо Патрев,residential,False,True,88.078,"LINESTRING (25.328301 42.7140603, 25.3293698 42.7139567)",,,,
78324485,,Полк Депрерадович,residential,False,True,74.785,"LINESTRING (25.328301 42.7140603, 25.3281982 42.713392)",,,,
78324463,,Христо Патрев,residential,False,False,118.781,"LINESTRING (25.328301 42.7140603, 25.3279114 42.7141041, 25.3276878 42.7141432, 25.3269285 42.7143893)",,,,
55561357,,Стефан Орешков,tertiary,False,True,198.97699999999998,"LINESTRING (25.3269285 42.7143893, 25.3270164 42.7143198, 25.3270739 42.714244, 25.3272563 42.7138294, 25.3275318 42.7132881, 25.3276205 42.7131726, 25.3277215 42.7130876, 25.3278393 42.7130323, 25.3281384 42.7129218)",,,,
78324463,,Христо Патрев,residential,False,True,118.781,"LINESTRING (25.3269285 42.7143893, 25.3276878 42.7141432, 25.3279114 42.7141041, 25.328301 42.7140603)",,,,
29393643,,Стефан Орешков,tertiary,False,True,56.094,"LINESTRING (25.3351389 42.7102795, 25.3356328 42.7099291)",,,,
29393643,,Стефан Орешков,tertiary,False,False,79.354,"LINESTRING (25.3351389 42.7102795, 25.3347344 42.7105674, 25.3344619 42.7107906)",,,,
78325934,,Боян Чокмаков,residential,False,False,143.693,"LINESTRING (25.3351389 42.7102795, 25.3349963 42.7110965, 25.3349531 42.711564)",,,,
78316373,,Добри Карталов,residential,False,False,55.128,"LINESTRING (25.3294569 42.7125072, 25.329556 42.7129976)",,,,
78316373,,Добри Карталов,residential,False,True,90.338,"LINESTRING (25.3294569 42.7125072, 25.3291944 42.711718)",,,,
55561357,,Стефан Орешков,tertiary,False,False,118.161,"LINESTRING (25.3294569 42.7125072, 25.32921 42.7125367, 25.3288992 42.7126165, 25.3281384 42.7129218)",,,,
55561357,,Стефан Орешков,tertiary,False,True,104.297,"LINESTRING (25.3294569 42.7125072, 25.3302285 42.7124662, 25.3307303 42.7124414)",,,,
78316373,,Добри Карталов,residential,False,False,104.615,"LINESTRING (25.3290824 42.7097293, 25.3291421 42.7106691)",,,,
78316373,,Добри Карталов,residential,False,True,45.138,"LINESTRING (25.3290824 42.7097293, 25.3290747 42.7093234)",,,,
551682285,1,Мильо Мишев,tertiary,False,False,25.116,"LINESTRING (25.3290824 42.7097293, 25.3288559 42.7095766)",,50,,
551682285,1,Мильо Мишев,tertiary,False,True,10.567,"LINESTRING (25.3290824 42.7097293, 25.3291775 42.7097937)",,50,,
78316373,,Добри Карталов,residential,False,False,90.338,"LINESTRING (25.3291944 42.711718, 25.3294569 42.7125072)",,,,
78316373,,Добри Карталов,residential,False,True,116.711,"LINESTRING (25.3291944 42.711718, 25.3291421 42.7106691)",,,,
78324472,,Никола Странджата,residential,False,True,75.453,"LINESTRING (25.3291944 42.711718, 25.3283804 42.7120385)",,,,
78324472,,Никола Странджата,residential,False,False,106.43299999999999,"LINESTRING (25.3291944 42.711718, 25.3301383 42.7115437, 25.3304469 42.711459)",,,,
