osmid,lanes,ref,highway,oneway,reversed,length,geometry,bridge,name,junction
946515662,2,865,tertiary,False,False,27.76,"LINESTRING (25.1325594 41.5786045, 25.1327337 41.5788174)",,,
655412317,2,865,tertiary,False,True,110.35700000000001,"LINESTRING (25.1325594 41.5786045, 25.1324098 41.5784467, 25.1322922 41.5783311, 25.1318465 41.5778774, 25.1317747 41.5778043)",,,
284286422,2,865,tertiary,False,False,97.726,"LINESTRING (25.1333917 41.5796497, 25.1334308 41.5797058, 25.1338213 41.5804673)",,,
"[284286426, 946515661, 284286422]",2,865,tertiary,False,True,107.617,"LINESTRING (25.1333917 41.5796497, 25.1333808 41.5796347, 25.1331487 41.5793047, 25.1331066 41.5792495, 25.1327337 41.5788174)",yes,,
492540182,,,unclassified,False,False,36.588,"LINESTRING (25.1333917 41.5796497, 25.1334687 41.5795434, 25.1335204 41.579473, 25.133573 41.5793514)",,,
218023803,,,unclassified,False,False,130.733,"LINESTRING (25.1338213 41.5804673, 25.1340727 41.5803917, 25.134289 41.5802717, 25.1343437 41.5802013, 25.1343289 41.5800767, 25.1342577 41.5798107, 25.1340077 41.5795841)",,,
284286422,2,865,tertiary,False,False,216.97000000000003,"LINESTRING (25.1338213 41.5804673, 25.133887 41.5806082, 25.1340717 41.5809832, 25.1343339 41.5814941, 25.1347496 41.5822907)",,,
284286422,2,865,tertiary,False,True,97.726,"LINESTRING (25.1338213 41.5804673, 25.1334308 41.5797058, 25.1333917 41.5796497)",,,
218022023,,,residential,False,False,36.443,"LINESTRING (25.1347496 41.5822907, 25.134891 41.5826009)",,,
284286422,2,865,tertiary,False,False,28.805999999999997,"LINESTRING (25.1347496 41.5822907, 25.1349085 41.582395, 25.1350235 41.5824478)",,,
284286422,2,865,tertiary,False,True,216.97,"LINESTRING (25.1347496 41.5822907, 25.1343339 41.5814941, 25.1340717 41.5809832, 25.133887 41.5806082, 25.1338213 41.5804673)",,,
218022021,,,residential,False,False,32.524,"LINESTRING (25.1358494 41.5825396, 25.1359742 41.5828168)",,София,
218022021,,,residential,False,True,63.409,"LINESTRING (25.1358494 41.5825396, 25.1356174 41.5819964)",,София,
218022018,2,865,tertiary,False,False,118.74000000000001,"LINESTRING (25.1358494 41.5825396, 25.1364055 41.5823827, 25.1370064 41.5822142, 25.137169 41.5821385)",,,
