osmid,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,bridge
204791034,unclassified,False,True,222.38500000000002,"LINESTRING (24.4655389 42.0394949, 24.4654207 42.0395502, 24.465384 42.0395738, 24.465359 42.0396, 24.4651164 42.0399498, 24.4650762 42.0400434, 24.4650534 42.040147, 24.464963 42.0413765)",,,,,
791855749,tertiary,False,False,203.28199999999998,"LINESTRING (24.4655389 42.0394949, 24.4655411 42.0395458, 24.465569 42.0396524, 24.4657037 42.0400405, 24.4657395 42.0401738, 24.4658647 42.04064, 24.4659745 42.0411407, 24.46601 42.0412876)",2,866,,,
175866938,residential,False,True,67.796,"LINESTRING (24.4666706 42.0429151, 24.465856 42.0428392)",,,,,
"[165966780, 791855749]",tertiary,False,False,77.60100000000001,"LINESTRING (24.4666706 42.0429151, 24.466669 42.0434007, 24.4666842 42.0435111, 24.4666942 42.0435428, 24.4667146 42.0435714, 24.4667486 42.0435976)",2,866,,,
791855749,tertiary,False,True,124.642,"LINESTRING (24.4666706 42.0429151, 24.4666385 42.0428047, 24.4665912 42.0426842, 24.4662719 42.0420367, 24.4661893 42.0418538)",2,866,,,
165966780,tertiary,False,False,15.761,"LINESTRING (24.4691614 42.0459134, 24.4691952 42.0460529)",2,866,,,
165966780,tertiary,False,True,72.594,"LINESTRING (24.4691614 42.0459134, 24.4691143 42.0458094, 24.4690481 42.0457193, 24.4687084 42.0453582)",2,866,,,
225097840,tertiary_link,False,True,55.096000000000004,"LINESTRING (24.4691614 42.0459134, 24.4690727 42.046049, 24.4690043 42.0461287, 24.4688988 42.0462255, 24.4687718 42.0463086)",,,,,
41908500,residential,False,False,28.922,"LINESTRING (24.4667247 42.0446455, 24.4667078 42.0443857)",,,,,
41908500,residential,False,True,92.03800000000001,"LINESTRING (24.4667247 42.0446455, 24.4667061 42.0448262, 24.4666605 42.0449517, 24.4665659 42.0450809, 24.4664527 42.0451775, 24.4662229 42.0453482)",,,,,
225097853,residential,False,True,153.44299999999998,"LINESTRING (24.4667247 42.0446455, 24.4670833 42.0446332, 24.4671493 42.0446411, 24.467194 42.044668, 24.4672324 42.0447201, 24.4675872 42.0456449)",,,,,
