osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,lanes,width
313304752,37,Антонивановци,secondary,False,True,12.949,,"LINESTRING (24.2232984 41.9453573, 24.2234353 41.9454138)",,
313304754,37,Антонивановци,secondary,False,False,23.431,yes,"LINESTRING (24.2232984 41.9453573, 24.2230403 41.9452704)",,
313300436,,Драган Манчев,residential,False,True,45.419,,"LINESTRING (24.2232984 41.9453573, 24.2232917 41.9452728, 24.2232832 41.9451663, 24.2231616 41.9449689)",,
313304755,37,Антонивановци,secondary,False,True,15.332,,"LINESTRING (24.2218119 41.9453417, 24.2219843 41.945291)",,
313304755,37,Антонивановци,secondary,False,False,169.183,,"LINESTRING (24.2218119 41.9453417, 24.2216395 41.9453385, 24.2215096 41.9452974, 24.2205367 41.9448967, 24.2200066 41.9446577)",,
497258201,,Катя Ванчева,residential,False,False,146.985,,"LINESTRING (24.2218119 41.9453417, 24.2214516 41.9449966, 24.2208923 41.9444976, 24.22072 41.9443003)",,
313304755,37,Антонивановци,secondary,False,False,19.18,,"LINESTRING (24.21841 41.9441826, 24.2181908 41.9441263)",,
220541850,,Д.Цурев,residential,False,False,43.454,,"LINESTRING (24.21841 41.9441826, 24.2182395 41.9443041, 24.2179945 41.9444185)",,
313304755,37,Антонивановци,secondary,False,True,71.657,,"LINESTRING (24.21841 41.9441826, 24.2185417 41.9441838, 24.2187548 41.9441858, 24.2191104 41.944208, 24.2192693 41.9442403)",,
550120106,37,Антонивановци,secondary,False,False,44.312,,"LINESTRING (24.2160618 41.9426704, 24.2156648 41.9424028)",2,
313300456,,Петър Горанов,residential,False,True,71.318,,"LINESTRING (24.2160618 41.9426704, 24.2159926 41.9427244, 24.2154672 41.9431349)",,
"[550120105, 313300454, 550120110, 313300455]",,Петър Горанов,"['living_street', 'residential']",False,False,125.90200000000002,,"LINESTRING (24.2160618 41.9426704, 24.2161084 41.942634, 24.2163194 41.9424693, 24.2167303 41.9422175, 24.2169979 41.9420681, 24.2171061 41.941994, 24.2171987 41.9419212)",,
657850656,37,Антонивановци,secondary,False,True,152.148,,"LINESTRING (24.2160618 41.9426704, 24.2162515 41.942928, 24.2164171 41.9431417, 24.2164557 41.9431914, 24.2168069 41.943516, 24.2171412 41.9437678)",,
313300440,,И.Зафиров,residential,False,True,65.83,,"LINESTRING (24.2156648 41.9424028, 24.2151096 41.942827)",,
550120106,37,Антонивановци,secondary,False,False,14.063,,"LINESTRING (24.2156648 41.9424028, 24.2155349 41.9423212)",2,
550120106,37,Антонивановци,secondary,False,True,44.312,,"LINESTRING (24.2156648 41.9424028, 24.2160618 41.9426704)",2,
47005036,,Панайот Волов,residential,False,False,67.437,,"LINESTRING (24.2196673 41.943736, 24.2200992 41.9432216)",,
47005036,,Панайот Волов,residential,False,True,47.656,,"LINESTRING (24.2196673 41.943736, 24.2193495 41.9440935)",,
313300436,,Драган Манчев,residential,False,False,115.14399999999999,,"LINESTRING (24.2196673 41.943736, 24.2198126 41.9437951, 24.2201877 41.9439019, 24.2209805 41.9440715)",,
47005036,,Панайот Волов,residential,False,True,67.437,,"LINESTRING (24.2200992 41.9432216, 24.2196673 41.943736)",,
313304759,,Панайот Волов,residential,False,False,61.199,,"LINESTRING (24.2200992 41.9432216, 24.2206014 41.9428174)",,
220540243,,Родопи,residential,False,False,96.78299999999999,,"LINESTRING (24.2200992 41.9432216, 24.2203957 41.9433163, 24.2207873 41.9434161, 24.221195 41.9435258)",,
220540242,,Братя Чолакови,residential,False,False,20.498,,"LINESTRING (24.2125154 41.9404487, 24.2127599 41.9404788)",,
945999610,37,Антонивановци,secondary,False,True,104.934,,"LINESTRING (24.2125154 41.9404487, 24.2128077 41.9407846, 24.212966 41.9409063, 24.213194 41.94103, 24.2133871 41.9411098)",,
302981255,,Христо Ботев,residential,False,False,80.70899999999999,,"LINESTRING (24.2154945 41.9411331, 24.2157624 41.9412425, 24.2161712 41.941432, 24.2163362 41.9414998)",,
302981255,,Христо Ботев,residential,False,True,109.844,,"LINESTRING (24.2154945 41.9411331, 24.2150494 41.9408655, 24.2146844 41.9406606, 24.2145594 41.940589, 24.2145104 41.9404909)",,
"[313300472, 313300473, 313300475]",,Таско Ганев,residential,False,True,33.349000000000004,yes,"LINESTRING (24.2154945 41.9411331, 24.2154778 41.9411466, 24.2153614 41.9412326, 24.2151898 41.9413283)",,
313300476,,Таско Ганев,residential,False,True,65.27600000000001,,"LINESTRING (24.2154945 41.9411331, 24.2157069 41.9410266, 24.2161938 41.9408652)",,
220540242,,Братя Чолакови,residential,False,True,150.34799999999998,,"LINESTRING (24.2151898 41.9413283, 24.2146674 41.9410109, 24.2142033 41.9407607, 24.2139202 41.9406134, 24.2137115 41.9405517)",,
313300474,,Таско Ганев,residential,False,True,62.75,,"LINESTRING (24.2151898 41.9413283, 24.2148015 41.9415778, 24.2147291 41.9416649, 24.2146911 41.94174)",,
"[313300472, 313300473, 313300475]",,Таско Ганев,residential,False,False,33.349000000000004,yes,"LINESTRING (24.2151898 41.9413283, 24.2153614 41.9412326, 24.2154778 41.9411466, 24.2154945 41.9411331)",,
302981255,,Христо Ботев,residential,False,False,68.662,,"LINESTRING (24.2171987 41.9419212, 24.2174335 41.9420419, 24.2176093 41.9421361, 24.2177597 41.942204, 24.21791 41.9422216)",,
302981255,,Христо Ботев,residential,False,True,85.35,,"LINESTRING (24.2171987 41.9419212, 24.2164344 41.9415478, 24.2163362 41.9414998)",,
313300454,,Петър Горанов,residential,False,False,97.922,,"LINESTRING (24.2171987 41.9419212, 24.2172884 41.9417969, 24.2174642 41.941069)",,
"[550120105, 550120110, 313300454, 313300455]",,Петър Горанов,"['residential', 'living_street']",False,True,125.90199999999999,,"LINESTRING (24.2171987 41.9419212, 24.2171061 41.941994, 24.2169979 41.9420681, 24.2167303 41.9422175, 24.2163194 41.9424693, 24.2161084 41.942634, 24.2160618 41.9426704)",,
313304759,,Панайот Волов,residential,False,False,24.911,,"LINESTRING (24.2206014 41.9428174, 24.220774 41.9426338)",,
313304759,,Панайот Волов,residential,False,True,61.199,,"LINESTRING (24.2206014 41.9428174, 24.2200992 41.9432216)",,
302981255,,Христо Ботев,residential,False,True,93.827,,"LINESTRING (24.2206014 41.9428174, 24.2201585 41.9426397, 24.2198109 41.9424931, 24.2196149 41.9424013)",,
220540243,,Родопи,residential,False,True,17.066,,"LINESTRING (24.2234357 41.9439152, 24.2232438 41.9438588)",,
220540243,,Родопи,residential,False,False,77.539,,"LINESTRING (24.2234357 41.9439152, 24.223676 41.9440475, 24.2238262 41.9441572, 24.2239322 41.9442161, 24.2240743 41.944246, 24.2242138 41.9442829)",,
313300444,,Карлъшка,residential,False,False,44.369,,"LINESTRING (24.2234357 41.9439152, 24.2235422 41.9437027, 24.2236142 41.943539)",,
313300444,,Карлъшка,residential,False,True,38.117,,"LINESTRING (24.2234357 41.9439152, 24.2233954 41.9441562, 24.2233712 41.9442545)",,
220541852,,Априлци,residential,False,False,10.706,,"LINESTRING (24.2184195 41.9434353, 24.2185287 41.943487)",,
47005036,,Панайот Волов,residential,False,False,47.656,,"LINESTRING (24.2193495 41.9440935, 24.2196673 41.943736)",,
47005036,,Панайот Волов,residential,False,True,17.62,,"LINESTRING (24.2193495 41.9440935, 24.2192693 41.9442403)",,
313300422,,Братя Ванчеви,residential,False,True,116.05900000000001,,"LINESTRING (24.2193495 41.9440935, 24.2195659 41.944115, 24.219832 41.9441335, 24.2201301 41.9442064, 24.2204324 41.944265, 24.22072 41.9443003)",,
657850657,,Априлци,residential,False,True,85.26400000000001,,"LINESTRING (24.2193495 41.9440935, 24.2192289 41.9440096, 24.2191324 41.9438909, 24.2189218 41.9437163, 24.2186374 41.9435474)",,
313300487,,Хаджи Тодор,residential,False,False,73.51499999999999,,"LINESTRING (24.2171412 41.9437678, 24.217199 41.9436256, 24.2172338 41.9435358, 24.2172658 41.9434146, 24.217361 41.9431276)",,
"[313304761, 497161582, 313304758]",,"['Люляк', 'Пионерска']",residential,False,"[False, True]",161.91899999999998,,"LINESTRING (24.2171412 41.9437678, 24.21689 41.9440226, 24.2168303 41.9441194, 24.2168371 41.9441608, 24.2168658 41.9442149, 24.2169689 41.9442815, 24.2171497 41.9444046, 24.2172223 41.9445215, 24.2173964 41.9445027, 24.2176245 41.9444637, 24.2177428 41.9444625, 24.2179151 41.9444675)",,
657850656,37,Антонивановци,secondary,False,False,152.148,,"LINESTRING (24.2171412 41.9437678, 24.2168069 41.943516, 24.2164557 41.9431914, 24.2164171 41.9431417, 24.2162515 41.942928, 24.2160618 41.9426704)",,
657850656,37,Антонивановци,secondary,False,True,95.708,,"LINESTRING (24.2171412 41.9437678, 24.217469 41.9439071, 24.2179927 41.9440639, 24.2181908 41.9441263)",,
313304754,37,Антонивановци,secondary,False,True,23.431,yes,"LINESTRING (24.2230403 41.9452704, 24.2232984 41.9453573)",,
313300422,,Братя Ванчеви,residential,False,False,224.56700000000004,,"LINESTRING (24.2230403 41.9452704, 24.2229572 41.9450535, 24.2229104 41.944968, 24.2227337 41.9448397, 24.2223888 41.9446751, 24.2220993 41.9445231, 24.2218736 41.9444075, 24.2216416 41.9443552, 24.2212988 41.9443045, 24.2210583 41.9442697, 24.2208926 41.9442748)",,
313300424,,Васил Левски,residential,False,False,44.71,,"LINESTRING (24.2230403 41.9452704, 24.2231062 41.9455001, 24.2231786 41.9456584)",,
313304755,37,Антонивановци,secondary,False,False,89.83,,"LINESTRING (24.2230403 41.9452704, 24.2229104 41.9452214, 24.2226932 41.9452039, 24.2224165 41.9452119, 24.2221908 41.9452514, 24.2219843 41.945291)",,
313304755,37,Антонивановци,secondary,False,False,15.332,,"LINESTRING (24.2219843 41.945291, 24.2218119 41.9453417)",,
313304755,37,Антонивановци,secondary,False,True,89.83000000000001,,"LINESTRING (24.2219843 41.945291, 24.2221908 41.9452514, 24.2224165 41.9452119, 24.2226932 41.9452039, 24.2229104 41.9452214, 24.2230403 41.9452704)",,
