osmid,oneway,ref,name,highway,reversed,length,geometry,width,lanes,maxspeed
192497918,True,53,Оборище,secondary,False,66.943,"LINESTRING (25.7176567 43.1103329, 25.7180767 43.1098148)",,,
156800196,False,53,Стефан Поптонев,secondary,False,255.244,"LINESTRING (25.7176567 43.1103329, 25.7169728 43.1112449, 25.7164351 43.111973, 25.7161021 43.1122446, 25.7160387 43.1122889)",,,
1034229967,False,,Максим Райкович,residential,False,77.078,"LINESTRING (25.7176567 43.1103329, 25.7171523 43.110117, 25.7168304 43.1099917)",,,
192497927,False,,Капитан Дядо Никола,residential,True,220.206,"LINESTRING (25.7147369 43.1059276, 25.7147261 43.105919, 25.7146762 43.105879, 25.7144525 43.1057, 25.7141477 43.105269, 25.7141141 43.1052295, 25.7138049 43.1048024, 25.7136601 43.1047162, 25.7134521 43.1046723, 25.7129599 43.10462)",,,
354070627,False,,Ивайло,residential,True,127.148,"LINESTRING (25.7147369 43.1059276, 25.7144858 43.1059558, 25.713181 43.106057)",,,
673500227,False,,пл. Възраждане,residential,True,59.624,"LINESTRING (25.7147369 43.1059276, 25.7150107 43.1061796, 25.7151933 43.1063477)",,,
192497900,False,,Петър Караминчев,residential,True,23.636,"LINESTRING (25.7167871 43.1048219, 25.7169324 43.1050061)",,,
192497900,False,,Петър Караминчев,residential,False,140.261,"LINESTRING (25.7167871 43.1048219, 25.7167339 43.1045439, 25.7166836 43.1044359, 25.716369 43.1041428, 25.7162671 43.1037827, 25.7161583 43.1036842)",,,
289885427,False,,Васил Левски,tertiary,False,222.04799999999997,"LINESTRING (25.7167871 43.1048219, 25.7180804 43.1041248, 25.7183003 43.1039564, 25.7185459 43.1037387, 25.7187117 43.1034885, 25.7187288 43.1034606)",8,,
289885427,False,,Васил Левски,tertiary,True,72.108,"LINESTRING (25.7167871 43.1048219, 25.7162688 43.1051134, 25.7160962 43.1052287)",8,,
192500674,True,,бул. Христо Ботев,residential,False,7.73,"LINESTRING (25.7196643 43.1080993, 25.7197264 43.108152)",,,
289885427,False,,Васил Левски,tertiary,True,222.048,"LINESTRING (25.7187288 43.1034606, 25.7187117 43.1034885, 25.7185459 43.1037387, 25.7183003 43.1039564, 25.7180804 43.1041248, 25.7167871 43.1048219)",8,,
192497903,False,,,residential,True,95.811,"LINESTRING (25.7128393 43.1111509, 25.7129238 43.111212, 25.7129797 43.1113318, 25.712985 43.1115144, 25.7128181 43.1119638)",,,
192957437,False,,Манастирска,residential,False,99.139,"LINESTRING (25.7160962 43.1052287, 25.7152851 43.1045622)",,,
192500674,True,,бул. Христо Ботев,residential,False,179.713,"LINESTRING (25.7160962 43.1052287, 25.7164183 43.1054134, 25.7176242 43.1063931)",,,
289885427,False,,Васил Левски,tertiary,False,72.108,"LINESTRING (25.7160962 43.1052287, 25.7162688 43.1051134, 25.7167871 43.1048219)",8,,
553545240,False,,пл. Възраждане,tertiary,False,144.414,"LINESTRING (25.7160962 43.1052287, 25.7159482 43.1054121, 25.7158003 43.1055954, 25.7155697 43.1058812, 25.7152341 43.1062971, 25.7151933 43.1063477)",,,
673500224,False,,пл. Възраждане,residential,True,46.358000000000004,"LINESTRING (25.7160962 43.1052287, 25.7159333 43.1053103, 25.7156171 43.1054554)",,,
192497902,False,,,residential,False,68.009,"LINESTRING (25.7176244 43.1046614, 25.7169324 43.1050061)",,,
192497930,False,,Панайот Хитов,residential,False,69.278,"LINESTRING (25.7192856 43.1041554, 25.7201297 43.1042468)",,,
192497907,False,,Тодор Хрулев,residential,False,68.04400000000001,"LINESTRING (25.7192856 43.1041554, 25.7193099 43.1043691, 25.7193173 43.1045567, 25.7193015 43.1046655, 25.7192722 43.1047636)",,,
192498148,False,,Трети Март,tertiary,False,154.419,"LINESTRING (25.7114738 43.109852, 25.712785 43.1088459)",8,,
192498148,False,,Трети Март,tertiary,True,61.274,"LINESTRING (25.7114738 43.109852, 25.7108277 43.1101369)",8,,
192500676,False,,Павел Калянджи,residential,False,77.003,"LINESTRING (25.7114738 43.109852, 25.7123131 43.1101747)",,,
192500676,False,,Павел Калянджи,residential,True,40.496,"LINESTRING (25.7114738 43.109852, 25.7111126 43.1096008)",,,
192497926,False,,Любен Каравелов,residential,False,24.036,"LINESTRING (25.7113352 43.1107757, 25.7114707 43.1109679)",,,
192497926,False,,Любен Каравелов,residential,True,82.114,"LINESTRING (25.7113352 43.1107757, 25.7108277 43.1101369)",,,
192498147,False,,Иван Вазов,residential,True,186.727,"LINESTRING (25.7113352 43.1107757, 25.7093892 43.1116711)",,,
192497927,False,,Капитан Дядо Никола,residential,False,38.847,"LINESTRING (25.7124882 43.1045613, 25.7129599 43.10462)",,,
553545242,False,,Капитан Дядо Никола,residential,False,91.77800000000002,"LINESTRING (25.7124882 43.1045613, 25.7123931 43.1046882, 25.7122325 43.1047351, 25.7120334 43.1047632, 25.71186 43.1047679, 25.7116544 43.1048101, 25.7115028 43.1048655)",,,
