osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,junction,width
678391003,Шейново,residential,False,False,126.808,,,"LINESTRING (23.217897 42.8140696, 23.2189791 42.8148884)",,
25577050,бул. Йордан Йовков,tertiary,True,False,106.449,,,"LINESTRING (23.2180996 42.8135886, 23.2168356 42.8133505)",,
205033256,Русе,residential,False,False,8.485,,,"LINESTRING (23.2180996 42.8135886, 23.218125 42.8135146)",,
205033256,Русе,residential,False,True,55.98,,,"LINESTRING (23.2180996 42.8135886, 23.217897 42.8140696)",,
25577285,Янко Забунов,residential,False,False,148.715,,,"LINESTRING (23.2131126 42.8137409, 23.2146984 42.8144008)",,
25578065,Иван Вазов,residential,False,False,98.448,,,"LINESTRING (23.2131126 42.8137409, 23.2128961 42.8146119)",,
25578065,Иван Вазов,residential,False,True,105.134,,,"LINESTRING (23.2131126 42.8137409, 23.2133537 42.8128121)",,
25577285,Янко Забунов,residential,False,False,105.992,,,"LINESTRING (23.2166517 42.8152243, 23.2177502 42.8157335)",,
25577285,Янко Забунов,residential,False,True,68.189,,,"LINESTRING (23.2166517 42.8152243, 23.2159281 42.8149172)",,
205033256,Русе,residential,False,False,163.718,,,"LINESTRING (23.2166517 42.8152243, 23.217897 42.8140696)",,
25577285,Янко Забунов,residential,False,False,65.806,,,"LINESTRING (23.2177502 42.8157335, 23.2184406 42.8160397)",,
25577285,Янко Забунов,residential,False,True,105.992,,,"LINESTRING (23.2177502 42.8157335, 23.2166517 42.8152243)",,
25577157,Мизия,residential,False,False,139.10999999999999,,,"LINESTRING (23.2177502 42.8157335, 23.2186719 42.8149934, 23.2189791 42.8148884)",,
"[678391002, 205033676]",Мизия,residential,False,True,177.348,,,"LINESTRING (23.2177502 42.8157335, 23.2166463 42.8166658, 23.2167882 42.8170105)",,
25577288,Мургаш,residential,False,True,8.483,,,"LINESTRING (23.2168356 42.8133505, 23.2168609 42.8132765)",,
25577050,бул. Йордан Йовков,tertiary,True,False,115.855,,,"LINESTRING (23.2168356 42.8133505, 23.215603 42.813111, 23.2154895 42.8130935, 23.2154611 42.8130884)",,
25577288,Мургаш,residential,False,False,191.02100000000002,,,"LINESTRING (23.2168356 42.8133505, 23.2165976 42.8140532, 23.2159281 42.8149172)",,
25577285,Янко Забунов,residential,False,False,68.189,,,"LINESTRING (23.2159281 42.8149172, 23.2166517 42.8152243)",,
25577285,Янко Забунов,residential,False,True,96.643,,,"LINESTRING (23.2159281 42.8149172, 23.2149004 42.8144847)",,
25577288,Мургаш,residential,False,True,191.02100000000002,,,"LINESTRING (23.2159281 42.8149172, 23.2165976 42.8140532, 23.2168356 42.8133505)",,
25577157,Мизия,residential,False,False,92.966,,,"LINESTRING (23.2189791 42.8148884, 23.2199842 42.8144942)",,
25577291,Шейново,residential,False,False,60.992,,,"LINESTRING (23.2189791 42.8148884, 23.2194999 42.815282)",,
678391003,Шейново,residential,False,True,126.808,,,"LINESTRING (23.2189791 42.8148884, 23.217897 42.8140696)",,
25577157,Мизия,residential,False,True,139.10999999999999,,,"LINESTRING (23.2189791 42.8148884, 23.2186719 42.8149934, 23.2177502 42.8157335)",,
25577245,Шипка,residential,False,False,87.514,,,"LINESTRING (23.2201658 42.8158259, 23.2193499 42.816337)",,
25577291,Шейново,residential,False,True,81.289,,,"LINESTRING (23.2201658 42.8158259, 23.2194999 42.815282)",,
678391004,Шипка,residential,False,True,81.251,,,"LINESTRING (23.2201658 42.8158259, 23.2209276 42.8153551)",,
504237035,,residential,False,False,58.108,,,"LINESTRING (23.2201658 42.8158259, 23.2202031 42.815845, 23.2202404 42.8158731, 23.2203109 42.8159292, 23.2204696 42.8160983, 23.2205643 42.8162517)",,
25577292,Родина,residential,False,True,122.822,,,"LINESTRING (23.2209276 42.8153551, 23.2199842 42.8144942)",,
678391004,Шипка,residential,False,False,81.251,,,"LINESTRING (23.2209276 42.8153551, 23.2201658 42.8158259)",,
401684729,София,residential,False,False,43.744,,,"LINESTRING (23.2204845 42.8123966, 23.2200852 42.8126592)",,
25577336,Рила,residential,False,False,149.704,,,"LINESTRING (23.2204845 42.8123966, 23.2196917 42.8113738, 23.2196146 42.8113493, 23.2194957 42.8113686, 23.2194749 42.8113795)",,
281815509,Славянска,tertiary,False,True,142.665,2,81017,"LINESTRING (23.2200852 42.8126592, 23.2188335 42.8117631)",,
401684729,София,residential,False,True,43.744,,,"LINESTRING (23.2200852 42.8126592, 23.2204845 42.8123966)",,
401684729,София,residential,False,False,138.89600000000002,,,"LINESTRING (23.2200852 42.8126592, 23.2196504 42.8129912, 23.2193663 42.8137519)",,
401684729,София,residential,False,True,7.783,,,"LINESTRING (23.2193437 42.8138199, 23.2193663 42.8137519)",,
25577050,бул. Йордан Йовков,tertiary,True,False,104.689,,,"LINESTRING (23.2193437 42.8138199, 23.218997 42.8137538, 23.2180996 42.8135886)",,
25577339,Г.С.Раковски,residential,False,False,179.381,,,"LINESTRING (23.2177384 42.8125922, 23.2161615 42.8114678)",,
205035720,Стефан Караджа,residential,False,True,128.37,,,"LINESTRING (23.2177384 42.8125922, 23.2188335 42.8117631)",,
25577339,Г.С.Раковски,residential,False,True,164.977,,,"LINESTRING (23.2177384 42.8125922, 23.2190389 42.8135732, 23.2190196 42.8136876)",,
25577181,Александър Стамболийски,residential,False,False,134.374,,,"LINESTRING (23.2199316 42.8171167, 23.2183272 42.8173912)",,
25577181,Александър Стамболийски,residential,False,True,59.128,,,"LINESTRING (23.2199316 42.8171167, 23.2206411 42.8170076)",,
25577843,Нарцис,residential,False,False,99.648,,,"LINESTRING (23.2102702 42.8102868, 23.2100772 42.8111717)",,
25577843,Нарцис,residential,False,True,108.238,,,"LINESTRING (23.2102702 42.8102868, 23.2105437 42.8093343)",,
601996390,Г.С.Раковски,residential,False,True,103.12,,,"LINESTRING (23.2102702 42.8102868, 23.211494 42.8105192)",,
25577843,Нарцис,residential,False,False,87.612,,,"LINESTRING (23.2100772 42.8111717, 23.2099152 42.8119506)",,
25577843,Нарцис,residential,False,True,99.648,,,"LINESTRING (23.2100772 42.8111717, 23.2102702 42.8102868)",,
504227459,Охрид,residential,False,False,198.224,,,"LINESTRING (23.2100772 42.8111717, 23.2124706 42.8114801)",,
504227459,Охрид,residential,False,True,198.224,,,"LINESTRING (23.2124706 42.8114801, 23.2100772 42.8111717)",,
1160013258,Цар Калоян,residential,False,False,126.566,,,"LINESTRING (23.2124706 42.8114801, 23.2122484 42.8126066)",,
1160013258,Цар Калоян,residential,False,True,83.944,,,"LINESTRING (23.2124706 42.8114801, 23.212641 42.8107356)",,
25577843,Нарцис,residential,False,False,41.035,,,"LINESTRING (23.2099152 42.8119506, 23.2098519 42.8123167)",,
25577843,Нарцис,residential,False,True,87.612,,,"LINESTRING (23.2099152 42.8119506, 23.2100772 42.8111717)",,
601996390,Г.С.Раковски,residential,False,False,96.609,,,"LINESTRING (23.212641 42.8107356, 23.211494 42.8105192)",,
601996390,Г.С.Раковски,residential,False,True,97.299,,,"LINESTRING (23.212641 42.8107356, 23.2137975 42.8109498)",,
1160013258,Цар Калоян,residential,False,False,83.944,,,"LINESTRING (23.212641 42.8107356, 23.2124706 42.8114801)",,
1160013258,Цар Калоян,residential,False,True,116.073,,,"LINESTRING (23.212641 42.8107356, 23.2129294 42.8097134)",,
25578028,Цар Калоян,residential,False,False,140.773,,,"LINESTRING (23.2122337 42.8126785, 23.2119297 42.8139247)",,
1160013257,Цар Калоян,residential,False,True,8.084,,,"LINESTRING (23.2122337 42.8126785, 23.2122484 42.8126066)",,
502482386,бул. Йордан Йовков,tertiary,True,False,197.97699999999998,,SFO1400,"LINESTRING (23.2122337 42.8126785, 23.2107538 42.8124917, 23.2098418 42.8123765)",,
25578034,Цар Калоян,residential,False,True,11.399,,,"LINESTRING (23.2140173 42.8163277, 23.2138813 42.8163513)",,
401680279,бул. Ломско шосе,secondary,False,True,12.234,2,81,"LINESTRING (23.2140173 42.8163277, 23.2139743 42.8164331)",,
401680279,бул. Ломско шосе,secondary,False,False,218.564,2,81,"LINESTRING (23.2140173 42.8163277, 23.2140533 42.8162399, 23.2141195 42.8160784, 23.2145175 42.8151287, 23.2148003 42.8144479)",,
25578028,Цар Калоян,residential,False,True,140.773,,,"LINESTRING (23.2119297 42.8139247, 23.2122337 42.8126785)",,
25578067,Ком,residential,False,False,109.785,,,"LINESTRING (23.2119297 42.8139247, 23.2128961 42.8146119)",,
"[25578034, 25578028]",Цар Калоян,residential,False,False,420.751,,,"LINESTRING (23.2119297 42.8139247, 23.2117132 42.8148817, 23.2116373 42.8152172, 23.2112716 42.8168308, 23.2123826 42.8166357)",,
601996390,Г.С.Раковски,residential,False,False,97.299,,,"LINESTRING (23.2137975 42.8109498, 23.212641 42.8107356)",,
601996390,Г.С.Раковски,residential,False,True,183.216,,,"LINESTRING (23.2137975 42.8109498, 23.2159645 42.8113831)",,
1160013256,Иван Вазов,residential,False,False,74.328,,,"LINESTRING (23.2137975 42.8109498, 23.2136473 42.8116091)",,
1160013256,Иван Вазов,residential,False,True,120.317,,,"LINESTRING (23.2137975 42.8109498, 23.2141092 42.8098922)",,
25578065,Иван Вазов,residential,False,False,105.134,,,"LINESTRING (23.2133537 42.8128121, 23.2131126 42.8137409)",,
502482386,бул. Йордан Йовков,tertiary,True,False,92.559,,SFO1400,"LINESTRING (23.2133537 42.8128121, 23.2122337 42.8126785)",,
1160013255,Иван Вазов,residential,False,True,7.671,,,"LINESTRING (23.2133537 42.8128121, 23.2133687 42.812744)",,
25578034,Цар Калоян,residential,False,False,126.266,,,"LINESTRING (23.2123826 42.8166357, 23.2138813 42.8163513)",,
25578065,Иван Вазов,residential,False,True,228.901,,,"LINESTRING (23.2123826 42.8166357, 23.2128961 42.8146119)",,
"[25578034, 25578028]",Цар Калоян,residential,False,True,420.7510000000001,,,"LINESTRING (23.2123826 42.8166357, 23.2112716 42.8168308, 23.2116373 42.8152172, 23.2117132 42.8148817, 23.2119297 42.8139247)",,
25578065,Иван Вазов,residential,False,False,228.901,,,"LINESTRING (23.2128961 42.8146119, 23.2123826 42.8166357)",,
25578065,Иван Вазов,residential,False,True,98.448,,,"LINESTRING (23.2128961 42.8146119, 23.2131126 42.8137409)",,
25578067,Ком,residential,False,False,134.491,,,"LINESTRING (23.2128961 42.8146119, 23.2144097 42.8150916)",,
25578067,Ком,residential,False,True,109.785,,,"LINESTRING (23.2128961 42.8146119, 23.2119297 42.8139247)",,
1160013256,Иван Вазов,residential,False,False,128.225,,,"LINESTRING (23.2136473 42.8116091, 23.2133687 42.812744)",,
1160013256,Иван Вазов,residential,False,True,74.328,,,"LINESTRING (23.2136473 42.8116091, 23.2137975 42.8109498)",,
25578094,Черни връх,residential,False,False,172.73899999999998,,,"LINESTRING (23.2136473 42.8116091, 23.2143626 42.8117431, 23.2147762 42.8118207, 23.2153052 42.8119198, 23.2156996 42.811992)",,
25578109,Бреза,residential,False,True,111.872,,,"LINESTRING (23.211494 42.8105192, 23.2117543 42.8095314)",,
601996390,Г.С.Раковски,residential,False,False,103.12,,,"LINESTRING (23.211494 42.8105192, 23.2102702 42.8102868)",,
601996390,Г.С.Раковски,residential,False,True,96.609,,,"LINESTRING (23.211494 42.8105192, 23.212641 42.8107356)",,
25577143,Славянска,tertiary,False,True,165.248,2,,"LINESTRING (23.2160911 42.8101997, 23.2160276 42.8101898, 23.2141092 42.8098922)",,
504410958,Славянска,tertiary,True,False,27.985,2,,"LINESTRING (23.2160911 42.8101997, 23.2163356 42.8101664, 23.2164274 42.8101503)",,
147850694,,residential,True,False,73.436,,,"LINESTRING (23.216497 42.8100802, 23.2167415 42.8094446)",,
750110537,бул. Ломско шосе,secondary,True,False,31.208,,81,"LINESTRING (23.216497 42.8100802, 23.216733 42.8098593)",,
281815507,бул. Ломско шосе,secondary,False,True,97.898,2,81,"LINESTRING (23.217092 42.8090192, 23.216733 42.8098593)",,
750110538,,residential,False,True,16.366,,,"LINESTRING (23.217092 42.8090192, 23.2168962 42.8090513)",,
750110539,бул. Ломско шосе,secondary,False,False,36.654,2,81,"LINESTRING (23.217092 42.8090192, 23.2173302 42.8087397)",,
147850705,,residential,False,True,73.525,,,"LINESTRING (23.2168962 42.8090513, 23.216097 42.8087456)",,
726185788,,residential,False,True,45.517,,,"LINESTRING (23.2168962 42.8090513, 23.2167415 42.8094446)",,
750110538,,residential,False,False,16.366,,,"LINESTRING (23.2168962 42.8090513, 23.217092 42.8090192)",,
205033409,Вишна,residential,False,False,116.559,,,"LINESTRING (23.2161729 42.8156692, 23.215336 42.8164247, 23.215284 42.816489)",,
205033603,Къпина,residential,False,True,115.911,,,"LINESTRING (23.2151866 42.8172285, 23.2137655 42.8172308)",,
205033409,Вишна,residential,False,True,85.787,,,"LINESTRING (23.2151866 42.8172285, 23.2151322 42.8166766, 23.215284 42.816489)",,
281815507,бул. Ломско шосе,secondary,False,False,97.898,2,81,"LINESTRING (23.216733 42.8098593, 23.217092 42.8090192)",,
281815504,бул. Ломско шосе,secondary,True,False,36.397,,81,"LINESTRING (23.216733 42.8098593, 23.2166963 42.8100314, 23.2167022 42.8101185, 23.2167097 42.8101842)",,
213442406,,residential,False,False,205.16299999999998,,,"LINESTRING (23.2190445 42.8099978, 23.2189604 42.80968, 23.2173302 42.8087397)",,
750110539,бул. Ломско шосе,secondary,False,True,36.654,2,81,"LINESTRING (23.2173302 42.8087397, 23.217092 42.8090192)",,
213442406,,residential,False,True,205.16299999999998,,,"LINESTRING (23.2173302 42.8087397, 23.2189604 42.80968, 23.2190445 42.8099978)",,
147850705,,residential,False,False,73.525,,,"LINESTRING (23.216097 42.8087456, 23.2168962 42.8090513)",,
213443231,,residential,False,False,90.655,,,"LINESTRING (23.2156735 42.8092194, 23.2163835 42.8093646, 23.2167415 42.8094446)",,
726185788,,residential,False,False,45.517,,,"LINESTRING (23.2167415 42.8094446, 23.2168962 42.8090513)",,
213443231,,residential,False,True,90.655,,,"LINESTRING (23.2167415 42.8094446, 23.2163835 42.8093646, 23.2156735 42.8092194)",,
25577181,Александър Стамболийски,residential,False,False,59.128,,,"LINESTRING (23.2206411 42.8170076, 23.2199316 42.8171167)",,
25577181,Александър Стамболийски,residential,False,True,9.93,,,"LINESTRING (23.2206411 42.8170076, 23.2207593 42.8169862)",,
25577285,Янко Забунов,residential,False,True,129.62,,,"LINESTRING (23.2206411 42.8170076, 23.2196427 42.8164351, 23.2193499 42.816337)",,
25577291,Шейново,residential,False,False,81.289,,,"LINESTRING (23.2194999 42.815282, 23.2201658 42.8158259)",,
25577291,Шейново,residential,False,True,60.992,,,"LINESTRING (23.2194999 42.815282, 23.2189791 42.8148884)",,
213445427,Плиска,residential,False,False,121.09700000000001,,,"LINESTRING (23.2194999 42.815282, 23.2188902 42.8156553, 23.2184406 42.8160397)",,
25577285,Янко Забунов,residential,False,True,65.806,,,"LINESTRING (23.2184406 42.8160397, 23.2177502 42.8157335)",,
25577285,Янко Забунов,residential,False,False,82.368,,,"LINESTRING (23.2184406 42.8160397, 23.2189136 42.8162619, 23.2193499 42.816337)",,
213445427,Плиска,residential,False,True,121.09700000000001,,,"LINESTRING (23.2184406 42.8160397, 23.2188902 42.8156553, 23.2194999 42.815282)",,
750110535,,secondary,True,False,4.657,,,"LINESTRING (23.2166836 42.8103665, 23.2166371 42.8103908)",roundabout,
750110534,бул. Ломско шосе,secondary,True,False,6.35,,81,"LINESTRING (23.2164174 42.8104235, 23.2164093 42.8103667)",,
281815505,бул. Ломско шосе,secondary,True,False,24.234,,81,"LINESTRING (23.216594 42.8104408, 23.2165145 42.810496, 23.2164266 42.8106176)",,
502482389,,residential,True,False,119.536,,,"LINESTRING (23.216594 42.8104408, 23.2165541 42.8105518, 23.2161615 42.8114678)",,
281815511,бул. Ломско шосе,secondary,True,False,21.629,,81,"LINESTRING (23.2164266 42.8106176, 23.2164283 42.8105007, 23.2164174 42.8104235)",,
502482387,бул. Ломско шосе,secondary,False,True,253.813,2,81,"LINESTRING (23.2164266 42.8106176, 23.2160733 42.8114049, 23.2158105 42.8120124, 23.2154838 42.8127928)",,
