osmid,oneway,ref,highway,reversed,length,lanes,maxspeed,geometry,name,bridge
72666219,True,501,tertiary,False,33.149,,,"LINESTRING (25.7386236 43.460012, 25.7390337 43.4599957)",,
1037292042,False,51,secondary,False,14.035,2,50,"LINESTRING (25.7386236 43.460012, 25.7384719 43.4600737)",,
164734331,False,51,secondary,True,228.332,2,50,"LINESTRING (25.7386236 43.460012, 25.7387014 43.4598561, 25.7387315 43.4597628, 25.7388154 43.4595026, 25.7390169 43.4589542, 25.7393922 43.4580368)",,
164734331,False,51,secondary,True,20.948,2,50,"LINESTRING (25.7395847 43.4576215, 25.739693 43.4574503)",,
41831054,False,,residential,False,70.235,,,"LINESTRING (25.7395847 43.4576215, 25.7392093 43.4576133, 25.7389081 43.4576008, 25.7387226 43.4575624)",,
164734331,False,51,secondary,False,48.733000000000004,2,50,"LINESTRING (25.7395847 43.4576215, 25.7394971 43.4577964, 25.7393922 43.4580368)",,
41831054,False,,residential,True,73.405,,,"LINESTRING (25.7378959 43.4572873, 25.7387226 43.4575624)",,
204168352,False,,residential,False,3.673,,,"LINESTRING (25.7378959 43.4572873, 25.7379161 43.4572577)",,
41831054,False,,residential,False,24.897,,,"LINESTRING (25.7378959 43.4572873, 25.7377491 43.4573317, 25.737668 43.4574228)",,
194463614,False,,residential,False,40.642,,,"LINESTRING (25.7373427 43.4581734, 25.7371618 43.4585145)",,
194463614,False,,residential,True,87.496,,,"LINESTRING (25.7373427 43.4581734, 25.737668 43.4574228)",,
204168351,False,,residential,True,113.626,,,"LINESTRING (25.7373427 43.4581734, 25.7387396 43.4580467)",,
639895965,False,,residential,False,130.236,,,"LINESTRING (25.7373427 43.4581734, 25.7371449 43.458273, 25.7368151 43.4584453, 25.7363913 43.458679, 25.7360378 43.4588621)",,
194463614,False,,residential,True,40.642,,,"LINESTRING (25.7371618 43.4585145, 25.7373427 43.4581734)",,
671297644,False,,residential,False,73.887,,,"LINESTRING (25.7371618 43.4585145, 25.7378909 43.4589163)",,
194463614,False,,residential,False,80.98,,,"LINESTRING (25.7371618 43.4585145, 25.7368769 43.4589783, 25.7368519 43.459198)",,
194463614,False,,residential,False,75.109,,,"LINESTRING (25.7368519 43.459198, 25.7363502 43.4597669)",,
41831055,False,,residential,False,44.391999999999996,,,"LINESTRING (25.7368519 43.459198, 25.7370854 43.4592512, 25.737325 43.4593885)",,
194463614,False,,residential,True,80.98,,,"LINESTRING (25.7368519 43.459198, 25.7368769 43.4589783, 25.7371618 43.4585145)",,
