osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,width,access,junction
609935113,True,3,бул. Княгиня Мария Луиза,secondary,False,6.792,,"LINESTRING (23.3216941 42.6977473, 23.3216716 42.6976885)",,,
"[566099549, 609935111]",True,3,бул. Тодор Александров,primary,False,108.15400000000001,50,"LINESTRING (23.3216941 42.6977473, 23.3215909 42.697771, 23.3211721 42.6978636, 23.3209745 42.6979107, 23.3208109 42.6979521, 23.3206219 42.6979977, 23.3204314 42.6980382)",,,
20310067,True,,Веслец,residential,False,32.046,30,"LINESTRING (23.3256951 42.6994742, 23.3257023 42.6994203, 23.3257472 42.6991886)",,,
20310203,True,,Искър,residential,False,78.315,30,"LINESTRING (23.3256951 42.6994742, 23.3257782 42.6994825, 23.3264581 42.6995495, 23.3266444 42.6995706)",,,
20309288,True,2,бул. Цар Освободител,secondary,False,17.615,50,"LINESTRING (23.324253 42.6972105, 23.3240904 42.6973145)",,,
375682041,False,4,бул. Цар Освободител,secondary,True,82.344,50,"LINESTRING (23.324253 42.6972105, 23.3251333 42.6968502)",,,
157756050,False,,Цар Калоян,residential,False,79.65799999999999,30,"LINESTRING (23.3222124 42.6947625, 23.3222234 42.6947949, 23.3224493 42.6954574)",,,
"[673224331, 346638996]",True,1,Алабин,unclassified,False,30.657,30,"LINESTRING (23.3222124 42.6947625, 23.3221352 42.6947754, 23.3218452 42.6948188)",,,
314726788,False,4,бул. Княз Александър Дондуков,primary,False,30.407999999999998,50,"LINESTRING (23.3238454 42.6975272, 23.3239347 42.6975589, 23.3239768 42.6975739, 23.3240893 42.697604, 23.3241908 42.6976275)",,,
554835481,False,5,бул. Княз Александър Дондуков,primary,True,49.616,50,"LINESTRING (23.3238454 42.6975272, 23.3237185 42.6974812, 23.3236649 42.6974628, 23.3235892 42.6974409, 23.3235055 42.6974303, 23.3233982 42.697436, 23.3232666 42.697448)",,,
672990641,True,,Цар Симеон,residential,False,104.612,30,"LINESTRING (23.3203537 42.7016398, 23.3216017 42.7014302)",,,
404360439,True,,Княз Борис Ⅰ,residential,False,118.191,30,"LINESTRING (23.3203537 42.7016398, 23.3200457 42.7006255, 23.3200387 42.7006024)",5.9,,
20309901,True,,Сердика,residential,False,93.515,30,"LINESTRING (23.3242167 42.7009857, 23.3243827 42.7001536)",,,
504603254,True,,Цар Симеон,residential,False,96.001,30,"LINESTRING (23.3242167 42.7009857, 23.3249064 42.7010503, 23.3253813 42.701099)",,,
287251036,True,1,Княз Борис Ⅰ,residential,False,120.20900000000002,30,"LINESTRING (23.3189773 42.6971157, 23.3190105 42.6972142, 23.3192684 42.6980661, 23.3192784 42.698099, 23.3192994 42.6981705)",,,
528935366,False,4,бул. Александър Стамболийски,secondary,False,94.44,50,"LINESTRING (23.3189773 42.6971157, 23.3188591 42.697134, 23.3178466 42.6972911)",,,
528935366,False,4,бул. Александър Стамболийски,secondary,True,49.528999999999996,50,"LINESTRING (23.3189773 42.6971157, 23.3190307 42.6971074, 23.3190915 42.6970979, 23.3195704 42.6970241)",,,
"[433815224, 230377103]",True,,"['Цар Самуил', 'Иван Денкоглу']",residential,False,150.337,30,"LINESTRING (23.3181004 42.6942775, 23.3169992 42.6944613, 23.3168266 42.6939549)",,,
373332009,True,,Княз Борис Ⅰ,residential,False,65.831,30,"LINESTRING (23.3181004 42.6942775, 23.3180001 42.6939522, 23.3179549 42.6938055, 23.3179224 42.6937001)",,,
288281160,False,,Пиротска,residential,False,92.762,,"LINESTRING (23.31616 42.7002165, 23.3162385 42.7002013, 23.3162804 42.7001932, 23.3171228 42.7000295, 23.3172579 42.7000046)",,,
288281161,True,2,бул. Христо Ботев,secondary,False,79.005,,"LINESTRING (23.31616 42.7002165, 23.3161652 42.7002344, 23.3161783 42.7002807, 23.3162169 42.7004175, 23.3163564 42.7009122)",,,
672924362,False,,Пиротска,residential,True,10.169,,"LINESTRING (23.31616 42.7002165, 23.3161148 42.7002253, 23.3160822 42.7002317, 23.3160397 42.7002399)",,,
20310469,True,,Будапеща,residential,False,88.882,30,"LINESTRING (23.3275246 42.7004618, 23.3276644 42.6996691)",,,
26989311,True,,Екзарх Йосиф,residential,False,82.607,30,"LINESTRING (23.3275246 42.7004618, 23.3265226 42.7003636)",,,
26989311,True,,Екзарх Йосиф,residential,False,80.127,30,"LINESTRING (23.3265226 42.7003636, 23.3255507 42.7002682)",,,
96640831,True,,Бачо Киро,residential,False,94.034,30,"LINESTRING (23.3265226 42.7003636, 23.3263564 42.7012004)",,,
26989311,True,,Екзарх Йосиф,residential,False,96.294,30,"LINESTRING (23.3255507 42.7002682, 23.3243827 42.7001536)",,,
20310063,True,,Веслец,residential,False,89.07400000000001,30,"LINESTRING (23.3255507 42.7002682, 23.3256916 42.6994935, 23.3256951 42.6994742)",,,
20309901,True,,Сердика,residential,False,56.464999999999996,30,"LINESTRING (23.3243827 42.7001536, 23.3243951 42.7000703, 23.3244471 42.6997202, 23.3244551 42.699666, 23.3244577 42.6996488)",,,
"[20309506, 26989311]",True,,Екзарх Йосиф,residential,False,155.56399999999996,30,"LINESTRING (23.3243827 42.7001536, 23.3234848 42.7000624, 23.3232983 42.7000434, 23.3231767 42.7000353, 23.3226101 42.7001373, 23.3225902 42.7001407, 23.3225096 42.7001554)",,,
362916613,True,,Искър,residential,False,58.246,30,"LINESTRING (23.3244577 42.6996488, 23.325099 42.6994202)",,,
20309901,True,,Сердика,residential,False,32.685,30,"LINESTRING (23.3244577 42.6996488, 23.3244609 42.6996298, 23.324507 42.6993571)",,,
951274609,True,1,бул. Княз Александър Дондуков,primary,False,77.336,50,"LINESTRING (23.3259987 42.6978162, 23.3261403 42.6977945, 23.3265405 42.69783, 23.3267061 42.6978463, 23.3269357 42.6978681)",,,
"[1210604386, 1228681005]",False,2,бул. Княз Александър Дондуков,primary,False,94.109,50,"LINESTRING (23.3259987 42.6978162, 23.3258668 42.6978031, 23.3248575 42.6977028)",,,
20309901,True,,Сердика,residential,False,97.432,30,"LINESTRING (23.3240639 42.7018547, 23.3242167 42.7009857)",,,
20309928,True,,Сердика,residential,False,76.877,30,"LINESTRING (23.324663 42.6986753, 23.324507 42.6993571)",,,
"[20309914, 951274852]",False,,Сердика,residential,False,109.30000000000001,30,"LINESTRING (23.324663 42.6986753, 23.3248422 42.6977858, 23.3248575 42.6977028)",,permissive,
20310580,False,,Триадица,residential,False,168.544,30,"LINESTRING (23.324663 42.6986753, 23.3233564 42.698922, 23.323344 42.6989244, 23.3232398 42.6989446, 23.3227202 42.6990451, 23.3226665 42.6990555)",,,
20310063,True,,Веслец,residential,False,93.412,30,"LINESTRING (23.3253813 42.701099, 23.3255507 42.7002682)",,,
504603254,True,,Цар Симеон,residential,False,80.476,30,"LINESTRING (23.3253813 42.701099, 23.3263564 42.7012004)",,,
673196825,True,,Бачо Киро,residential,False,9.181,,"LINESTRING (23.3269357 42.6978681, 23.3269322 42.697887, 23.3269215 42.69795)",,,
96640831,True,,Бачо Киро,residential,False,88.738,30,"LINESTRING (23.3266444 42.6995706, 23.3265226 42.7003636)",,,
435370279,True,,Искър,residential,False,84.07,30,"LINESTRING (23.3266444 42.6995706, 23.3276644 42.6996691)",,,
504603254,True,,Цар Симеон,residential,False,84.128,30,"LINESTRING (23.3263564 42.7012004, 23.3273763 42.7013035)",,,
20310469,True,,Будапеща,residential,False,94.375,30,"LINESTRING (23.3273763 42.7013035, 23.3274445 42.7009166, 23.327474 42.7007492, 23.3275246 42.7004618)",,,
20310067,True,,Веслец,residential,False,109.705,30,"LINESTRING (23.3258192 42.6987939, 23.3259681 42.6979616, 23.325985 42.6978749, 23.3259987 42.6978162)",,,
20310591,True,,Триадица,residential,False,95.40100000000001,30,"LINESTRING (23.3258192 42.6987939, 23.3257835 42.6987903, 23.3250797 42.6987189, 23.324663 42.6986753)",,,
19851619,False,,Славянска,residential,True,57.224,30,"LINESTRING (23.3273494 42.6940615, 23.3268064 42.6943864)",,,
566032571,True,1,Позитано,residential,False,50.984,30,"LINESTRING (23.3192883 42.696056, 23.3186794 42.6961558)",,,
"[292525352, 297432675, 1234974036]",True,1,Позитано,residential,False,266.743,30,"LINESTRING (23.3192883 42.696056, 23.3206389 42.6958454, 23.3209499 42.6957904, 23.32102 42.6957796, 23.3210741 42.6957699, 23.3210913 42.695767, 23.3211101 42.6957641, 23.321195 42.695749, 23.3212235 42.6957444, 23.3212546 42.6957394, 23.3219969 42.6956188, 23.3224748 42.6955372)",,,
1173712520,True,1,Позитано,residential,False,64.919,30,"LINESTRING (23.3186794 42.6961558, 23.3179036 42.6962813)",,,
287251036,True,1,Княз Борис Ⅰ,residential,False,109.479,30,"LINESTRING (23.3186794 42.6961558, 23.3188421 42.6966789, 23.3189326 42.6969689, 23.3189422 42.6969997, 23.3189773 42.6971157)",,,
566032575,True,1,Княз Борис Ⅰ,residential,False,128.828,30,"LINESTRING (23.3186794 42.6961558, 23.3185954 42.695902, 23.3185304 42.6956866, 23.3184535 42.6954527, 23.318348 42.695106, 23.3183355 42.695065, 23.318324 42.6950271)",,,
566032576,True,1,Позитано,residential,False,34.658,30,"LINESTRING (23.3175663 42.6963358, 23.3171524 42.6964037)",,,
141400171,True,1,Цар Самуил,residential,False,108.667,30,"LINESTRING (23.3175663 42.6963358, 23.3177193 42.6968666, 23.3178069 42.6971598, 23.3178178 42.6971963, 23.3178466 42.6972911)",,,
292558504,True,,бул. Стефан Стамболов,residential,False,141.886,30,"LINESTRING (23.3191138 42.7018453, 23.3187813 42.7012963, 23.3183559 42.7009405, 23.3181833 42.700784)",,,
672990642,True,,Цар Симеон,residential,False,103.866,30,"LINESTRING (23.3191138 42.7018453, 23.3193338 42.7018072, 23.3203537 42.7016398)",,,
20277457,True,,Цар Симеон,residential,False,76.665,30,"LINESTRING (23.3181983 42.701996, 23.3191138 42.7018453)",,,
666250882,True,,Братя Миладинови,residential,False,74.286,30,"LINESTRING (23.3181983 42.701996, 23.3180007 42.7013439)",,,
"[96456960, 672971948, 672971951]",True,,бул. Стефан Стамболов,residential,False,60.516999999999996,,"LINESTRING (23.3188931 42.700806, 23.3186265 42.7008475, 23.318545 42.7008554, 23.3184554 42.7008579, 23.3184471 42.7008575, 23.3183884 42.7008541, 23.3183215 42.7008433, 23.3182594 42.7008217, 23.3181833 42.700784)",,,
362916615,True,,Екзарх Йосиф,residential,False,96.315,,"LINESTRING (23.3200387 42.7006024, 23.3188931 42.700806)",,,
404360439,True,,Княз Борис Ⅰ,residential,False,112.258,30,"LINESTRING (23.3200387 42.7006024, 23.3200323 42.7005814, 23.3198459 42.699969, 23.3197388 42.6996172)",5.9,,
22893217,True,,Цар Симеон,residential,False,92.583,30,"LINESTRING (23.3216017 42.7014302, 23.322645 42.7012566, 23.3227067 42.7012463)",,,
362916615,True,,Екзарх Йосиф,residential,False,104.993,,"LINESTRING (23.3212859 42.7003756, 23.3200387 42.7006024)",,,
584384500,True,,Георг Вашингтон,residential,False,120.072,30,"LINESTRING (23.3212859 42.7003756, 23.3212943 42.7004023, 23.3216017 42.7014302)",,,
