osmid,highway,oneway,reversed,length,lanes,name,geometry,ref,bridge,maxspeed
344877238,residential,False,False,117.053,,,"LINESTRING (-57.1377414 -25.3876487, -57.1368167 -25.3870082)",,,
344877238,residential,False,True,120.231,,,"LINESTRING (-57.1377414 -25.3876487, -57.1386564 -25.3883457)",,,
115666558,residential,False,False,141.89100000000002,2,Padre Ayala Solís,"LINESTRING (-57.1377414 -25.3876487, -57.1381689 -25.3871256, -57.1385966 -25.3866333)",,,
115666556,residential,True,False,83.49,2,Concepción,"LINESTRING (-57.1416317 -25.3870025, -57.142253 -25.3875012)",,,
353173106,residential,False,False,74.684,,14 de Mayo,"LINESTRING (-57.1416317 -25.3870025, -57.1411739 -25.3875317)",,,
115668674,primary,False,False,140.226,2,Del Maestro,"LINESTRING (-57.1447324 -25.3824003, -57.1437434 -25.3815104)",D009,,
115670727,residential,False,False,125.194,,Intendente Ortiz,"LINESTRING (-57.1445902 -25.3841012, -57.1435518 -25.3834787)",,,
"[191673000, 115670724, 191672999]",residential,True,False,244.46,2,Teniente Fariña,"LINESTRING (-57.1445902 -25.3841012, -57.1441182 -25.3847692, -57.1440465 -25.3848707, -57.1433055 -25.3859682)",,yes,
1112812557,residential,False,False,88.483,,Pozo de la Virgen,"LINESTRING (-57.141825 -25.3841547, -57.1411445 -25.3836495)",,,
"[855195555, 855195557, 855195558]",primary,True,False,91.036,2,Doctor Venancio Pino,"LINESTRING (-57.141825 -25.3841547, -57.1417682 -25.3842357, -57.141502 -25.3846156, -57.1413402 -25.3848464)",D009,yes,
115677753,residential,False,True,110.186,2,Boquerón,"LINESTRING (-57.1390515 -25.3860945, -57.1399195 -25.3867003)",,,
344875596,residential,True,False,62.74,2,Padre Ayala Solís,"LINESTRING (-57.1390515 -25.3860945, -57.139486 -25.3856892)",,,
115677753,residential,False,False,48.328,2,Boquerón,"LINESTRING (-57.1411739 -25.3875317, -57.1407963 -25.3872624)",,,
353173106,residential,False,False,86.656,,14 de Mayo,"LINESTRING (-57.1411739 -25.3875317, -57.1406189 -25.3881283)",,,
353173106,residential,False,True,74.684,,14 de Mayo,"LINESTRING (-57.1411739 -25.3875317, -57.1416317 -25.3870025)",,,
280202581,residential,False,False,87.18,2,Independencia Nacional,"LINESTRING (-57.1370564 -25.3842652, -57.1375262 -25.383606)",,,
353173105,residential,True,False,148.404,2,Concepción,"LINESTRING (-57.1370564 -25.3842652, -57.1382907 -25.3849985)",,,
280202555,residential,False,False,160.385,,Concepción,"LINESTRING (-57.1370564 -25.3842652, -57.1369849 -25.384223, -57.1368282 -25.3841307, -57.1357192 -25.3834772)",,,
280202581,residential,False,True,106.911,2,Independencia Nacional,"LINESTRING (-57.1370564 -25.3842652, -57.1368134 -25.3845773, -57.1367518 -25.3846565, -57.1364441 -25.3850516)",,,
164574133,residential,False,False,139.316,,,"LINESTRING (-57.1385613 -25.3822334, -57.1373589 -25.3816092)",,,
280202581,residential,False,True,97.954,2,Independencia Nacional,"LINESTRING (-57.1385613 -25.3822334, -57.1380131 -25.3829619)",,,
164574133,residential,False,True,136.835,,,"LINESTRING (-57.1385613 -25.3822334, -57.139107 -25.3825563, -57.1392862 -25.3826707, -57.13944 -25.3827653, -57.1396798 -25.3829345)",,,
"[164574075, 164574076, 280202581]",residential,False,False,136.20600000000002,2,Independencia Nacional,"LINESTRING (-57.1385613 -25.3822334, -57.1387805 -25.3819353, -57.1388564 -25.3818289, -57.1391456 -25.381415, -57.1391885 -25.3813641, -57.1392341 -25.3813241, -57.1393484 -25.3812458)",,yes,
344875600,residential,False,True,148.935,,,"LINESTRING (-57.1364441 -25.3850516, -57.1376375 -25.3858463)",,,
