osmid,oneway,ref,name,highway,reversed,length,junction,geometry,bridge
1154207994,True,D010,Saadettin Kaynak Bulvarı,trunk,False,14.792,,"LINESTRING (40.42157 41.0246496, 40.4217462 41.0246546)",
177783590,True,,,trunk_link,False,22.219,roundabout,"LINESTRING (40.42157 41.0246496, 40.4216409 41.0246654, 40.4216956 41.0246899, 40.4217376 41.024726, 40.4217628 41.0247701)",
307339110,True,53-52,,secondary,False,15.558,,"LINESTRING (40.4213633 41.0247982, 40.4213663 41.0246583)",
177783590,True,,,trunk_link,False,26.022,roundabout,"LINESTRING (40.4213633 41.0247982, 40.4213772 41.0247514, 40.4214095 41.0247101, 40.4214572 41.0246785, 40.4215155 41.0246594, 40.42157 41.0246496)",
177783590,True,,,trunk_link,False,32.248,roundabout,"LINESTRING (40.4217628 41.0247701, 40.4217686 41.024818, 40.4217545 41.0248647, 40.421722 41.0249059, 40.4216742 41.0249374, 40.4216158 41.0249563, 40.4215508 41.0249673)",
177783590,True,,,trunk_link,False,26.66,roundabout,"LINESTRING (40.4215508 41.0249673, 40.4214907 41.0249501, 40.4214362 41.0249256, 40.4213944 41.0248897, 40.4213693 41.0248458, 40.4213633 41.0247982)",
"[1154207993, 177783562]",True,D010,Saadettin Kaynak Bulvarı,trunk,False,461.37699999999995,,"LINESTRING (40.4269581 41.0255688, 40.4262147 41.0254087, 40.4250209 41.0251607, 40.424885 41.0251355, 40.4247904 41.025118, 40.4246228 41.0250926, 40.42437 41.0250596, 40.4241119 41.0250368, 40.4239187 41.0250214, 40.4235973 41.0250024, 40.4230531 41.0249839, 40.4215508 41.0249673)",yes
1154025260,False,,,living_street,True,48.775999999999996,,"LINESTRING (40.4269581 41.0255688, 40.427099 41.0258334, 40.4271275 41.0258656, 40.4271641 41.0258856, 40.4272149 41.0259024, 40.4272644 41.0259131)",
1154207990,False,53-52,Cumhuriyet Caddesi,secondary,False,3.517,,"LINESTRING (40.4221161 41.0227122, 40.422123 41.0227434)",
1154340978,False,,Tersane Mahallesi Kümeevler Sokağı,tertiary,True,150.94000000000003,,"LINESTRING (40.4221161 41.0227122, 40.4218699 41.0224852, 40.4217978 41.022426, 40.4217004 41.0223651, 40.4216002 41.0223275, 40.4214772 41.0222991, 40.4213266 41.0222756, 40.4211586 41.0222633, 40.4210389 41.0222656, 40.4209671 41.0222829, 40.4209166 41.0223098, 40.4208821 41.0223507, 40.4208605 41.0224065, 40.4208636 41.0224553, 40.4208821 41.0224925, 40.4209437 41.0225506)",
1154135601,False,,Merkez Mahallesi Kümeevler Sokağı,tertiary,False,30.862000000000002,,"LINESTRING (40.4256939 41.0233785, 40.4256781 41.0235078, 40.4256782 41.0236014, 40.4256844 41.0236553)",
1154135601,False,,Merkez Mahallesi Kümeevler Sokağı,tertiary,True,107.17,,"LINESTRING (40.4256939 41.0233785, 40.4256953 41.0232667, 40.4256917 41.0231883, 40.4256775 41.0231208, 40.4256568 41.023043, 40.4256327 41.0229735, 40.4255859 41.0228324, 40.4255758 41.0227956, 40.4255717 41.0227603, 40.4255778 41.0227312, 40.4256368 41.0226008, 40.4256652 41.0225287, 40.4256774 41.0224858, 40.4256815 41.0224367)",
1154135602,False,,Merkez Mahallesi Kümeevler Sokağı,residential,False,113.681,,"LINESTRING (40.4256939 41.0233785, 40.4260964 41.0231957, 40.4262037 41.023139, 40.4262895 41.0230763, 40.4263405 41.0230318, 40.4264156 41.0229508, 40.426488 41.022878, 40.4265497 41.0228132, 40.4266194 41.0227626, 40.4267053 41.0227201)",
"[1154203274, 1154203275, 1153954396]",False,,Atatürk Caddesi,tertiary,False,134.229,,"LINESTRING (40.4217221 41.0239673, 40.4219848 41.0238409, 40.4221108 41.0237951, 40.422184 41.0237683, 40.4222637 41.023755, 40.4223167 41.0237523, 40.4223787 41.0237536, 40.4224548 41.0237656, 40.4226654 41.0238271, 40.4227794 41.0238629, 40.4231897 41.0239898)",yes
1154207990,False,53-52,Cumhuriyet Caddesi,secondary,False,52.208,,"LINESTRING (40.4217221 41.0239673, 40.4216463 41.0240421, 40.4215909 41.0240945, 40.4215562 41.024133, 40.4215318 41.0241752, 40.4215197 41.0242315, 40.4215201 41.0242791, 40.4215201 41.0243302, 40.4215247 41.0243901)",
1154207990,False,53-52,Cumhuriyet Caddesi,secondary,True,35.802,,"LINESTRING (40.4217221 41.0239673, 40.4218294 41.0238271, 40.4219096 41.0237422, 40.4219553 41.0236983)",
307339111,True,53-52,,secondary,False,36.574,,"LINESTRING (40.4215247 41.0243901, 40.4216129 41.0244311, 40.4216651 41.0244745, 40.4217059 41.024527, 40.4217272 41.024582, 40.4217462 41.0246546)",
1153689372,False,,Saadettin Kaynak Caddesi,tertiary,False,296.087,,"LINESTRING (40.4215247 41.0243901, 40.4216796 41.0243592, 40.4217824 41.0243504, 40.4218724 41.0243562, 40.4220295 41.0243748, 40.4223469 41.0244167, 40.422695 41.0244632, 40.4228676 41.0244864, 40.423037 41.024512, 40.4233082 41.0245608, 40.4240045 41.024691, 40.4241462 41.0247165, 40.4243249 41.0247537, 40.4245036 41.0247932, 40.4249651 41.0248906)",
