osmid,ref,highway,oneway,reversed,length,geometry,bridge,junction,lanes,name,maxspeed
307311737,61-29,secondary,False,False,191.214,"LINESTRING (40.2709159 40.9439368, 40.2706319 40.9443146, 40.2702286 40.9445863, 40.2698812 40.9447175, 40.2692547 40.9448487, 40.2691354 40.9448697)",,,,,
307311737,61-29,secondary,False,True,39.262,"LINESTRING (40.2709159 40.9439368, 40.2711592 40.9438179, 40.2713329 40.9437897)",,,,,
307311779,,residential,False,True,55.94,"LINESTRING (40.2709159 40.9439368, 40.2710413 40.943771, 40.2712617 40.9436023, 40.2713567 40.9435801)",,,,,
152592615,,residential,False,True,43.435,"LINESTRING (40.264823 40.9438956, 40.265165 40.9436026)",,,,,
"[152592622, 152592583]",,tertiary,True,False,80.384,"LINESTRING (40.2648757 40.9444209, 40.2654459 40.9448762, 40.2655137 40.9449576)",yes,,,,
307311762,,residential,False,True,51.451,"LINESTRING (40.2648757 40.9444209, 40.2650282 40.9443165, 40.2653147 40.9440984)",,,,,
152592622,,tertiary,True,False,12.653,"LINESTRING (40.2655137 40.9449576, 40.2656084 40.9450461)",,,,,
307311737,61-29,secondary,False,True,38.714,"LINESTRING (40.2665439 40.9458474, 40.2668658 40.9455982)",,,,,
"[307311747, 152592622]",,tertiary,True,False,27.491,"LINESTRING (40.2665439 40.9458474, 40.2667541 40.9459952, 40.2667804 40.9460181)",,roundabout,,,
248475431,,secondary,False,False,318.37600000000003,"LINESTRING (40.2711846 40.9494062, 40.2725991 40.9501384, 40.2735188 40.9506062, 40.2741944 40.9509676, 40.2743065 40.9510302)",,,2,İsmet Paşa Cd.,
248475431,,secondary,False,True,133.413,"LINESTRING (40.2711846 40.9494062, 40.2701124 40.948845, 40.2698773 40.9487246)",,,2,İsmet Paşa Cd.,
448111898,,residential,False,True,76.4,"LINESTRING (40.2711846 40.9494062, 40.2712706 40.9493205, 40.2717344 40.9488588)",,,,,
1094964308,,tertiary,False,True,66.928,"LINESTRING (40.2661177 40.9465649, 40.2666313 40.9461047)",,,2,,60
1215280923,,secondary,False,False,5.305,"LINESTRING (40.2661177 40.9465649, 40.2661628 40.9465983)",,,2,İsmet Paşa Cd.,
307311770,,tertiary,True,False,39.301,"LINESTRING (40.2667804 40.9460181, 40.2670988 40.9462771)",,,,,
"[1094964306, 307311747]",,tertiary,True,False,20.009999999999998,"LINESTRING (40.2667804 40.9460181, 40.266783 40.9460481, 40.2667703 40.9460765, 40.2667441 40.946099, 40.2667086 40.9461123, 40.266669 40.9461143, 40.2666313 40.9461047)",,roundabout,,,
1094964308,,tertiary,False,False,66.928,"LINESTRING (40.2666313 40.9461047, 40.2661177 40.9465649)",,,2,,60
"[307311768, 1215280924]",,tertiary,True,False,26.173000000000002,"LINESTRING (40.2666313 40.9461047, 40.2666015 40.946085, 40.2664268 40.9459275)",,roundabout,,,
307311770,,tertiary,True,False,28.834,"LINESTRING (40.2670988 40.9462771, 40.2673395 40.946462)",,,,,
