osmid,highway,oneway,reversed,length,bridge,geometry,name,ref,junction
183894716,secondary,False,False,53.275,,"LINESTRING (34.0424767 41.0122391, 34.0419015 41.0120362)",,,
"[225708705, 188346034, 183894708]",secondary,False,False,56.831,yes,"LINESTRING (34.0424767 41.0122391, 34.0425654 41.0122709, 34.0427152 41.0123164, 34.0431113 41.0124163)",,,
583779706,secondary,False,True,41.792,,"LINESTRING (34.0409985 41.0136396, 34.0413723 41.013888)",,,
37995881,secondary,True,False,37.463,,"LINESTRING (34.0409985 41.0136396, 34.0411958 41.0134044, 34.041241 41.0133568)",100. Yıl Caddesi,,
183894704,primary,True,False,3.642,,"LINESTRING (34.0431113 41.0124163, 34.0431431 41.012394)",,D775,roundabout
"[225708705, 188346034, 183894708]",secondary,False,True,56.831,yes,"LINESTRING (34.0431113 41.0124163, 34.0427152 41.0123164, 34.0425654 41.0122709, 34.0424767 41.0122391)",,,
37995880,secondary,True,False,209.87599999999998,,"LINESTRING (34.0431331 41.0125474, 34.0428099 41.0127893, 34.0418804 41.0134979, 34.0413723 41.013888)",Çanakkale Şehitleri Caddesi,,
183894704,primary,True,False,16.196,,"LINESTRING (34.0431331 41.0125474, 34.043107 41.012526, 34.0430908 41.0124995, 34.043086 41.0124706, 34.043093 41.012442, 34.0431113 41.0124163)",,D775,roundabout
37995880,secondary,True,False,92.818,,"LINESTRING (34.0413723 41.013888, 34.040596 41.0144827)",Çanakkale Şehitleri Caddesi,,
583779706,secondary,False,False,41.792,,"LINESTRING (34.0413723 41.013888, 34.0409985 41.0136396)",,,
908544998,residential,False,False,46.937,,"LINESTRING (34.0413723 41.013888, 34.0417527 41.0141975)",,,
37995881,secondary,True,False,57.609,,"LINESTRING (34.039195 41.0156418, 34.0395909 41.0152185)",100. Yıl Caddesi,,
583772808,secondary,False,True,22.718,,"LINESTRING (34.039195 41.0156418, 34.0394053 41.0157705)",,,
