osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry
162878152,True,,Çınarlı Caddesi,tertiary,,False,18.426,"LINESTRING (27.4987272 40.9778997, 27.4985174 40.9779484)"
215773369,False,,Turgut Reis Sokak,residential,,False,86.757,"LINESTRING (27.4987272 40.9778997, 27.4984355 40.9771512)"
162878139,False,2,Şaraphane Caddesi,tertiary,,True,33.575,"LINESTRING (27.5021324 40.9741855, 27.5021252 40.9744874)"
415297591,False,,Servet Sokak,residential,,True,92.802,"LINESTRING (27.5021324 40.9741855, 27.5032378 40.9741837)"
162878139,False,2,Şaraphane Caddesi,tertiary,,False,21.317999999999998,"LINESTRING (27.5021324 40.9741855, 27.5021204 40.9740939, 27.5020895 40.973997)"
162878158,True,,Şehitler Sokak,residential,,False,50.325,"LINESTRING (27.5080778 40.9779456, 27.5079419 40.9775048)"
575847648,False,,Zekeriya Zihni Bey Sokak,residential,,True,80.453,"LINESTRING (27.5080778 40.9779456, 27.5071214 40.9778993)"
162878139,False,2,Şaraphane Caddesi,tertiary,,False,30.323,"LINESTRING (27.5021269 40.9748664, 27.5021257 40.9745937)"
162878139,False,2,Şaraphane Caddesi,tertiary,,True,47.826,"LINESTRING (27.5021269 40.9748664, 27.5020992 40.975296)"
415297580,False,1,Nimet Sokak,residential,,False,101.736,"LINESTRING (27.5021269 40.9748664, 27.5033374 40.9749093)"
215759615,False,,Rauf Orbay Sokak,residential,,True,60.023,"LINESTRING (27.5057001 40.9730029, 27.5051449 40.9726628)"
445921186,True,,Yaşar Erkan Sokak,residential,,False,32.155,"LINESTRING (27.5057001 40.9730029, 27.505533 40.9732631)"
215759715,False,,Piyale Paşa Sokak,residential,,False,42.138,"LINESTRING (27.505533 40.9732631, 27.5051335 40.9730337)"
445921186,True,,Yaşar Erkan Sokak,residential,,False,42.314,"LINESTRING (27.505533 40.9732631, 27.5053768 40.9736249)"
173935426,False,,Ihlamur Sokak,residential,,False,102.642,"LINESTRING (27.5061677 40.9740071, 27.5056875 40.974856)"
450300304,True,,Tintinpınar Caddesi,tertiary,,False,45.867,"LINESTRING (27.5061677 40.9740071, 27.5065989 40.9742604)"
450300304,True,,Tintinpınar Caddesi,tertiary,,False,39.634,"LINESTRING (27.5053768 40.9736249, 27.5057778 40.973813)"
173935850,False,,Zarif Sokak,residential,,False,118.788,"LINESTRING (27.5053768 40.9736249, 27.5051016 40.9741045, 27.5048154 40.9746055)"
450300304,True,,Tintinpınar Caddesi,tertiary,,False,22.994,"LINESTRING (27.5065989 40.9742604, 27.5068106 40.9743916)"
171693503,False,2,Hüseyin Mumcuoğlu Caddesi,residential,,True,49.731,"LINESTRING (27.5010764 40.9744243, 27.5009135 40.9739943)"
171693579,False,2,İnci Sokak,residential,,False,157.212,"LINESTRING (27.5010764 40.9744243, 27.4992554 40.9740946)"
171693579,False,2,İnci Sokak,residential,,True,56.278999999999996,"LINESTRING (27.5010764 40.9744243, 27.5014377 40.9744508, 27.5017443 40.9744672)"
171693529,False,2,Şehit Tugay Mert Sokak,residential,,True,57.407,"LINESTRING (27.4996723 40.97286, 27.4990352 40.9730475)"
171693630,False,1,Özge Sokak,residential,,False,26.549,"LINESTRING (27.4996723 40.97286, 27.4997687 40.9730874)"
171693617,False,1,Mustafa Tunalı Sokak,residential,,True,60.158,"LINESTRING (27.4997687 40.9730874, 27.5004494 40.9729184)"
171693630,False,1,Özge Sokak,residential,,False,66.763,"LINESTRING (27.4997687 40.9730874, 27.4999723 40.9736678)"
171693630,False,1,Özge Sokak,residential,,True,26.549,"LINESTRING (27.4997687 40.9730874, 27.4996723 40.97286)"
162878139,False,2,Şaraphane Caddesi,tertiary,,True,5.535,"LINESTRING (27.5016523 40.9731101, 27.5016765 40.9731564)"
1046475495,False,,,residential,,False,51.185,"LINESTRING (27.5016523 40.9731101, 27.5010786 40.9732659)"
162878139,False,2,Şaraphane Caddesi,tertiary,,False,52.675999999999995,"LINESTRING (27.5016523 40.9731101, 27.5016296 40.9730516, 27.5016185 40.9729695, 27.5016148 40.9727807, 27.5016072 40.9726394)"
171693617,False,1,Mustafa Tunalı Sokak,residential,,False,55.858,"LINESTRING (27.50108 40.9727582, 27.5004494 40.9729184)"
171693617,False,1,Mustafa Tunalı Sokak,residential,,True,46.19,"LINESTRING (27.50108 40.9727582, 27.5016072 40.9726394)"
171693630,False,1,Özge Sokak,residential,,True,66.763,"LINESTRING (27.4999723 40.9736678, 27.4997687 40.9730874)"
493251662,False,1,Sezercik Sokak,residential,,False,72.265,"LINESTRING (27.4999723 40.9736678, 27.5008163 40.9737955)"
493251662,False,1,Sezercik Sokak,residential,,True,50.949,"LINESTRING (27.4999723 40.9736678, 27.4993742 40.9735902)"
936348655,False,,İnci Sokak,residential,,False,21.436,"LINESTRING (27.4981943 40.9739069, 27.4979398 40.9738913)"
936348657,False,1,,secondary_link,,True,6.442,"LINESTRING (27.4981943 40.9739069, 27.4982677 40.97389)"
171693486,False,,Destan Sokak,residential,,False,38.374,"LINESTRING (27.5006401 40.9733633, 27.5010786 40.9732659)"
171693503,False,2,Hüseyin Mumcuoğlu Caddesi,residential,,False,50.284,"LINESTRING (27.5006401 40.9733633, 27.5008163 40.9737955)"
171693503,False,2,Hüseyin Mumcuoğlu Caddesi,residential,,True,51.997,"LINESTRING (27.5006401 40.9733633, 27.5004494 40.9729184)"
171693503,False,2,Hüseyin Mumcuoğlu Caddesi,residential,,False,23.564,"LINESTRING (27.5008163 40.9737955, 27.5009135 40.9739943)"
171693503,False,2,Hüseyin Mumcuoğlu Caddesi,residential,,True,50.284,"LINESTRING (27.5008163 40.9737955, 27.5006401 40.9733633)"
493251662,False,1,Sezercik Sokak,residential,,True,72.265,"LINESTRING (27.5008163 40.9737955, 27.4999723 40.9736678)"
171693529,False,2,Şehit Tugay Mert Sokak,residential,,False,56.704,"LINESTRING (27.4983077 40.9727147, 27.4985793 40.9731816)"
162878139,False,2,Şaraphane Caddesi,tertiary,,False,33.575,"LINESTRING (27.5021252 40.9744874, 27.5021324 40.9741855)"
162878139,False,2,Şaraphane Caddesi,tertiary,,True,11.82,"LINESTRING (27.5021252 40.9744874, 27.5021257 40.9745937)"
171693579,False,2,İnci Sokak,residential,,False,32.056,"LINESTRING (27.5021252 40.9744874, 27.5017443 40.9744672)"
171693529,False,2,Şehit Tugay Mert Sokak,residential,,False,41.077,"LINESTRING (27.4985793 40.9731816, 27.4990352 40.9730475)"
171693529,False,2,Şehit Tugay Mert Sokak,residential,,True,56.704,"LINESTRING (27.4985793 40.9731816, 27.4983077 40.9727147)"
493251662,False,1,Sezercik Sokak,residential,,False,82.736,"LINESTRING (27.4985793 40.9731816, 27.4986306 40.9732796, 27.4987065 40.9733998, 27.4987968 40.9734943, 27.4989218 40.9735314, 27.4992248 40.9735708, 27.4992972 40.9735802)"
1042018308,False,1,,residential,,True,53.78,"LINESTRING (27.4985793 40.9731816, 27.4982697 40.9732747, 27.4979974 40.9733823)"
171693503,False,2,Hüseyin Mumcuoğlu Caddesi,residential,,False,51.997,"LINESTRING (27.5004494 40.9729184, 27.5006401 40.9733633)"
171693617,False,1,Mustafa Tunalı Sokak,residential,,False,60.158,"LINESTRING (27.5004494 40.9729184, 27.4997687 40.9730874)"
171693617,False,1,Mustafa Tunalı Sokak,residential,,True,55.858,"LINESTRING (27.5004494 40.9729184, 27.50108 40.9727582)"
173935426,False,,Ihlamur Sokak,residential,,False,54.48,"LINESTRING (27.5054023 40.9753399, 27.5051646 40.9757958)"
173935426,False,,Ihlamur Sokak,residential,,True,58.894,"LINESTRING (27.5054023 40.9753399, 27.5056875 40.974856)"
215773362,False,,İktisat Sokak,residential,,False,35.627,"LINESTRING (27.5054023 40.9753399, 27.5050061 40.9752251)"
215773362,False,,İktisat Sokak,residential,,True,40.809,"LINESTRING (27.5054023 40.9753399, 27.5058466 40.9754888)"
173935539,False,,Emeti Hasan Çeşme Sk.,residential,,False,49.695,"LINESTRING (27.5086279 40.9815769, 27.5087346 40.9811373)"
207772081,False,,Sanatçılar Caddesi,residential,,True,32.816,"LINESTRING (27.5086279 40.9815769, 27.5087112 40.9814715, 27.5087994 40.9814148, 27.5088923 40.9813669)"
575847648,False,,Zekeriya Zihni Bey Sokak,residential,,False,80.323,"LINESTRING (27.5059209 40.9778592, 27.5068774 40.9778777)"
942824315,False,,Kubilay Sokak,residential,,False,17.641,"LINESTRING (27.5059209 40.9778592, 27.505973 40.9780129)"
173935418,False,,Zekeriya Zihni Bey Sokak,residential,,True,40.232,"LINESTRING (27.5059209 40.9778592, 27.5056482 40.9778514, 27.5054425 40.977839)"
"[575847650, 173935410]",False,,"['İhsan Bey Sokak', 'Süleyman Sami Bey Sokak']",residential,,"[False, True]",144.55800000000002,"LINESTRING (27.5059209 40.9778592, 27.5060013 40.9773032, 27.5062556 40.9773247, 27.5064167 40.9773389, 27.5068212 40.9773686, 27.5068377 40.9774862)"
173935542,False,,Toros Sokak,residential,,False,54.466,"LINESTRING (27.5044714 40.974507, 27.5042825 40.9749756)"
173935562,False,,Gülbahçe Sokak,residential,,False,30.887,"LINESTRING (27.5044714 40.974507, 27.5048154 40.9746055)"
"[173935562, 173935443]",False,,"['Gülbahçe Sokak', 'Kadayıfçı Sokak']",residential,,True,143.462,"LINESTRING (27.5044714 40.974507, 27.5043327 40.9744635, 27.5046456 40.9738378, 27.5048979 40.9733669)"
173935426,False,,Ihlamur Sokak,residential,,False,58.894,"LINESTRING (27.5056875 40.974856, 27.5054023 40.9753399)"
173935426,False,,Ihlamur Sokak,residential,,True,102.642,"LINESTRING (27.5056875 40.974856, 27.5061677 40.9740071)"
173935562,False,,Gülbahçe Sokak,residential,,False,41.927,"LINESTRING (27.5056875 40.974856, 27.5061352 40.9750231)"
173935562,False,,Gülbahçe Sokak,residential,,True,37.493,"LINESTRING (27.5056875 40.974856, 27.505274 40.9747286)"
215781671,False,,Enver Paşa Sokak,residential,,True,55.375,"LINESTRING (27.5070508 40.9790224, 27.5068617 40.9794995)"
575847646,True,,Kalyoncu Sokak,residential,,False,37.273,"LINESTRING (27.5070508 40.9790224, 27.5066176 40.9789489)"
450300301,True,,Peştemalcı Caddesi,tertiary,,False,15.953,"LINESTRING (27.5095881 40.9759553, 27.5094695 40.9758432)"
173935857,False,,Çektirme Sokak,residential,,False,57.876999999999995,"LINESTRING (27.5095881 40.9759553, 27.509227 40.976154, 27.5090242 40.9762545)"
173935421,False,,Aşık Veysel Sokak,residential,,True,51.695,"LINESTRING (27.506495 40.9794045, 27.5066176 40.9789489)"
575856143,False,,Akçaağaç Sokak,residential,,False,67.516,"LINESTRING (27.506495 40.9794045, 27.5058612 40.9797783)"
575856145,True,,Köroğlu Sokak,residential,,False,32.545,"LINESTRING (27.506495 40.9794045, 27.5068617 40.9794995)"
173935794,False,,Uluağaç Sk.,residential,,False,36.986,"LINESTRING (27.5049301 40.9795949, 27.504675 40.9798661)"
173935794,False,,Uluağaç Sk.,residential,,True,17.568,"LINESTRING (27.5049301 40.9795949, 27.5051097 40.9795138)"
173935767,False,,Mithat Paşa Sokak,residential,,True,198.416,"LINESTRING (27.5049301 40.9795949, 27.502936 40.979096, 27.5028486 40.9790763, 27.5026856 40.9790357)"
162878152,True,,Çınarlı Caddesi,tertiary,,False,21.002,"LINESTRING (27.5014351 40.9775269, 27.5011859 40.9775436)"
173935482,False,,Hercai sokak,residential,,False,91.779,"LINESTRING (27.5014351 40.9775269, 27.5013975 40.9778447, 27.5013261 40.9781036, 27.5012659 40.9782248, 27.5012074 40.9783282)"
162878152,True,,Çınarlı Caddesi,tertiary,,False,9.161,"LINESTRING (27.5000235 40.9777012, 27.4999165 40.9777174)"
173935454,False,,Balkan Sokak,residential,,True,67.891,"LINESTRING (27.5000235 40.9777012, 27.5000171 40.9774353, 27.5000174 40.97722, 27.5000245 40.9770908)"
