osmid,oneway,name,highway,reversed,length,lanes,maxspeed,geometry,junction
501144425,False,Ağustos Sokak,residential,True,75.129,,,"LINESTRING (27.645591 38.2166946, 27.6447319 38.2166643)",
501211740,False,Albay Alpat Caddesi,tertiary,True,12.621,2,50,"LINESTRING (27.645591 38.2166946, 27.6455916 38.2168081)",
501057435,True,Menderes Bulvarı,secondary,False,216.582,2,50,"LINESTRING (27.6455049 38.2174644, 27.6430275 38.2173918)",
501211737,True,Albay Alpat Caddesi,tertiary,False,8.297,2,50,"LINESTRING (27.6455049 38.2174644, 27.6455137 38.2173901)",
501142987,True,Menderes Bulvarı,secondary,False,10.305,2,50,"LINESTRING (27.6455137 38.2173901, 27.6456316 38.2173929)",
501142988,True,Albay Alpat Caddesi,tertiary,False,45.041,2,50,"LINESTRING (27.6455137 38.2173901, 27.6455909 38.2169896)",
217189825,False,Atatürk Caddesi,tertiary,False,8.346,2,50,"LINESTRING (27.6479521 38.2174573, 27.6479428 38.217532)",
501142987,True,Menderes Bulvarı,secondary,False,77.223,2,50,"LINESTRING (27.6479521 38.2174573, 27.6488342 38.2175021)",
217189825,False,Atatürk Caddesi,tertiary,True,93.83699999999999,2,50,"LINESTRING (27.6479521 38.2174573, 27.6480129 38.2168678, 27.6480054 38.2166154)",
217189825,False,Atatürk Caddesi,tertiary,False,166.229,2,50,"LINESTRING (27.6479428 38.217532, 27.6478257 38.2190241)",
217189825,False,Atatürk Caddesi,tertiary,True,8.346,2,50,"LINESTRING (27.6479428 38.217532, 27.6479521 38.2174573)",
501057435,True,Menderes Bulvarı,secondary,False,202.057,2,50,"LINESTRING (27.6479428 38.217532, 27.6456314 38.2174675)",
158298309,False,Fabrika Önü Caddesi,tertiary,False,7.849,2,50,"LINESTRING (27.6523487 38.2177436, 27.6523353 38.2176738)",
158298309,False,Fabrika Önü Caddesi,tertiary,True,35.882,2,50,"LINESTRING (27.6523487 38.2177436, 27.6523855 38.218065)",
501057435,True,Menderes Bulvarı,secondary,False,144.657,2,50,"LINESTRING (27.6523487 38.2177436, 27.6506967 38.2176552)",
158298309,False,Fabrika Önü Caddesi,tertiary,False,73.28,2,50,"LINESTRING (27.6523353 38.2176738, 27.6522634 38.2170172)",
158298309,False,Fabrika Önü Caddesi,tertiary,True,7.849,2,50,"LINESTRING (27.6523353 38.2176738, 27.6523487 38.2177436)",
158298309,False,Fabrika Önü Caddesi,tertiary,False,49.033,2,50,"LINESTRING (27.6527693 38.2200937, 27.6527465 38.2196531)",
501051506,True,,tertiary,False,13.682,1,50,"LINESTRING (27.6527693 38.2200937, 27.6528475 38.2200965, 27.6529199 38.22012)",roundabout
501051506,True,,tertiary,False,38.833,1,50,"LINESTRING (27.6530145 38.2202158, 27.6530256 38.2202767, 27.6530098 38.2203369, 27.6529731 38.2203856, 27.6529189 38.2204228, 27.6528526 38.2204449, 27.6527809 38.2204496)",roundabout
217189821,False,Fabrika Önü Caddesi,tertiary,False,29.275,,,"LINESTRING (27.6527108 38.2204365, 27.6527424 38.2206986)",
