osmid,highway,oneway,reversed,length,geometry,name,lanes,access
188863677,tertiary,False,False,62.870999999999995,"LINESTRING (35.9053664 41.5673659, 35.9050679 41.5676155, 35.9048867 41.5678019)",,,
188863677,tertiary,False,True,4.177,"LINESTRING (35.9048572 41.5678323, 35.9048867 41.5678019)",,,
188863677,tertiary,False,False,138.713,"LINESTRING (35.9048572 41.5678323, 35.9047255 41.5680884, 35.9046727 41.5685116, 35.9045388 41.5687661, 35.9045002 41.5688227, 35.9044559 41.5688749, 35.9044128 41.5689177, 35.9043101 41.5689745)",,,
659851708,tertiary,False,True,38.296,"LINESTRING (35.9048572 41.5678323, 35.904502 41.5678873, 35.9044045 41.567884)",,,
188863704,tertiary,False,True,22.129,"LINESTRING (35.9024324 41.5681053, 35.9023463 41.567917)",Belediye Caddesi,,
659913525,tertiary,False,False,61.497,"LINESTRING (35.9024324 41.5681053, 35.9024643 41.5681756, 35.9024713 41.5682286, 35.9023218 41.5686392)",Camikebir Caddesi,,
659849430,secondary,False,False,179.768,"LINESTRING (35.9090106 41.5682815, 35.9107293 41.5673016)",Gençlik Caddesi,,
659849430,secondary,False,True,9.066,"LINESTRING (35.9090106 41.5682815, 35.9089239 41.5683309)",Gençlik Caddesi,,
188863673,tertiary,False,True,79.734,"LINESTRING (35.9090106 41.5682815, 35.9094824 41.568686, 35.9096665 41.5688022)",,,
230182799,secondary,False,False,93.548,"LINESTRING (35.9032728 41.5680216, 35.9039745 41.568679)",Hükümet Caddesi,,
66069151,tertiary,False,True,13.962,"LINESTRING (35.9032728 41.5680216, 35.9033065 41.5680171, 35.9033347 41.5680067, 35.9033589 41.5679915, 35.9034096 41.5679548)",Cumhuriyet Meydanı,,
659852495,tertiary,True,False,29.673000000000002,"LINESTRING (35.9032728 41.5680216, 35.9031831 41.5680218, 35.9030813 41.5680218, 35.903014 41.5680254, 35.9029172 41.5680354)",Cumhuriyet Meydanı,,
659913525,tertiary,False,False,28.311,"LINESTRING (35.9023218 41.5686392, 35.9023239 41.5688938)",Camikebir Caddesi,,
659913525,tertiary,False,True,61.497,"LINESTRING (35.9023218 41.5686392, 35.9024713 41.5682286, 35.9024643 41.5681756, 35.9024324 41.5681053)",Camikebir Caddesi,,
660007425,residential,False,False,73.43599999999999,"LINESTRING (35.9023218 41.5686392, 35.9020434 41.568577, 35.9019125 41.5685471, 35.9017862 41.5685113, 35.9016783 41.5684768, 35.9016213 41.5684503, 35.9015674 41.5684168, 35.9015244 41.5683796)",Hacı Muharrir Sokak,,
188863673,tertiary,False,False,10.536,"LINESTRING (35.9097633 41.5688633, 35.9096665 41.5688022)",,,
321444321,residential,False,True,7.797,"LINESTRING (35.9097633 41.5688633, 35.9097922 41.56893)",,,
188863673,tertiary,False,True,39.143,"LINESTRING (35.9097633 41.5688633, 35.9100969 41.5689487, 35.9102136 41.5689614)",,,
169835271,residential,False,True,41.655,"LINESTRING (35.9023314 41.5689556, 35.9028234 41.568886)",Rahmibey Sokak,,
659913525,tertiary,False,True,6.9,"LINESTRING (35.9023314 41.5689556, 35.9023239 41.5688938)",Camikebir Caddesi,,
659913525,tertiary,False,False,82.624,"LINESTRING (35.9023314 41.5689556, 35.90241 41.5694899, 35.9024578 41.5696923)",Camikebir Caddesi,,
188863677,tertiary,False,True,138.713,"LINESTRING (35.9043101 41.5689745, 35.9044128 41.5689177, 35.9044559 41.5688749, 35.9045002 41.5688227, 35.9045388 41.5687661, 35.9046727 41.5685116, 35.9047255 41.5680884, 35.9048572 41.5678323)",,,
230182799,secondary,False,False,92.849,"LINESTRING (35.9043101 41.5689745, 35.9046107 41.5691025, 35.9049682 41.5692447, 35.9052919 41.5693714)",Hükümet Caddesi,,
230182799,secondary,False,True,43.122,"LINESTRING (35.9043101 41.5689745, 35.9041829 41.5688581, 35.9039745 41.568679)",Hükümet Caddesi,,
321380284,residential,False,True,38.408,"LINESTRING (35.9043101 41.5689745, 35.9043048 41.5691706, 35.9043068 41.5692334, 35.9043279 41.5693184)",Ferah Sokak,,
660041625,residential,False,True,80.947,"LINESTRING (35.9043101 41.5689745, 35.9041729 41.5690088, 35.9033657 41.569148)",Şehit Kamil Kitapçı Sokak,,
188863673,tertiary,False,False,37.24,"LINESTRING (35.9116421 41.5689947, 35.9112054 41.5690683)",,,
230182799,secondary,False,False,11.292,"LINESTRING (35.9052919 41.5693714, 35.9054162 41.5694122)",Hükümet Caddesi,,
230182799,secondary,False,True,92.849,"LINESTRING (35.9052919 41.5693714, 35.9049682 41.5692447, 35.9046107 41.5691025, 35.9043101 41.5689745)",Hükümet Caddesi,,
321380284,residential,False,False,49.981,"LINESTRING (35.9052919 41.5693714, 35.9051211 41.5694341, 35.9050401 41.5694573, 35.9049519 41.5694805, 35.9048404 41.5695021, 35.9047289 41.5695236)",Ferah Sokak,,
230182799,secondary,False,False,56.828,"LINESTRING (35.9067596 41.56971, 35.9068194 41.5696832, 35.9072802 41.5693803)",Hükümet Caddesi,,
230182799,secondary,False,True,34.954,"LINESTRING (35.9067596 41.56971, 35.9066782 41.5697047, 35.9063518 41.5696377)",Hükümet Caddesi,,
305952534,tertiary,False,True,42.572,"LINESTRING (35.9067596 41.56971, 35.9067316 41.5699257, 35.9066907 41.570089)",Türkocağı Caddesi,,
659913524,residential,False,False,51.33,"LINESTRING (35.9008926 41.5699882, 35.9003525 41.5702114)",Çizmeli Sokak,,
659913524,residential,False,True,10.675,"LINESTRING (35.9008926 41.5699882, 35.9009814 41.5699189)",Çizmeli Sokak,,
321380331,residential,False,True,64.96000000000001,"LINESTRING (35.9008926 41.5699882, 35.901218 41.5700672, 35.9016408 41.5701549)",Cemiloğlu Sokak,,
660003515,secondary,True,False,19.619,"LINESTRING (35.8998648 41.5700774, 35.9000189 41.5700797, 35.9000992 41.570091)",Ali Kale Caddesi,,
188863685,tertiary,False,False,7.237,"LINESTRING (35.9002941 41.5702749, 35.9003113 41.5703387)",Park Caddesi,,
660003512,secondary,True,False,9.402000000000001,"LINESTRING (35.9002941 41.5702749, 35.900266 41.5702775, 35.9002385 41.5702728, 35.9002146 41.5702616, 35.9001972 41.5702449)",,,
188863685,tertiary,False,True,32.849,"LINESTRING (35.9025003 41.5717546, 35.9021108 41.571706)",Park Caddesi,,
305952504,tertiary,False,True,86.54,"LINESTRING (35.9025003 41.5717546, 35.9020957 41.5724716)",,2,
188863685,tertiary,False,False,52.777,"LINESTRING (35.9025003 41.5717546, 35.9030518 41.5717766, 35.9031339 41.5717745)",Park Caddesi,,
659913525,tertiary,False,True,116.487,"LINESTRING (35.9025003 41.5717546, 35.9027161 41.5714092, 35.9030038 41.5707786)",Camikebir Caddesi,,
660050618,residential,False,False,15.09,"LINESTRING (35.9061579 41.5719663, 35.9061292 41.5718323)",Hikmetbey Sokak,,
660049536,residential,False,False,99.592,"LINESTRING (35.9061579 41.5719663, 35.9066708 41.5720236, 35.9069701 41.5720615, 35.9071709 41.5720876, 35.9073404 41.5721059)",Karakullukçu Sokak,,
660050618,residential,False,True,111.735,"LINESTRING (35.9061579 41.5719663, 35.9062429 41.572333, 35.9062827 41.572483, 35.9063295 41.5725857, 35.9063935 41.5727014, 35.9065235 41.5729274)",Hikmetbey Sokak,,
305952525,residential,False,True,70.383,"LINESTRING (35.9044052 41.5722159, 35.9040756 41.5723206, 35.9036746 41.5723956, 35.9036008 41.572404)",,,
660049537,residential,False,False,15.306000000000001,"LINESTRING (35.9044052 41.5722159, 35.9044481 41.5722464, 35.9045005 41.5722698, 35.9045625 41.572281)",Şehit Astsubay Üstçavuş Tolga Pehlivan Sokak,,
660049537,residential,False,True,52.623999999999995,"LINESTRING (35.9044052 41.5722159, 35.904353 41.5721504, 35.9043 41.5720893, 35.9042284 41.5720284, 35.9040082 41.5718497)",Şehit Astsubay Üstçavuş Tolga Pehlivan Sokak,,
305952483,residential,False,True,58.726,"LINESTRING (35.9050414 41.5722284, 35.9050623 41.5727563)",,,
660049537,residential,False,False,55.649,"LINESTRING (35.9050414 41.5722284, 35.9051903 41.5721924, 35.9052802 41.572157, 35.9054298 41.5720745, 35.9055439 41.5719907, 35.9055826 41.5719515)",Şehit Astsubay Üstçavuş Tolga Pehlivan Sokak,,
660049537,residential,False,True,40.282,"LINESTRING (35.9050414 41.5722284, 35.9048849 41.5722505, 35.9047331 41.5722654, 35.9045625 41.572281)",Şehit Astsubay Üstçavuş Tolga Pehlivan Sokak,,
305952534,tertiary,False,True,20.06,"LINESTRING (35.9085282 41.5723121, 35.9087631 41.5723529)",Türkocağı Caddesi,,
305952534,tertiary,False,False,71.781,"LINESTRING (35.9085282 41.5723121, 35.9083499 41.5722809, 35.9080377 41.5722141, 35.9076988 41.5721349)",Türkocağı Caddesi,,
321380228,residential,False,False,134.833,"LINESTRING (35.9085282 41.5723121, 35.9085346 41.5718439, 35.9086713 41.5711066)",,,
321380336,residential,False,False,72.484,"LINESTRING (35.9039259 41.5704568, 35.9042818 41.5698618)",Derviş Efendi Sokak,,
305952475,residential,False,True,47.951,"LINESTRING (35.9039259 41.5704568, 35.9037091 41.5702855, 35.9036291 41.5702368, 35.9035613 41.5702122, 35.9035144 41.5701933, 35.9034909 41.5701802)",Hacıhakkı Sokak,,
660004158,residential,False,False,74.97800000000001,"LINESTRING (35.9039259 41.5704568, 35.9039804 41.5705409, 35.9040268 41.570631, 35.9040487 41.5707232, 35.9040483 41.5708062, 35.9039736 41.5711087)",Müftü Sokak,,
305952534,tertiary,False,False,59.144,"LINESTRING (35.9063823 41.5705678, 35.9065118 41.570374, 35.9066579 41.5701562, 35.9066907 41.570089)",Türkocağı Caddesi,,
305952534,tertiary,False,True,61.982,"LINESTRING (35.9063823 41.5705678, 35.9064405 41.5707646, 35.9064868 41.5708729, 35.9065711 41.5709954, 35.9066422 41.5710852)",Türkocağı Caddesi,,
321380275,tertiary,False,False,74.834,"LINESTRING (35.9063823 41.5705678, 35.905838 41.5707168, 35.9057105 41.5707478, 35.905531 41.570784)",Gazipaşa Caddesi,,
321380265,residential,False,False,88.67999999999999,"LINESTRING (35.9030038 41.5707786, 35.9033455 41.5709055, 35.9036653 41.5710159, 35.9039736 41.5711087)",Belalanlı Sokak,,
659913525,tertiary,False,False,116.487,"LINESTRING (35.9030038 41.5707786, 35.9027161 41.5714092, 35.9025003 41.5717546)",Camikebir Caddesi,,
659913525,tertiary,False,True,27.292,"LINESTRING (35.9030038 41.5707786, 35.9030325 41.5706734, 35.9030458 41.5705909, 35.9030307 41.5705371)",Camikebir Caddesi,,
660047141,residential,False,False,19.733,"LINESTRING (35.9053656 41.5709112, 35.905531 41.570784)",Bakkal Sokak,,
660047141,residential,False,True,62.751999999999995,"LINESTRING (35.9053656 41.5709112, 35.9050173 41.5710419, 35.9046883 41.5711596)",Bakkal Sokak,,
660047145,residential,False,False,39.846000000000004,"LINESTRING (35.9053656 41.5709112, 35.9054268 41.5712182, 35.9054395 41.5712372, 35.905466 41.5712551)",Mektep Sokak,,
188863685,tertiary,False,True,32.163,"LINESTRING (35.9039736 41.5711087, 35.9039255 41.5713301, 35.903895 41.5713909)",Park Caddesi,,
