osmid,oneway,highway,reversed,length,geometry,name,lanes,maxspeed,tunnel,junction
28369236,False,tertiary,False,36.509,"LINESTRING (38.3203175 38.3493003, 38.3203353 38.3493686, 38.3203407 38.3494269, 38.3203359 38.349524, 38.3203261 38.3496267)",,,,,
"[377265368, 692580062]",True,secondary,False,132.204,"LINESTRING (38.3203175 38.3493003, 38.3200545 38.3491675, 38.31986 38.3490836, 38.3191798 38.3487822, 38.3189932 38.3487258)",İnönü Caddesi,,,,
28369236,False,tertiary,False,13.557,"LINESTRING (38.3204368 38.350947, 38.3204497 38.3510685)",,,,,
28369236,False,tertiary,True,48.805,"LINESTRING (38.3204368 38.350947, 38.32035 38.3505134)",,,,,
276866184,False,residential,False,18.698,"LINESTRING (38.3204368 38.350947, 38.3206053 38.351051)",,,,,
190251153,True,secondary,False,16.127,"LINESTRING (38.3144137 38.3520665, 38.3144596 38.351926)",,,,,
276871977,False,residential,False,11.103,"LINESTRING (38.3144137 38.3520665, 38.3145372 38.3520908)",,,,,
276871977,False,residential,True,77.226,"LINESTRING (38.3144137 38.3520665, 38.3142587 38.3520205, 38.3137732 38.3519091, 38.3135614 38.351885)",,,,,
216276410,False,residential,False,17.487,"LINESTRING (38.3145372 38.3520908, 38.3146712 38.3519738)",,,,,
216276410,False,residential,True,97.418,"LINESTRING (38.3145372 38.3520908, 38.3155065 38.3525264)",,,,,
276871977,False,residential,True,11.103,"LINESTRING (38.3145372 38.3520908, 38.3144137 38.3520665)",,,,,
570646157,False,residential,True,152.121,"LINESTRING (38.3193239 38.3442821, 38.3187645 38.3455779)",Şehit Mehmet Oğur Caddesi,2,50,,
1141052002,False,residential,True,59.543,"LINESTRING (38.3193239 38.3442821, 38.3200023 38.3443425)",Bahariye Sokağı,,50,,
216275867,False,residential,False,175.17399999999998,"LINESTRING (38.3193239 38.3442821, 38.318627 38.3443096, 38.3184829 38.3443829, 38.3178443 38.3451227)",Ahlak Sokağı,,50,,
216275871,False,residential,False,53.145,"LINESTRING (38.3141279 38.3442635, 38.3145892 38.3445758)",Mücelli Caddesi,2,50,,
