osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes,maxspeed
127369127,True,tertiary,False,18.832,"LINESTRING (35.0231081 40.7827479, 35.0232127 40.7827836, 35.0232661 40.7828555)",,,,,
127369188,True,secondary,False,67.061,"LINESTRING (35.0231081 40.7827479, 35.0232387 40.7826931, 35.0234872 40.7825141, 35.0236935 40.7824392, 35.0237677 40.7824291)",05-79,,,,
1175019661,False,secondary,True,37.185,"LINESTRING (35.0281742 40.7845446, 35.0284046 40.7848299)",05-79,Gümüşhacıköy - Hamamözü Yolu,,,
127369113,False,residential,True,74.28399999999999,"LINESTRING (35.0281742 40.7845446, 35.0284649 40.7844665, 35.0286703 40.7843614, 35.0288923 40.7841807)",,,,,
365307677,False,residential,True,115.18299999999999,"LINESTRING (35.0281742 40.7845446, 35.0280319 40.7845211, 35.0276989 40.7844707, 35.0272326 40.784353, 35.0270494 40.7843404, 35.0268496 40.7843824)",,,,,
1175019661,False,secondary,False,389.865,"LINESTRING (35.0281742 40.7845446, 35.0280187 40.7843176, 35.0273676 40.7837172, 35.0269661 40.7833669, 35.0265369 40.7831178, 35.0257731 40.782721, 35.0252044 40.7825015, 35.0246915 40.7823537)",05-79,Gümüşhacıköy - Hamamözü Yolu,,,
127369151,False,residential,False,9.423,"LINESTRING (35.0217348 40.7815532, 35.0217961 40.7814823)",,,,,
127369151,False,residential,True,37.758,"LINESTRING (35.0217348 40.7815532, 35.0215148 40.7818491)",,,,,
127369191,True,secondary,False,89.006,"LINESTRING (35.0217348 40.7815532, 35.0208345 40.7811337)",05-79,,,,
1175019661,False,secondary,False,6.199,"LINESTRING (35.0246915 40.7823537, 35.024618 40.7823505)",05-79,Gümüşhacıköy - Hamamözü Yolu,,,
1175019661,False,secondary,True,389.865,"LINESTRING (35.0246915 40.7823537, 35.0252044 40.7825015, 35.0257731 40.782721, 35.0265369 40.7831178, 35.0269661 40.7833669, 35.0273676 40.7837172, 35.0280187 40.7843176, 35.0281742 40.7845446)",05-79,Gümüşhacıköy - Hamamözü Yolu,,,
1175019661,False,secondary,False,37.185,"LINESTRING (35.0284046 40.7848299, 35.0281742 40.7845446)",05-79,Gümüşhacıköy - Hamamözü Yolu,,,
365307685,False,residential,False,260.116,"LINESTRING (35.0284046 40.7848299, 35.0285477 40.7852736, 35.0287953 40.7857141, 35.0289934 40.7859485, 35.0295753 40.7869842)",,,,,
127369191,True,secondary,False,21.297,"LINESTRING (35.0240345 40.7824064, 35.0237936 40.7824648)",05-79,,,,
"[365307674, 1175019661]",False,secondary,True,31.294,"LINESTRING (35.0240345 40.7824064, 35.0243276 40.7823534, 35.024396 40.782341)",05-79,Gümüşhacıköy - Hamamözü Yolu,yes,,
127369188,True,secondary,False,89.803,"LINESTRING (35.0208345 40.7811337, 35.0214142 40.781331, 35.0217961 40.7814823)",05-79,,,,
552654217,False,secondary,True,210.43099999999998,"LINESTRING (35.0208345 40.7811337, 35.0201757 40.7808278, 35.0192851 40.780378, 35.0189387 40.780173, 35.018769 40.7800715)",05-79,,,,
1175019661,False,secondary,True,18.721,"LINESTRING (35.024396 40.782341, 35.024618 40.7823505)",05-79,Gümüşhacıköy - Hamamözü Yolu,,,
365307684,False,residential,True,104.251,"LINESTRING (35.024396 40.782341, 35.0242952 40.7821473, 35.02393 40.7814724)",,,,,
"[365307674, 1175019661]",False,secondary,False,31.294,"LINESTRING (35.024396 40.782341, 35.0243276 40.7823534, 35.0240345 40.7824064)",05-79,Gümüşhacıköy - Hamamözü Yolu,yes,,
127369130,False,residential,True,100.295,"LINESTRING (35.0229097 40.7812403, 35.0234855 40.7820299)",,,,,
127369135,False,residential,False,43.281,"LINESTRING (35.0229097 40.7812403, 35.0224141 40.7813436)",,,,,
127369078,False,residential,True,105.226,"LINESTRING (35.0224141 40.7813436, 35.0228622 40.782227)",,,,,
127369135,False,residential,True,43.281,"LINESTRING (35.0224141 40.7813436, 35.0229097 40.7812403)",,,,,
127369135,False,residential,False,50.28,"LINESTRING (35.0224141 40.7813436, 35.0220004 40.7814433, 35.0219082 40.7815451)",,,,,
127369151,False,residential,True,9.423,"LINESTRING (35.0217961 40.7814823, 35.0217348 40.7815532)",,,,,
127369188,True,secondary,False,11.741,"LINESTRING (35.0217961 40.7814823, 35.0219082 40.7815451)",05-79,,,,
127369135,False,residential,False,9.864,"LINESTRING (35.0219082 40.7815451, 35.0218248 40.7816074)",,,,,
127369135,False,residential,True,50.28,"LINESTRING (35.0219082 40.7815451, 35.0220004 40.7814433, 35.0224141 40.7813436)",,,,,
127369188,True,secondary,False,102.87700000000001,"LINESTRING (35.0219082 40.7815451, 35.0220181 40.7816067, 35.0221691 40.781748, 35.0225881 40.7823037)",05-79,,,,
127369135,False,residential,True,9.864,"LINESTRING (35.0218248 40.7816074, 35.0219082 40.7815451)",,,,,
127369191,True,secondary,False,9.682,"LINESTRING (35.0218248 40.7816074, 35.0217348 40.7815532)",05-79,,,,
127369151,False,residential,False,37.758,"LINESTRING (35.0215148 40.7818491, 35.0217348 40.7815532)",,,,,
127369151,False,residential,True,69.738,"LINESTRING (35.0215148 40.7818491, 35.0214675 40.7819127, 35.0212765 40.7820708, 35.0211211 40.7821683, 35.0208858 40.7822254)",,,,,
127369156,False,residential,True,66.44200000000001,"LINESTRING (35.0215148 40.7818491, 35.0216078 40.7820257, 35.0216345 40.7821602, 35.021609 40.7824309)",,,,,
127369107,False,residential,True,56.872,"LINESTRING (35.0234855 40.7820299, 35.0228622 40.782227)",,,,,
127369130,False,residential,False,100.295,"LINESTRING (35.0234855 40.7820299, 35.0229097 40.7812403)",,,,,
127369130,False,residential,True,50.354,"LINESTRING (35.0234855 40.7820299, 35.0236923 40.7823162, 35.0237677 40.7824291)",,,,,
127369151,False,residential,False,37.935,"LINESTRING (35.0204355 40.7822172, 35.020662 40.7822253, 35.0208858 40.7822254)",,,,,
365307675,False,residential,True,284.197,"LINESTRING (35.0204355 40.7822172, 35.020086 40.7819833, 35.020086 40.7818567, 35.020055 40.7817911, 35.0198136 40.7816224, 35.0196465 40.7812943, 35.0194979 40.7810787, 35.0193246 40.7807272, 35.0189718 40.7804178, 35.018769 40.7800715)",,,,,
127369142,False,residential,False,190.1,"LINESTRING (35.0208858 40.7822254, 35.0207089 40.7823634, 35.020687 40.7829024, 35.0208162 40.7833704, 35.020962 40.7835849, 35.0212126 40.7837607)",,,,,
127369151,False,residential,False,69.738,"LINESTRING (35.0208858 40.7822254, 35.0211211 40.7821683, 35.0212765 40.7820708, 35.0214675 40.7819127, 35.0215148 40.7818491)",,,,,
127369151,False,residential,True,37.935,"LINESTRING (35.0208858 40.7822254, 35.020662 40.7822253, 35.0204355 40.7822172)",,,,,
127369078,False,residential,False,105.226,"LINESTRING (35.0228622 40.782227, 35.0224141 40.7813436)",,,,,
127369107,False,residential,False,56.872,"LINESTRING (35.0228622 40.782227, 35.0234855 40.7820299)",,,,,
127369107,False,residential,True,24.604,"LINESTRING (35.0228622 40.782227, 35.0225881 40.7823037)",,,,,
127369107,False,residential,False,6.843,"LINESTRING (35.0225105 40.782322, 35.0225881 40.7823037)",,,,,
127369088,False,residential,True,77.009,"LINESTRING (35.0225105 40.782322, 35.0223306 40.7823266, 35.021609 40.7824309)",,,,,
127369191,True,secondary,False,99.186,"LINESTRING (35.0225105 40.782322, 35.022138 40.7818387, 35.0219638 40.7816912, 35.0218248 40.7816074)",05-79,,,,
1175019661,False,secondary,False,18.721,"LINESTRING (35.024618 40.7823505, 35.024396 40.782341)",05-79,Gümüşhacıköy - Hamamözü Yolu,,,
1175019661,False,secondary,True,6.199,"LINESTRING (35.024618 40.7823505, 35.0246915 40.7823537)",05-79,Gümüşhacıköy - Hamamözü Yolu,,,
127369084,False,residential,False,298.67999999999995,"LINESTRING (35.024618 40.7823505, 35.024881 40.7826172, 35.024979 40.7826676, 35.025201 40.7827601, 35.0252621 40.7828231, 35.0252797 40.782939, 35.0253453 40.783008, 35.0254397 40.7831467, 35.025762 40.7834878, 35.0260336 40.7837268, 35.0263667 40.7839831, 35.0266498 40.7842101, 35.0268496 40.7843824)",,,,,
127369107,False,residential,False,24.604,"LINESTRING (35.0225881 40.7823037, 35.0228622 40.782227)",,,,,
127369107,False,residential,True,6.843,"LINESTRING (35.0225881 40.7823037, 35.0225105 40.782322)",,,,,
127369188,True,secondary,False,67.199,"LINESTRING (35.0225881 40.7823037, 35.0226709 40.7824171, 35.0228494 40.7826009, 35.0230032 40.7827057, 35.0231081 40.7827479)",05-79,,,,
127369130,False,residential,True,4.529,"LINESTRING (35.0237677 40.7824291, 35.0237936 40.7824648)",,,,,
127369188,True,secondary,False,22.605,"LINESTRING (35.0237677 40.7824291, 35.0240345 40.7824064)",05-79,,,,
127369130,False,residential,False,50.354,"LINESTRING (35.0237677 40.7824291, 35.0236923 40.7823162, 35.0234855 40.7820299)",,,,,
127369130,False,residential,False,4.529,"LINESTRING (35.0237936 40.7824648, 35.0237677 40.7824291)",,,,,
127369191,True,secondary,False,65.357,"LINESTRING (35.0237936 40.7824648, 35.0237234 40.7824843, 35.0235413 40.7825516, 35.023417 40.7826289, 35.023337 40.782713, 35.0232661 40.7828555)",05-79,,,,
127369088,False,residential,False,77.009,"LINESTRING (35.021609 40.7824309, 35.0223306 40.7823266, 35.0225105 40.782322)",,,,,
127369156,False,residential,False,66.44200000000001,"LINESTRING (35.021609 40.7824309, 35.0216345 40.7821602, 35.0216078 40.7820257, 35.0215148 40.7818491)",,,,,
127369156,False,residential,True,124.231,"LINESTRING (35.021609 40.7824309, 35.0216167 40.7825839, 35.0216167 40.7826881, 35.0215856 40.7829739, 35.0215618 40.7831608, 35.0217073 40.7835301)",,,,,
127369127,True,tertiary,False,71.525,"LINESTRING (35.0232661 40.7828555, 35.0234214 40.782982, 35.023901 40.7832812)",,,,,
127369191,True,secondary,False,22.318,"LINESTRING (35.0232661 40.7828555, 35.0232349 40.7829181, 35.0231772 40.782982, 35.0231061 40.7829988)",05-79,,,,
127369120,True,residential,False,21.088,"LINESTRING (35.0229224 40.7828643, 35.0229773 40.782797, 35.0231081 40.7827479)",,,,,
127369191,True,secondary,False,69.69200000000001,"LINESTRING (35.0229224 40.7828643, 35.0228885 40.782797, 35.0227908 40.7826626, 35.0225105 40.782322)",05-79,,,,
127369092,True,residential,False,22.391,"LINESTRING (35.0230173 40.7829853, 35.0228574 40.7829753, 35.0227553 40.7829954)",,,,,
127369122,False,residential,True,67.921,"LINESTRING (35.0230173 40.7829853, 35.0229995 40.7831669, 35.0229107 40.7834359, 35.0229018 40.7835872)",,,,,
127369191,True,secondary,False,15.939,"LINESTRING (35.0230173 40.7829853, 35.0229596 40.7829383, 35.0229224 40.7828643)",05-79,,,,
127369120,True,residential,False,20.26,"LINESTRING (35.0227553 40.7829954, 35.0229224 40.7828643)",,,,,
127369148,False,residential,True,47.53,"LINESTRING (35.0227553 40.7829954, 35.0224222 40.7832375, 35.0223341 40.7832776)",,,,,
127369191,True,secondary,False,7.626,"LINESTRING (35.0231061 40.7829988, 35.0230173 40.7829853)",05-79,,,,
127369074,False,residential,False,58.957,"LINESTRING (35.0223341 40.7832776, 35.0226176 40.783446, 35.0229018 40.7835872)",,,,,
127369148,False,residential,False,47.53,"LINESTRING (35.0223341 40.7832776, 35.0224222 40.7832375, 35.0227553 40.7829954)",,,,,
127369148,False,residential,True,59.812,"LINESTRING (35.0223341 40.7832776, 35.0222668 40.7833081, 35.021916 40.7834393, 35.0217073 40.7835301)",,,,,
127369114,True,tertiary,False,74.27199999999999,"LINESTRING (35.023901 40.7832812, 35.0234791 40.7830963, 35.0232971 40.7830459, 35.0231061 40.7829988)",,,,,
283457965,False,tertiary,True,89.595,"LINESTRING (35.023901 40.7832812, 35.0244028 40.7836141, 35.0247225 40.7837923)",,,,,
127369148,False,residential,True,15.865,"LINESTRING (35.0217073 40.7835301, 35.0215519 40.7836108)",,,,,
127369148,False,residential,False,59.812,"LINESTRING (35.0217073 40.7835301, 35.021916 40.7834393, 35.0222668 40.7833081, 35.0223341 40.7832776)",,,,,
127369156,False,residential,False,124.231,"LINESTRING (35.0217073 40.7835301, 35.0215618 40.7831608, 35.0215856 40.7829739, 35.0216167 40.7826881, 35.0216167 40.7825839, 35.021609 40.7824309)",,,,,
127369074,False,residential,False,108.72800000000001,"LINESTRING (35.0229018 40.7835872, 35.0230395 40.7837049, 35.0233237 40.7841084, 35.0235679 40.7844211)",,,,,
127369074,False,residential,True,58.957,"LINESTRING (35.0229018 40.7835872, 35.0226176 40.783446, 35.0223341 40.7832776)",,,,,
127369122,False,residential,False,67.92099999999999,"LINESTRING (35.0229018 40.7835872, 35.0229107 40.7834359, 35.0229995 40.7831669, 35.0230173 40.7829853)",,,,,
127369148,False,residential,False,15.865,"LINESTRING (35.0215519 40.7836108, 35.0217073 40.7835301)",,,,,
127369148,False,residential,True,33.074,"LINESTRING (35.0215519 40.7836108, 35.0212126 40.7837607)",,,,,
127369128,False,residential,False,161.459,"LINESTRING (35.0215519 40.7836108, 35.0216478 40.7837943, 35.0218299 40.7840028, 35.0221718 40.7842583, 35.0224249 40.784524, 35.022661 40.7847814)",,,,,
127369148,False,residential,False,33.074,"LINESTRING (35.0212126 40.7837607, 35.0215519 40.7836108)",,,,,
127369142,False,residential,True,190.1,"LINESTRING (35.0212126 40.7837607, 35.020962 40.7835849, 35.0208162 40.7833704, 35.020687 40.7829024, 35.0207089 40.7823634, 35.0208858 40.7822254)",,,,,
127369148,False,residential,True,144.703,"LINESTRING (35.0212126 40.7837607, 35.019971 40.7841728, 35.0196341 40.7842752)",,,,,
1242509766,False,unclassified,True,119.744,"LINESTRING (35.0247225 40.7837923, 35.0235679 40.7844211)",,Null,,,
283457965,False,tertiary,False,89.595,"LINESTRING (35.0247225 40.7837923, 35.0244028 40.7836141, 35.023901 40.7832812)",,,,,
283457965,False,tertiary,True,200.099,"LINESTRING (35.0247225 40.7837923, 35.0249001 40.7839638, 35.02506 40.7841689, 35.0252021 40.784448, 35.0255507 40.7854584)",,,,,
127369113,False,residential,False,74.28399999999999,"LINESTRING (35.0288923 40.7841807, 35.0286703 40.7843614, 35.0284649 40.7844665, 35.0281742 40.7845446)",,,,,
127369084,False,residential,False,203.77500000000003,"LINESTRING (35.0268496 40.7843824, 35.0271469 40.7847186, 35.0273184 40.7849339, 35.0276101 40.7854584, 35.0278838 40.7860294)",,,,,
127369084,False,residential,True,298.68000000000006,"LINESTRING (35.0268496 40.7843824, 35.0266498 40.7842101, 35.0263667 40.7839831, 35.0260336 40.7837268, 35.025762 40.7834878, 35.0254397 40.7831467, 35.0253453 40.783008, 35.0252797 40.782939, 35.0252621 40.7828231, 35.025201 40.7827601, 35.024979 40.7826676, 35.024881 40.7826172, 35.024618 40.7823505)",,,,,
365307677,False,residential,False,115.18299999999999,"LINESTRING (35.0268496 40.7843824, 35.0270494 40.7843404, 35.0272326 40.784353, 35.0276989 40.7844707, 35.0280319 40.7845211, 35.0281742 40.7845446)",,,,,
365307677,False,residential,True,118.62700000000001,"LINESTRING (35.0268496 40.7843824, 35.0265832 40.7845043, 35.0264832 40.7846094, 35.0263551 40.7847931, 35.0260421 40.7852264)",,,,,
365307689,False,residential,True,204.02400000000003,"LINESTRING (35.0268496 40.7843824, 35.0267898 40.7845565, 35.0266801 40.7846992, 35.0266328 40.785125, 35.0266226 40.7853017, 35.0265793 40.785461, 35.0266412 40.7856204, 35.0268455 40.7858032, 35.0270214 40.7860913)",,,,,
1242509766,False,unclassified,False,119.744,"LINESTRING (35.0235679 40.7844211, 35.0247225 40.7837923)",,Null,,,
127369074,False,residential,False,56.219,"LINESTRING (35.0235679 40.7844211, 35.0237189 40.7846363, 35.0239498 40.7848313)",,,,,
127369074,False,residential,True,108.72800000000001,"LINESTRING (35.0235679 40.7844211, 35.0233237 40.7841084, 35.0230395 40.7837049, 35.0229018 40.7835872)",,,,,
127369074,False,residential,False,123.60700000000001,"LINESTRING (35.0239498 40.7848313, 35.0243451 40.7850734, 35.0245005 40.7852213, 35.0246337 40.7854231, 35.0248024 40.7855508, 35.0249566 40.7856112)",,,,,
127369074,False,residential,True,56.219,"LINESTRING (35.0239498 40.7848313, 35.0237189 40.7846363, 35.0235679 40.7844211)",,,,,
365307687,False,residential,False,35.659,"LINESTRING (35.0239498 40.7848313, 35.0237752 40.784997, 35.0236523 40.7850532)",,,,,
127369138,False,residential,True,142.23000000000002,"LINESTRING (35.0236523 40.7850532, 35.0238122 40.7852718, 35.0238795 40.7855785, 35.0239898 40.7857021, 35.0244905 40.7861266)",,,,,
365307687,False,residential,False,95.988,"LINESTRING (35.0236523 40.7850532, 35.02341 40.7851189, 35.0231748 40.7850673, 35.0228344 40.7848705, 35.022661 40.7847814)",,,,,
365307687,False,residential,True,35.659,"LINESTRING (35.0236523 40.7850532, 35.0237752 40.784997, 35.0239498 40.7848313)",,,,,
