osmid,oneway,lanes,highway,maxspeed,access,reversed,length,geometry,bridge,name
183777883,True,2,primary,90,yes,False,35.78,"LINESTRING (41.995651 40.545966, 41.995396 40.545905, 41.9952414 40.5458885)",,
183777977,False,,tertiary,,,False,165.12400000000002,"LINESTRING (41.995651 40.545966, 41.9953403 40.5463261, 41.9948995 40.5469698, 41.9946913 40.547258)",,
183777914,False,,residential,,,False,150.122,"LINESTRING (41.9937491 40.542266, 41.9939825 40.5424302, 41.9942073 40.5424962, 41.9948555 40.5426207, 41.9954001 40.5426732)",,
183778008,False,,residential,,,False,195.353,"LINESTRING (41.9937491 40.542266, 41.9935142 40.5423483, 41.9931095 40.5426021, 41.9928819 40.5428818, 41.9927027 40.5432829, 41.9926455 40.5435096, 41.992572 40.5436789)",,
183778016,False,,residential,,,False,62.900000000000006,"LINESTRING (41.9959965 40.5421806, 41.9960743 40.542463, 41.9961089 40.5427389)",,
183777914,False,,residential,,,False,60.464999999999996,"LINESTRING (41.9954001 40.5426732, 41.9958668 40.5426995, 41.9961089 40.5427389)",,
183777914,False,,residential,,,True,150.122,"LINESTRING (41.9954001 40.5426732, 41.9948555 40.5426207, 41.9942073 40.5424962, 41.9939825 40.5424302, 41.9937491 40.542266)",,
183777991,False,,residential,,,False,317.901,"LINESTRING (41.9954001 40.5426732, 41.9953655 40.5436585, 41.9952185 40.5448671, 41.9952272 40.5451102, 41.9952877 40.545524)",,
183777914,False,,residential,,,False,39.117,"LINESTRING (41.9961089 40.5427389, 41.9965428 40.5428615)",,
183777914,False,,residential,,,True,60.464999999999996,"LINESTRING (41.9961089 40.5427389, 41.9958668 40.5426995, 41.9954001 40.5426732)",,
183778016,False,,residential,,,True,62.900000000000006,"LINESTRING (41.9961089 40.5427389, 41.9960743 40.542463, 41.9959965 40.5421806)",,
183777914,False,,residential,,,True,39.117,"LINESTRING (41.9965428 40.5428615, 41.9961089 40.5427389)",,
183777910,False,,tertiary,,,False,405.824,"LINESTRING (41.9965428 40.5428615, 41.9968695 40.542936, 41.997198 40.5429819, 41.9978982 40.5429425, 41.9981834 40.5429885, 41.998607 40.5431921, 41.999238 40.5433104, 42.0001283 40.54356, 42.0004827 40.5437439, 42.000621 40.5439147, 42.0007846 40.5441419)",,
183778015,False,,tertiary,,,False,101.411,"LINESTRING (41.9965428 40.5428615, 41.9963163 40.5430279, 41.9962472 40.5431396, 41.9961772 40.5436862)",,
183778012,False,,tertiary,,,False,396.286,"LINESTRING (41.9961772 40.5436862, 41.9974227 40.5437702, 41.998218 40.543895, 41.9991515 40.544138, 41.9995837 40.544184, 42.0001024 40.5441643, 42.0004913 40.5441315, 42.0007846 40.5441419)",,
