osmid,name,highway,oneway,reversed,length,geometry,ref,junction,maxspeed,lanes
679676938,Su Deposu Caddesi,tertiary,False,True,38.695,"LINESTRING (28.8784899 40.3736842, 28.8781778 40.3739383)",,,,
681343178,Su Deposu Caddesi,residential,False,False,47.137,"LINESTRING (28.8784899 40.3736842, 28.8789508 40.3734467)",,,,
503796439,Harmanlar Caddesi,tertiary,False,True,30.913,"LINESTRING (28.878595 40.3755998, 28.8788198 40.3758188)",,,,
679676938,Su Deposu Caddesi,tertiary,False,False,82.9,"LINESTRING (28.878595 40.3755998, 28.8782866 40.3750466, 28.8782121 40.3749137)",,,,
679676938,Su Deposu Caddesi,tertiary,False,True,62.848,"LINESTRING (28.878595 40.3755998, 28.8785953 40.3759076, 28.8785823 40.37605, 28.8785721 40.3761644)",,,,
679676938,Su Deposu Caddesi,tertiary,False,False,38.695,"LINESTRING (28.8781778 40.3739383, 28.8784899 40.3736842)",,,,
679676970,,residential,False,False,38.334,"LINESTRING (28.8781778 40.3739383, 28.8778971 40.3736679)",,,,
679676938,Su Deposu Caddesi,tertiary,False,True,78.452,"LINESTRING (28.8781778 40.3739383, 28.8780195 40.3743346, 28.8780197 40.3744866, 28.8780435 40.3746247)",,,,
1038747704,Engin Adıyaman Caddesi,residential,False,False,122.428,"LINESTRING (28.8781778 40.3739383, 28.8783683 40.3740676, 28.8785024 40.3741312, 28.8786216 40.3741629, 28.8787706 40.3741629, 28.8789286 40.3741402, 28.8790657 40.3740858, 28.8792862 40.374029, 28.8794946 40.3740197)",,,,
503796437,Su Deposu Caddesi,tertiary,False,False,35.692,"LINESTRING (28.8794484 40.3787449, 28.8793527 40.3784323)",,,,
503796440,Aslanbaba Caddesi,tertiary,True,False,34.485,"LINESTRING (28.8794484 40.3787449, 28.8797922 40.3785788)",,,,
906673680,1. Değirmendere Sokak,residential,False,True,73.042,"LINESTRING (28.8794484 40.3787449, 28.8798665 40.3793194)",,,,
46736730,Okul Sokak,residential,False,False,24.729,"LINESTRING (28.8793527 40.3784323, 28.8796217 40.3783459)",,,,
503796437,Su Deposu Caddesi,tertiary,False,False,106.612,"LINESTRING (28.8793527 40.3784323, 28.8784714 40.3777478)",,,,
503796437,Su Deposu Caddesi,tertiary,False,True,35.692,"LINESTRING (28.8793527 40.3784323, 28.8794484 40.3787449)",,,,
503796437,Su Deposu Caddesi,tertiary,False,True,106.612,"LINESTRING (28.8784714 40.3777478, 28.8793527 40.3784323)",,,,
503796437,Su Deposu Caddesi,tertiary,False,False,43.777,"LINESTRING (28.8784714 40.3777478, 28.8783908 40.3774469, 28.8783607 40.3773634)",,,,
46736730,Okul Sokak,residential,False,True,74.159,"LINESTRING (28.880548 40.3790285, 28.8801207 40.3784464)",,,,
503796409,Mustafakemalpaşa Caddesi,tertiary,False,False,31.546,"LINESTRING (28.880548 40.3790285, 28.8802259 40.3791709)",16-77,,,
503796409,Mustafakemalpaşa Caddesi,tertiary,False,True,30.57,"LINESTRING (28.880548 40.3790285, 28.880864 40.3788957)",16-77,,,
1042205519,Şükrü Çavuş Sokak,residential,False,False,81.475,"LINESTRING (28.880548 40.3790285, 28.8810175 40.379668)",,,,
24828466,Halitpaşa Caddesi,tertiary,False,True,86.409,"LINESTRING (28.8843765 40.3773913, 28.8850393 40.3768006)",16-77,,,
26486597,12 Eylül Caddesi,tertiary,False,False,53.973,"LINESTRING (28.8843765 40.3773913, 28.8840114 40.3777891)",,,,
503796409,Mustafakemalpaşa Caddesi,tertiary,False,False,51.195,"LINESTRING (28.8843765 40.3773913, 28.8838446 40.3776099)",16-77,,,
906629973,Hamam Sokak,residential,False,False,107.105,"LINESTRING (28.8843765 40.3773913, 28.8841751 40.3772966, 28.8840099 40.377134, 28.8835438 40.3766788)",,,,
1164561689,,trunk,True,False,7.4030000000000005,"LINESTRING (28.8886656 40.3736437, 28.8886715 40.373622, 28.8886841 40.373602, 28.8887029 40.373585)",D575,roundabout,,
1164561690,,trunk_link,True,False,13.539,"LINESTRING (28.8887029 40.373585, 28.8887364 40.3735684, 28.8887752 40.3735613, 28.888815 40.3735645, 28.888851 40.3735777)",,roundabout,,
26486506,,trunk,True,False,13.768999999999998,"LINESTRING (28.888851 40.3735777, 28.8888795 40.3735997, 28.8888965 40.3736279, 28.8888999 40.3736587, 28.8888893 40.3736886)",D575,roundabout,,
"[1164561689, 26486506]",,trunk,True,False,7.627000000000001,"LINESTRING (28.8888893 40.3736886, 28.8888732 40.3737079, 28.8888512 40.3737235, 28.8888248 40.3737343)",D575,roundabout,,
697927026,Halitpaşa Caddesi,trunk_link,True,False,21.357,"LINESTRING (28.8888248 40.3737343, 28.8886303 40.3738565)",16-77,,,
1164561689,,trunk,True,False,19.956999999999997,"LINESTRING (28.8888248 40.3737343, 28.8887863 40.3737402, 28.8887474 40.373736, 28.8887125 40.3737224, 28.8886854 40.3737008, 28.8886692 40.3736735, 28.8886656 40.3736437)",D575,roundabout,,
26486508,,trunk_link,True,False,23.851,"LINESTRING (28.8886303 40.3738565, 28.8886656 40.3736437)",,,,
24828466,Halitpaşa Caddesi,tertiary,False,False,125.888,"LINESTRING (28.8886303 40.3738565, 28.8882174 40.3741997, 28.8876119 40.3746809)",16-77,,,
697927027,,residential,False,True,81.86,"LINESTRING (28.8886303 40.3738565, 28.8884908 40.3737595, 28.8879291 40.37335)",,,,
26486597,12 Eylül Caddesi,tertiary,False,False,64.867,"LINESTRING (28.8840114 40.3777891, 28.883505 40.3782267)",,,,
