osmid,name,highway,oneway,reversed,length,geometry,bridge,junction,lanes
481882545,Cemal Gürsel Caddesi,tertiary,False,False,13.746,"LINESTRING (32.8106903 39.7905742, 32.8105598 39.7906465)",,,
481882545,Cemal Gürsel Caddesi,tertiary,False,True,30.7,"LINESTRING (32.8106903 39.7905742, 32.811003 39.7904382)",,,
482750233,Cumhuriyet Caddesi,secondary,True,False,204.243,"LINESTRING (32.8106903 39.7905742, 32.8107972 39.7907202, 32.8109328 39.7908936, 32.811075 39.7910313, 32.811204 39.791144, 32.8113617 39.7912622, 32.8116628 39.7914711, 32.812212 39.7918192, 32.8123255 39.7918912)",,,
208675586,,residential,False,False,62.579,"LINESTRING (32.8120095 39.7899727, 32.8116267 39.7894929)",,,
481882545,Cemal Gürsel Caddesi,tertiary,False,False,100.373,"LINESTRING (32.8120095 39.7899727, 32.811003 39.7904382)",,,
208674860,274. Cadde,tertiary,False,True,43.866,"LINESTRING (32.8075733 39.790494, 32.8073003 39.7901599)",,,
483067943,278. Cadde,tertiary,False,False,68.175,"LINESTRING (32.8075733 39.790494, 32.8082929 39.7902291)",,,
483067945,274. Cadde,tertiary,False,False,72.045,"LINESTRING (32.8075733 39.790494, 32.8080303 39.7910385)",,,
483069091,278. Cadde,tertiary,False,True,91.923,"LINESTRING (32.8075733 39.790494, 32.8067144 39.7908104, 32.8066105 39.7908615)",,,
53023847,,residential,False,False,53.962,"LINESTRING (32.8089963 39.7923172, 32.8094972 39.7920216)",,,
53023847,,residential,False,True,72.438,"LINESTRING (32.8089963 39.7923172, 32.8083314 39.7927214)",,,
483067656,927. Cadde,tertiary,False,False,58.382,"LINESTRING (32.8089963 39.7923172, 32.8093311 39.7927749)",,,
483067656,927. Cadde,tertiary,False,True,47.741,"LINESTRING (32.8089963 39.7923172, 32.8087335 39.7919383)",,,
53023847,,residential,False,False,92.517,"LINESTRING (32.8101275 39.7916497, 32.8109931 39.7911498)",,,
53023847,,residential,False,True,4.018,"LINESTRING (32.8101275 39.7916497, 32.8100902 39.7916717)",,,
864481329,,residential,False,True,75.476,"LINESTRING (32.8101275 39.7916497, 32.8096686 39.7910697)",,,
479591211,384. Sokak,residential,False,True,104.835,"LINESTRING (32.804147 39.7935435, 32.8043776 39.7944695)",,,
479174269,Hükümet Caddesi,tertiary,False,False,36.982,"LINESTRING (32.804147 39.7935435, 32.8040019 39.7935719, 32.8038353 39.793598, 32.8037243 39.7936146)",,,
