osmid,oneway,ref,highway,reversed,length,name,geometry,bridge
177448493,True,05-02,trunk_link,False,41.61,,"LINESTRING (36.3237841 40.7559245, 36.3236005 40.7562719)",
177448416,True,05-02,secondary,False,11.923,Atatürk Bulvarı,"LINESTRING (36.3229988 40.7576788, 36.3230018 40.757786)",
177448440,False,05-02,secondary,True,17.982,Atatürk Bulvarı,"LINESTRING (36.3229988 40.7576788, 36.3230623 40.7575244)",
184999562,False,,residential,True,182.37399999999997,,"LINESTRING (36.3229988 40.7576788, 36.3217709 40.757961, 36.3213066 40.758042, 36.3212292 40.7583436)",
177448416,True,05-02,secondary,False,81.493,Atatürk Bulvarı,"LINESTRING (36.3230018 40.757786, 36.3227558 40.7584948)",
184999478,False,,residential,False,31.066,,"LINESTRING (36.3230018 40.757786, 36.3233526 40.7578723)",
177448455,False,,residential,True,79.823,,"LINESTRING (36.3212292 40.7583436, 36.3208491 40.7590012)",
177448456,False,,residential,False,117.948,,"LINESTRING (36.3212292 40.7583436, 36.3226201 40.7584667)",
184999562,False,,residential,False,182.374,,"LINESTRING (36.3212292 40.7583436, 36.3213066 40.758042, 36.3217709 40.757961, 36.3229988 40.7576788)",
184999586,False,,residential,False,110.113,,"LINESTRING (36.3212292 40.7583436, 36.3207508 40.7583181, 36.3206087 40.7583586, 36.3203459 40.7585996, 36.3202049 40.758768)",
177448456,False,,residential,False,11.849,,"LINESTRING (36.3226201 40.7584667, 36.3227558 40.7584948)",
177448456,False,,residential,True,117.948,,"LINESTRING (36.3226201 40.7584667, 36.3212292 40.7583436)",
177448420,True,05-02,secondary,False,93.57600000000001,Atatürk Bulvarı,"LINESTRING (36.3226201 40.7584667, 36.3229144 40.7577812, 36.3229988 40.7576788)",
177448416,True,05-02,secondary,False,22.491,Atatürk Bulvarı,"LINESTRING (36.3227558 40.7584948, 36.3226563 40.7586825)",
177448456,False,,residential,False,29.582,,"LINESTRING (36.3227558 40.7584948, 36.3231068 40.7585043)",
177448456,False,,residential,True,11.849,,"LINESTRING (36.3227558 40.7584948, 36.3226201 40.7584667)",
177448456,False,,residential,True,17.203,,"LINESTRING (36.3278522 40.7585933, 36.3276619 40.7585371)",
177448423,False,,residential,False,245.64600000000002,,"LINESTRING (36.3278522 40.7585933, 36.3277365 40.7588019, 36.3274749 40.759249, 36.3266578 40.7606086)",
177448420,True,05-02,secondary,False,73.32,Atatürk Bulvarı,"LINESTRING (36.3223245 40.7590869, 36.3226201 40.7584667)",
177448509,False,,residential,False,9.2,,"LINESTRING (36.3223245 40.7590869, 36.3224236 40.7591217)",
177448416,True,05-02,secondary,False,128.421,Atatürk Bulvarı,"LINESTRING (36.3224236 40.7591217, 36.3218192 40.760182)",
177448509,False,,residential,False,83.737,,"LINESTRING (36.3224236 40.7591217, 36.3233256 40.7594384)",
177448509,False,,residential,True,9.2,,"LINESTRING (36.3224236 40.7591217, 36.3223245 40.7590869)",
177448420,True,05-02,secondary,False,40.215,Atatürk Bulvarı,"LINESTRING (36.322133 40.7594182, 36.3223245 40.7590869)",
184999549,False,,residential,True,11.521,,"LINESTRING (36.322133 40.7594182, 36.3220043 40.7593831)",
177448509,False,,residential,False,26.432,,"LINESTRING (36.3233256 40.7594384, 36.3236103 40.7595384)",
177448509,False,,residential,True,83.737,,"LINESTRING (36.3233256 40.7594384, 36.3224236 40.7591217)",
184999452,False,,residential,False,67.799,,"LINESTRING (36.3233256 40.7594384, 36.3229798 40.759989)",
184999452,False,,residential,True,51.859,,"LINESTRING (36.3233256 40.7594384, 36.3235852 40.7590155)",
177448509,False,,residential,False,73.884,,"LINESTRING (36.3241605 40.7597317, 36.3249564 40.7600111)",
177448509,False,,residential,True,22.728,,"LINESTRING (36.3241605 40.7597317, 36.3239157 40.7596457)",
184999478,False,,residential,False,86.563,,"LINESTRING (36.3241605 40.7597317, 36.3237355 40.7604405)",
184999478,False,,residential,True,51.274,,"LINESTRING (36.3241605 40.7597317, 36.3244115 40.7593116)",
177448509,False,,residential,False,80.4,,"LINESTRING (36.3249564 40.7600111, 36.3258224 40.7603153)",
177448509,False,,residential,True,73.884,,"LINESTRING (36.3249564 40.7600111, 36.3241605 40.7597317)",
184999455,False,,residential,False,224.443,,"LINESTRING (36.3249564 40.7600111, 36.3260273 40.7581628)",
184999455,False,,residential,True,181.058,,"LINESTRING (36.3249564 40.7600111, 36.3241194 40.7615109)",
177448420,True,05-02,secondary,False,88.432,Atatürk Bulvarı,"LINESTRING (36.321721 40.7601497, 36.322133 40.7594182)",
184999584,False,,tertiary,False,9.017,Hükümet Caddesi,"LINESTRING (36.321721 40.7601497, 36.3218192 40.760182)",
177448416,True,05-02,secondary,False,190.752,Atatürk Bulvarı,"LINESTRING (36.3218192 40.760182, 36.3209005 40.76175)",
184999584,False,,tertiary,True,9.017,Hükümet Caddesi,"LINESTRING (36.3218192 40.760182, 36.321721 40.7601497)",
184999584,False,,tertiary,False,83.149,Hükümet Caddesi,"LINESTRING (36.3218192 40.760182, 36.3223206 40.760425, 36.3226197 40.7606169)",
177448509,False,,residential,False,77.552,,"LINESTRING (36.3258224 40.7603153, 36.3266578 40.7606086)",
177448509,False,,residential,True,80.4,,"LINESTRING (36.3258224 40.7603153, 36.3249564 40.7600111)",
184999566,False,,residential,False,200.61,,"LINESTRING (36.3258224 40.7603153, 36.3248347 40.761957)",
184999566,False,,residential,True,240.826,,"LINESTRING (36.3258224 40.7603153, 36.3270017 40.7583423)",
177448423,False,,residential,False,159.732,,"LINESTRING (36.3266578 40.7606086, 36.3258625 40.7619127)",
177448509,False,,residential,True,77.552,,"LINESTRING (36.3266578 40.7606086, 36.3258224 40.7603153)",
177448423,False,,residential,True,245.646,,"LINESTRING (36.3266578 40.7606086, 36.3274749 40.759249, 36.3277365 40.7588019, 36.3278522 40.7585933)",
