osmid,oneway,highway,reversed,length,name,geometry,lanes,ref,maxspeed
560577830,True,tertiary,False,26.405,,"LINESTRING (26.9925797 38.4952417, 26.9927088 38.4950268)",,,
24729744,False,tertiary,False,148.101,Kaklıç Köyü Yolu,"LINESTRING (26.9925797 38.4952417, 26.9921502 38.4956387, 26.9918835 38.4958909, 26.9915881 38.4961663, 26.9915049 38.4962727)",,,
222435458,True,secondary,False,12.431999999999999,Ahmet Piriştina Bulvarı,"LINESTRING (26.9930052 38.4946356, 26.9930522 38.4946417, 26.9930949 38.4946583, 26.9931294 38.4946839)",2,35-76,50
560577833,True,tertiary,False,42.01,,"LINESTRING (26.9930052 38.4946356, 26.9930658 38.4945906, 26.9931711 38.4945123, 26.9933513 38.4944026, 26.9933671 38.4943868)",,,
222435458,True,secondary,False,13.485999999999999,Ahmet Piriştina Bulvarı,"LINESTRING (26.9928719 38.4946887, 26.9929081 38.4946598, 26.9929542 38.4946415, 26.9930052 38.4946356)",2,35-76,50
222435458,True,secondary,False,3.957,Ahmet Piriştina Bulvarı,"LINESTRING (26.9931106 38.4948543, 26.9930729 38.4948742)",2,35-76,50
222435458,True,secondary,False,17.903,Ahmet Piriştina Bulvarı,"LINESTRING (26.9928772 38.4948392, 26.992856 38.4948116, 26.9928444 38.4947807, 26.9928433 38.4947485, 26.9928527 38.4947171, 26.9928719 38.4946887)",2,35-76,50
392799490,True,secondary,False,22.358,Ahmet Piriştina Bulvarı,"LINESTRING (26.9928772 38.4948392, 26.9927522 38.4948433, 26.9926204 38.4948435)",2,35-76,50
222435458,True,secondary,False,18.786,Ahmet Piriştina Bulvarı,"LINESTRING (26.9930729 38.4948742, 26.993021 38.494886, 26.9929671 38.4948836, 26.9929173 38.4948674, 26.9928772 38.4948392)",2,35-76,50
560577831,True,tertiary,False,59.553,,"LINESTRING (26.9930729 38.4948742, 26.9929575 38.4949368, 26.992834 38.4950393, 26.9927368 38.4951329, 26.9925797 38.4952417)",,,
222435458,True,secondary,False,2.726,Ahmet Piriştina Bulvarı,"LINESTRING (26.9931294 38.4946839, 26.9931516 38.4947012)",2,35-76,50
560577827,True,tertiary,False,28.301000000000002,,"LINESTRING (26.993334 38.4944861, 26.9932517 38.4945681, 26.9931999 38.4946172, 26.9931294 38.4946839)",,,
560577828,True,tertiary,False,30.473,,"LINESTRING (26.993334 38.4944861, 26.9933528 38.4946277, 26.9933861 38.4946576, 26.9934633 38.494727)",,,
560577827,True,tertiary,False,11.411,,"LINESTRING (26.9933671 38.4943868, 26.993334 38.4944861)",,,
560577830,True,tertiary,False,23.569000000000003,,"LINESTRING (26.9927088 38.4950268, 26.9927196 38.4949612, 26.9927068 38.4949183, 26.9926881 38.4948929, 26.9926204 38.4948435)",,,
560577832,True,tertiary,False,25.494,,"LINESTRING (26.9927088 38.4950268, 26.992825 38.494898, 26.9928772 38.4948392)",,,
392799491,True,secondary,False,27.278,Ahmet Piriştina Bulvarı,"LINESTRING (26.9931516 38.4947012, 26.9934633 38.494727)",2,35-76,50
222435458,True,secondary,False,18.386000000000003,Ahmet Piriştina Bulvarı,"LINESTRING (26.9931516 38.4947012, 26.9931529 38.4947166, 26.9931631 38.4947532, 26.9931589 38.4947906, 26.9931409 38.4948253, 26.9931106 38.4948543)",2,35-76,50
24729744,False,tertiary,True,148.101,Kaklıç Köyü Yolu,"LINESTRING (26.9915049 38.4962727, 26.9915881 38.4961663, 26.9918835 38.4958909, 26.9921502 38.4956387, 26.9925797 38.4952417)",,,
