osmid,oneway,ref,highway,reversed,length,geometry,junction,lanes,name
784772316,True,38-50,secondary,False,40.607000000000006,"LINESTRING (35.5054649 38.5891691, 35.5056088 38.5890458, 35.5057539 38.5889512, 35.5058164 38.588938)",,,
820161916,True,,secondary,False,80.571,"LINESTRING (35.5054649 38.5891691, 35.5055227 38.5890752, 35.5055704 38.5889779, 35.5056077 38.5888779, 35.5056342 38.588777, 35.5056501 38.5886747, 35.5056554 38.5885718, 35.5056499 38.5884689)",,,
784772316,True,38-50,secondary,False,382.16,"LINESTRING (35.5041178 38.5924335, 35.5042036 38.5920897, 35.5044329 38.5914859, 35.5046425 38.5909692, 35.5048629 38.5904552, 35.5050543 38.5899931, 35.5051949 38.5896397, 35.5053283 38.589368, 35.5054649 38.5891691)",,,
849470072,True,,trunk,False,7.972,"LINESTRING (35.5061346 38.5888887, 35.5061549 38.5889208, 35.5061638 38.588956)",roundabout,,
820161918,True,38-50,trunk,False,54.132,"LINESTRING (35.5058164 38.588938, 35.5056499 38.5884689)",,2,Erciyes Yolu
784772319,True,,trunk,False,35.851,"LINESTRING (35.5058164 38.588938, 35.5058312 38.5889041, 35.5058567 38.5888743, 35.5058911 38.5888507, 35.5059323 38.5888349, 35.5059772 38.5888279, 35.506023 38.5888303, 35.5060664 38.5888418, 35.5061045 38.5888618, 35.5061346 38.5888887)",roundabout,,
784772317,True,38-50,secondary,False,30.362000000000002,"LINESTRING (35.5059108 38.5890879, 35.5056894 38.5892372, 35.5056501 38.5892694)",,,
849470070,True,,trunk,False,19.917,"LINESTRING (35.5059108 38.5890879, 35.5058727 38.589068, 35.5058425 38.589041, 35.5058223 38.5890089, 35.5058134 38.5889738, 35.5058164 38.588938)",roundabout,,
849470071,True,,trunk,False,31.872,"LINESTRING (35.5061638 38.588956, 35.5061608 38.5889917, 35.506146 38.5890257, 35.5061205 38.5890554, 35.506086 38.589079, 35.5060449 38.5890949, 35.506 38.5891018, 35.5059542 38.5890995, 35.5059108 38.5890879)",roundabout,,
784772317,True,38-50,secondary,False,378.006,"LINESTRING (35.5056501 38.5892694, 35.5055248 38.5893721, 35.5053745 38.5895715, 35.5052047 38.5899534, 35.5050048 38.5904244, 35.5048057 38.5908957, 35.5045134 38.591576, 35.5042545 38.5921547, 35.5041178 38.5924335)",,,
680406631,True,38-29,trunk,False,33.827,"LINESTRING (35.5060164 38.5893807, 35.5059108 38.5890879)",,2,Erciyes Bulvarı
820161915,True,,secondary,False,38.108,"LINESTRING (35.5060164 38.5893807, 35.505882 38.5892715, 35.5058555 38.5892573, 35.5058257 38.5892479, 35.505793 38.5892437, 35.5057599 38.5892453, 35.5056501 38.5892694)",,,
