osmid,oneway,name,highway,reversed,length,geometry,width,maxspeed,lanes,access
83014721,True,Antalya Caddesi,secondary,False,100.21199999999999,"LINESTRING (31.4422663 36.7870067, 31.4412773 36.7870505, 31.4411426 36.7870548)",,,,
5200010,True,Antalya Caddesi,secondary,False,76.391,"LINESTRING (31.4408284 36.7869194, 31.4407469 36.7867307, 31.4406329 36.7865836, 31.4404955 36.7864292, 31.4403807 36.7863451)",,,,
38846963,True,,secondary,False,19.073,"LINESTRING (31.4403807 36.7863451, 31.4404984 36.7862018)",7,,,
5200010,True,Antalya Caddesi,secondary,False,459.234,"LINESTRING (31.4403807 36.7863451, 31.4401876 36.7862367, 31.4400116 36.7861654, 31.439822 36.7861199, 31.4396241 36.7861076, 31.4393825 36.7861356, 31.4390583 36.7862085, 31.4386687 36.7863179, 31.4384682 36.7863806, 31.437284 36.7867512, 31.4356442 36.7872368, 31.4355516 36.7872642)",,,,
38846963,True,,secondary,False,129.577,"LINESTRING (31.4404984 36.7862018, 31.4406528 36.7860799, 31.4406681 36.7859988, 31.440662 36.7854608, 31.4406556 36.7850892)",7,,,
38865478,True,Antalya Caddesi,secondary,False,42.585,"LINESTRING (31.4404984 36.7862018, 31.4406082 36.7862689, 31.4407134 36.7863721, 31.4408028 36.7864914)",,,,
96041915,True,Hastane Caddesi,secondary,False,22.47,"LINESTRING (31.4411778 36.7868547, 31.4411426 36.7870548)",,,,
38867818,True,Antalya Caddesi,secondary,False,100.78,"LINESTRING (31.4411778 36.7868547, 31.4412895 36.7869298, 31.4414463 36.7869758, 31.4422637 36.7869368)",6,,,
38865478,True,Antalya Caddesi,secondary,False,52.65899999999999,"LINESTRING (31.4408028 36.7864914, 31.4409668 36.7866862, 31.4410919 36.7867861, 31.4411778 36.7868547)",,,,
"[132526938, 96192043, 132526983]",False,,"['residential', 'unclassified']","[False, True]",529.8059999999999,"LINESTRING (31.4355516 36.7872642, 31.4357893 36.7876841, 31.43593 36.7877393, 31.4360509 36.7877414, 31.4361534 36.787702, 31.4362498 36.7876412, 31.4364293 36.7874966, 31.4365512 36.7874622, 31.4367029 36.7874425, 31.4369449 36.787431, 31.4371745 36.7874556, 31.4372453 36.7874948, 31.4373914 36.7876118, 31.4375772 36.7877375, 31.4378629 36.7877778, 31.4380321 36.7877734, 31.4381795 36.7877041, 31.4384715 36.7875374, 31.4385196 36.7873164, 31.4385747 36.7870601, 31.4388409 36.7869327, 31.439165 36.7869362, 31.4393851 36.7870088, 31.4394514 36.7870895, 31.4393984 36.7872382, 31.4391038 36.7875934)",,,,
377478455,True,Hastane Caddesi,secondary,False,39.285,"LINESTRING (31.4419884 36.7899692, 31.4419115 36.7901738, 31.4418361 36.7902997)",,,,
703837371,False,Selale Caddesi,residential,True,21.559,"LINESTRING (31.4419884 36.7899692, 31.4420062 36.7899909, 31.4420225 36.7900128, 31.4420465 36.7900297, 31.4420758 36.7900399, 31.4421281 36.7900453, 31.4421885 36.7900374)",,,,
377460257,False,Gülveren Cd.,residential,False,54.63,"LINESTRING (31.4436016 36.7859098, 31.4436032 36.7864011)",7,40,,
377460257,False,Gülveren Cd.,residential,True,90.687,"LINESTRING (31.4436016 36.7859098, 31.4436626 36.7850957)",7,40,,
