osmid,highway,oneway,reversed,length,geometry,ref,bridge,name
204570810,residential,False,True,96.787,"LINESTRING (36.0250404 37.4510145, 36.0248839 37.4510193, 36.0244933 37.4510475, 36.0239489 37.4510945)",,,
"[477007487, 477007485, 476418039]",secondary,False,False,79.75200000000001,"LINESTRING (36.0250404 37.4510145, 36.025051 37.450975, 36.0250698 37.4509303, 36.025102 37.45086, 36.025169 37.4507429, 36.0252522 37.4506152, 36.0253205 37.4505208, 36.0254188 37.4504009, 36.0254399 37.4503753)",80-79,yes,
477007485,secondary,False,True,169.99,"LINESTRING (36.0250404 37.4510145, 36.0250321 37.4510439, 36.0250242 37.4511326, 36.0250246 37.451232, 36.0250322 37.4513562, 36.0251688 37.452236, 36.0251852 37.4523668, 36.0251852 37.4524507, 36.0251788 37.4525168, 36.0251771 37.4525346)",80-79,,
204570810,residential,False,False,96.787,"LINESTRING (36.0239489 37.4510945, 36.0244933 37.4510475, 36.0248839 37.4510193, 36.0250404 37.4510145)",,,
204570789,residential,False,False,53.296,"LINESTRING (36.0204823 37.4524598, 36.0205284 37.4525227, 36.0207237 37.4528985)",,,
204570822,residential,False,True,80.293,"LINESTRING (36.0204823 37.4524598, 36.0201497 37.4526072, 36.0198802 37.4527008, 36.0197709 37.4527388, 36.0196587 37.4527595)",,,
204570789,residential,False,True,53.296,"LINESTRING (36.0207237 37.4528985, 36.0205284 37.4525227, 36.0204823 37.4524598)",,,
476427485,tertiary,False,False,588.2570000000001,"LINESTRING (36.0207237 37.4528985, 36.0207725 37.4528443, 36.02081 37.4528124, 36.0208798 37.4527698, 36.0209763 37.4527166, 36.0214994 37.4524824, 36.0220386 37.4522703, 36.022235 37.4521944, 36.0223373 37.4521505, 36.0224021 37.452114, 36.0224332 37.4520899, 36.0224615 37.452068, 36.0224947 37.4520313, 36.0225267 37.4519867, 36.0225585 37.4519333, 36.0225859 37.4518817, 36.0226089 37.4518211, 36.02268 37.4515813, 36.0227318 37.4514186, 36.022793 37.4512744, 36.0229057 37.4510627, 36.0230636 37.4508191, 36.0231702 37.4506384, 36.0232786 37.4504575, 36.023366 37.450334, 36.0234146 37.4502761, 36.0234769 37.4502253, 36.0235558 37.4501695, 36.0236136 37.4501379, 36.0237014 37.4501043, 36.0237945 37.4500882, 36.0238722 37.4500845, 36.0239429 37.4500957, 36.0250863 37.4502526, 36.0252063 37.4502822, 36.0252982 37.4503099, 36.025355 37.4503352, 36.0254399 37.4503753)",,,Şehit Polis Nadir Oğlakkaya Caddesi
476427485,tertiary,False,True,88.92700000000002,"LINESTRING (36.0207237 37.4528985, 36.0206867 37.4529487, 36.0206759 37.4529934, 36.0206759 37.4530573, 36.0206947 37.4532979, 36.0207135 37.4534767, 36.0207188 37.4535853, 36.0207196 37.4536883)",,,Şehit Polis Nadir Oğlakkaya Caddesi
204570780,residential,False,False,84.62299999999999,"LINESTRING (36.0259581 37.4532785, 36.0260912 37.453575, 36.026103 37.4537488, 36.0262273 37.4540025)",,,
