osmid,tunnel,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge
1117894555,yes,D050,Yusufeli 1 Tüneli,primary,False,False,269.337,"LINESTRING (41.5256486 40.8098989, 41.52378 40.8079325)",,,
"[1117898083, 1117898085]",,D050,Artvin - İspir Yolu,primary,True,False,141.941,"LINESTRING (41.5256486 40.8098989, 41.5260473 40.8100362, 41.5269271 40.8105575, 41.5270309 40.8106182)",,,
1117894556,,D050,Artvin - İspir Yolu,primary,True,False,161.74599999999998,"LINESTRING (41.5288036 40.8117739, 41.5282296 40.8115711, 41.5271491 40.8110399)",,,
1117898086,,,,primary_link,True,False,31.054,"LINESTRING (41.5273603 40.8108109, 41.5271491 40.8110399)",,,
1117898085,,D050,Artvin - İspir Yolu,primary,True,False,163.42000000000002,"LINESTRING (41.5273603 40.8108109, 41.5284574 40.8114223, 41.5288036 40.8117739)",,,
1117894556,,D050,Artvin - İspir Yolu,primary,True,False,36.311,"LINESTRING (41.5271491 40.8110399, 41.5271229 40.811027, 41.5268084 40.8108397)",,,
1182929338,,,,tertiary_link,True,False,60.164,"LINESTRING (41.5271491 40.8110399, 41.5268783 40.8111901, 41.526535 40.8113119)",,,
1117898087,,,,tertiary_link,True,False,30.94,"LINESTRING (41.5268084 40.8108397, 41.5270309 40.8106182)",,,
"[1117898084, 1117894556]",,D050,Artvin - İspir Yolu,primary,True,False,143.821,"LINESTRING (41.5268084 40.8108397, 41.5266771 40.8107615, 41.5259102 40.8101926, 41.5256486 40.8098989)",,,
1117898085,,D050,Artvin - İspir Yolu,primary,True,False,35.038,"LINESTRING (41.5270309 40.8106182, 41.5273603 40.8108109)",,,
1117898090,,,,tertiary_link,True,False,92.286,"LINESTRING (41.5270309 40.8106182, 41.527292 40.8105123, 41.5275503 40.8104805, 41.52775 40.8105203, 41.5279944 40.8106905)",1,50,
1125347798,,,,tertiary,False,False,134.78300000000002,"LINESTRING (41.5292694 40.811152, 41.5289841 40.8112432, 41.5287679 40.8112225, 41.528559 40.8111685, 41.5283014 40.8110032, 41.5282131 40.8109137, 41.5281259 40.8108151, 41.5280695 40.8107541, 41.5279944 40.8106905)",2,50,
"[1182929337, 1125347799, 1182356854, 1182356855]",,,,tertiary,False,True,192.414,"LINESTRING (41.5292694 40.811152, 41.5291522 40.8110413, 41.5290309 40.8109242, 41.5290151 40.8107763, 41.5290667 40.8105902, 41.529206 40.8104726, 41.5293848 40.8103215, 41.5295491 40.8101756, 41.5300082 40.8097509)",2,50,yes
