osmid,highway,oneway,reversed,length,geometry,bridge,tunnel,lanes,name,maxspeed,ref
246370664,unclassified,False,False,74.699,"LINESTRING (40.6873754 -14.5580589, 40.6880499 -14.5579005)",,,,,,
246370638,residential,False,False,219.288,"LINESTRING (40.6873754 -14.5580589, 40.6873392 -14.5574293, 40.6873378 -14.5571541, 40.6873566 -14.5570581, 40.6873888 -14.5569815, 40.6874438 -14.5569179, 40.6880888 -14.5564129)",,,,,,
246370664,unclassified,False,True,111.973,"LINESTRING (40.6873754 -14.5580589, 40.6867504 -14.5581926, 40.6865201 -14.5582391, 40.6863588 -14.558273)",,,,,,
246370629,residential,False,True,15.662,"LINESTRING (40.6890336 -14.558538, 40.6890707 -14.5586742)",,,,,,
531336186,residential,False,False,60.437,"LINESTRING (40.6890336 -14.558538, 40.6889012 -14.5580098)",,,,,,
78194822,residential,False,True,275.878,"LINESTRING (40.6890336 -14.558538, 40.6888347 -14.5585856, 40.6865372 -14.5591012)",,,,,,
327413938,residential,True,False,55.892,"LINESTRING (40.6867903 -14.554838, 40.6872338 -14.5550995)",,,,,,
597403326,residential,False,False,22.611,"LINESTRING (40.6867903 -14.554838, 40.6867571 -14.5548747, 40.6867263 -14.5549279, 40.6866977 -14.5550173)",,,,,,
601775572,residential,False,True,46.355,"LINESTRING (40.6867903 -14.554838, 40.6868215 -14.5547981, 40.6868633 -14.5547098, 40.6868961 -14.5546097, 40.686914 -14.5545095, 40.6869154 -14.5544465)",,,,,,
246370638,residential,False,False,72.69,"LINESTRING (40.6892163 -14.5554698, 40.6897372 -14.5550537)",,,,,,
246370638,residential,False,True,160.383,"LINESTRING (40.6892163 -14.5554698, 40.6880888 -14.5564129)",,,,,,
327413950,residential,False,True,94.034,"LINESTRING (40.6892163 -14.5554698, 40.6886521 -14.5548241)",no,no,2,Rua Massacre de Moeda,30,
327413950,residential,False,False,73.612,"LINESTRING (40.6882004 -14.554327, 40.6886521 -14.5548241)",no,no,2,Rua Massacre de Moeda,30,
78194828,tertiary,False,False,136.463,"LINESTRING (40.6882004 -14.554327, 40.6875348 -14.5549388, 40.6873812 -14.555051, 40.6873415 -14.5550727, 40.6872976 -14.5550902, 40.6872338 -14.5550995)",,,,,,
218649583,residential,False,False,84.58699999999999,"LINESTRING (40.6863588 -14.558273, 40.6861 -14.5583237, 40.6855904 -14.5584327)",,,,,,
246370664,unclassified,False,False,111.973,"LINESTRING (40.6863588 -14.558273, 40.6865201 -14.5582391, 40.6867504 -14.5581926, 40.6873754 -14.5580589)",,,,,,
326530656,primary,False,False,291.119,"LINESTRING (40.6863588 -14.558273, 40.6861922 -14.5573561, 40.6858228 -14.5557073)",,,,,,N8
326530656,primary,False,True,94.072,"LINESTRING (40.6863588 -14.558273, 40.6864105 -14.5585128, 40.6864962 -14.5589111, 40.6865372 -14.5591012)",,,,,,N8
327413940,tertiary,False,True,61.28,"LINESTRING (40.6866292 -14.5555644, 40.6866977 -14.5550173)",,,,,,
327413940,tertiary,False,False,88.234,"LINESTRING (40.6866292 -14.5555644, 40.6860361 -14.5556716, 40.6858228 -14.5557073)",,,,,,
327413941,residential,False,False,99.859,"LINESTRING (40.6866292 -14.5555644, 40.687389 -14.5556922, 40.6874469 -14.5557045, 40.6874967 -14.5557257, 40.6875336 -14.555747)",,,,,,
326530656,primary,False,True,19.359,"LINESTRING (40.6865372 -14.5591012, 40.686576 -14.5592712)",,,,,,N8
78194822,residential,False,False,275.878,"LINESTRING (40.6865372 -14.5591012, 40.6888347 -14.5585856, 40.6890336 -14.558538)",,,,,,
326530656,primary,False,False,94.072,"LINESTRING (40.6865372 -14.5591012, 40.6864962 -14.5589111, 40.6864105 -14.5585128, 40.6863588 -14.558273)",,,,,,N8
326530656,primary,False,False,197.731,"LINESTRING (40.6858228 -14.5557073, 40.6856225 -14.5548422, 40.68544 -14.5539682)",,,,,,N8
326530656,primary,False,True,291.119,"LINESTRING (40.6858228 -14.5557073, 40.6861922 -14.5573561, 40.6863588 -14.558273)",,,,,,N8
327413940,tertiary,False,True,88.234,"LINESTRING (40.6858228 -14.5557073, 40.6860361 -14.5556716, 40.6866292 -14.5555644)",,,,,,
218649583,residential,False,True,72.54,"LINESTRING (40.6849359 -14.5585885, 40.6855904 -14.5584327)",,,,,,
218649661,residential,False,False,105.241,"LINESTRING (40.6849359 -14.5585885, 40.6851585 -14.5595101)",,,,,,
218649583,residential,False,False,67.783,"LINESTRING (40.6849359 -14.5585885, 40.6847066 -14.5586404, 40.6843203 -14.558717)",,,,,,
443989491,residential,False,False,219.024,"LINESTRING (40.6849359 -14.5585885, 40.6847348 -14.557435, 40.6845846 -14.5566484)",,,,,,
218649583,residential,False,False,29.271,"LINESTRING (40.6843203 -14.558717, 40.6840534 -14.5587676)",,,,,,
218649583,residential,False,True,67.783,"LINESTRING (40.6843203 -14.558717, 40.6847066 -14.5586404, 40.6849359 -14.5585885)",,,,,,
218649679,residential,False,True,114.325,"LINESTRING (40.6843203 -14.558717, 40.6843419 -14.5588243, 40.6845356 -14.5597238)",,,,,,
218649583,residential,False,False,71.278,"LINESTRING (40.6836873 -14.5588338, 40.6830342 -14.5589402)",,,,,,
218649583,residential,False,True,9.799,"LINESTRING (40.6836873 -14.5588338, 40.6837768 -14.5588176)",,,,,,
326530656,primary,False,False,19.359,"LINESTRING (40.686576 -14.5592712, 40.6865372 -14.5591012)",,,,,,N8
218649623,residential,False,True,84.63,"LINESTRING (40.686576 -14.5592712, 40.6863285 -14.5593211, 40.6858054 -14.5594227)",,,,,,
326530656,primary,False,True,89.287,"LINESTRING (40.686576 -14.5592712, 40.6866646 -14.559671, 40.6867491 -14.5600565)",,,,,,N8
218649623,residential,False,False,70.297,"LINESTRING (40.6851585 -14.5595101, 40.6858054 -14.5594227)",,,,,,
218649661,residential,False,False,106.138,"LINESTRING (40.6851585 -14.5595101, 40.685339 -14.5604485)",,,,,,
218649661,residential,False,True,105.241,"LINESTRING (40.6851585 -14.5595101, 40.6849359 -14.5585885)",,,,,,
601697561,residential,False,True,72.06,"LINESTRING (40.6851585 -14.5595101, 40.6850003 -14.5595282, 40.6848527 -14.5595633, 40.6847951 -14.5595853, 40.6845356 -14.5597238)",,,,,,
326530656,primary,False,False,6.684,"LINESTRING (40.6867638 -14.5601149, 40.6867491 -14.5600565)",,,,,,N8
326530656,primary,False,True,131.373,"LINESTRING (40.6867638 -14.5601149, 40.6870374 -14.5612663)",,,,,,N8
218649650,residential,False,True,88.119,"LINESTRING (40.6867638 -14.5601149, 40.6865497 -14.5601676, 40.6859685 -14.5603032)",,,,,,
218649650,residential,False,True,69.649,"LINESTRING (40.6859685 -14.5603032, 40.685339 -14.5604485)",,,,,,
218649654,residential,False,False,209.905,"LINESTRING (40.6859685 -14.5603032, 40.6863709 -14.5621503)",,,,,,
218649654,residential,False,True,99.468,"LINESTRING (40.6859685 -14.5603032, 40.6858054 -14.5594227)",,,,,,
218649650,residential,False,False,88.119,"LINESTRING (40.6859685 -14.5603032, 40.6865497 -14.5601676, 40.6867638 -14.5601149)",,,,,,
218649650,residential,False,False,69.649,"LINESTRING (40.685339 -14.5604485, 40.6859685 -14.5603032)",,,,,,
218649650,residential,False,True,68.274,"LINESTRING (40.685339 -14.5604485, 40.684724 -14.5605991)",,,,,,
218649661,residential,False,False,207.985,"LINESTRING (40.685339 -14.5604485, 40.6857258 -14.5622811)",,,,,,
218649661,residential,False,True,106.138,"LINESTRING (40.685339 -14.5604485, 40.6851585 -14.5595101)",,,,,,
218649650,residential,False,False,68.274,"LINESTRING (40.684724 -14.5605991, 40.685339 -14.5604485)",,,,,,
218649679,residential,False,False,99.419,"LINESTRING (40.684724 -14.5605991, 40.6845356 -14.5597238)",,,,,,
218649679,residential,False,True,205.299,"LINESTRING (40.684724 -14.5605991, 40.6851223 -14.5624047)",,,,,,
326530656,primary,False,False,82.945,"LINESTRING (40.6871983 -14.5619958, 40.6870374 -14.5612663)",,,,,,N8
326530656,primary,False,True,14.666,"LINESTRING (40.6871983 -14.5619958, 40.6872225 -14.5621256)",,,,,,N8
218649647,residential,False,True,90.689,"LINESTRING (40.6871983 -14.5619958, 40.6870672 -14.5620195, 40.6863709 -14.5621503)",,,,,,
218649647,residential,False,True,70.935,"LINESTRING (40.6863709 -14.5621503, 40.6857258 -14.5622811)",,,,,,
218649654,residential,False,True,209.905,"LINESTRING (40.6863709 -14.5621503, 40.6859685 -14.5603032)",,,,,,
218649647,residential,False,False,90.689,"LINESTRING (40.6863709 -14.5621503, 40.6870672 -14.5620195, 40.6871983 -14.5619958)",,,,,,
218649647,residential,False,False,70.935,"LINESTRING (40.6857258 -14.5622811, 40.6863709 -14.5621503)",,,,,,
218649647,residential,False,True,66.389,"LINESTRING (40.6857258 -14.5622811, 40.6851223 -14.5624047)",,,,,,
218649661,residential,False,True,207.985,"LINESTRING (40.6857258 -14.5622811, 40.685339 -14.5604485)",,,,,,
218649647,residential,False,False,66.389,"LINESTRING (40.6851223 -14.5624047, 40.6857258 -14.5622811)",,,,,,
218649679,residential,False,False,205.299,"LINESTRING (40.6851223 -14.5624047, 40.684724 -14.5605991)",,,,,,
246370614,residential,False,True,114.289,"LINESTRING (40.6903005 -14.5557358, 40.690969 -14.5565344)",,,,,,
327413945,residential,False,False,97.099,"LINESTRING (40.6903005 -14.5557358, 40.6897372 -14.5550537)",,,,,,
531336185,residential,False,True,82.148,"LINESTRING (40.6903005 -14.5557358, 40.6896958 -14.5561866)",,,,,,
246370614,residential,False,False,114.289,"LINESTRING (40.690969 -14.5565344, 40.6903005 -14.5557358)",,,,,,
246370687,unclassified,False,True,82.019,"LINESTRING (40.690969 -14.5565344, 40.6903991 -14.5570241)",,,,,,
246370618,residential,False,True,77.45,"LINESTRING (40.6895045 -14.5568243, 40.6889859 -14.5573072)",,,,,,
246370664,unclassified,False,True,28.21,"LINESTRING (40.6903991 -14.5570241, 40.6901992 -14.5571882)",,,,,,
246370687,unclassified,False,False,82.019,"LINESTRING (40.6903991 -14.5570241, 40.690969 -14.5565344)",,,,,,
531336187,residential,False,True,120.15700000000001,"LINESTRING (40.6903991 -14.5570241, 40.6899678 -14.5565527, 40.6896958 -14.5561866)",,,,Rua Rolihlahla Mandela,,
246370652,residential,False,True,66.196,"LINESTRING (40.6895831 -14.5571648, 40.6889859 -14.5573072)",,,,,,
246370618,residential,False,False,77.45,"LINESTRING (40.6889859 -14.5573072, 40.6895045 -14.5568243)",,,,,,
246370652,residential,False,False,66.196,"LINESTRING (40.6889859 -14.5573072, 40.6895831 -14.5571648)",,,,,,
246370652,residential,False,True,79.999,"LINESTRING (40.6889859 -14.5573072, 40.6887038 -14.5574268, 40.6886678 -14.557462, 40.6886398 -14.5575189, 40.6885059 -14.5577992)",,,,,,
246370664,unclassified,False,False,34.85,"LINESTRING (40.6885059 -14.5577992, 40.6888224 -14.557733)",,,,,,
246370664,unclassified,False,True,50.353,"LINESTRING (40.6885059 -14.5577992, 40.6880499 -14.5579005)",,,,,,
246370652,residential,False,False,79.999,"LINESTRING (40.6885059 -14.5577992, 40.6886398 -14.5575189, 40.6886678 -14.557462, 40.6887038 -14.5574268, 40.6889859 -14.5573072)",,,,,,
246370664,unclassified,False,False,50.353,"LINESTRING (40.6880499 -14.5579005, 40.6885059 -14.5577992)",,,,,,
246370664,unclassified,False,True,74.699,"LINESTRING (40.6880499 -14.5579005, 40.6873754 -14.5580589)",,,,,,
531336185,residential,False,False,267.401,"LINESTRING (40.6880499 -14.5579005, 40.6881263 -14.5575425, 40.6881403 -14.5575139, 40.6881699 -14.5574817, 40.6887047 -14.5570119, 40.6896958 -14.5561866)",,,,,,
246370629,residential,False,False,15.662,"LINESTRING (40.6890707 -14.5586742, 40.6890336 -14.558538)",,,,,,
246370629,residential,False,True,90.757,"LINESTRING (40.6890707 -14.5586742, 40.6892703 -14.5594672)",,,,,,
246370609,residential,False,True,118.74,"LINESTRING (40.6892703 -14.5594672, 40.6881975 -14.5597165)",,,,,,
246370629,residential,False,False,90.757,"LINESTRING (40.6892703 -14.5594672, 40.6890707 -14.5586742)",,,,,,
246370609,residential,False,False,118.74,"LINESTRING (40.6881975 -14.5597165, 40.6892703 -14.5594672)",,,,,,
246370609,residential,False,True,160.40300000000002,"LINESTRING (40.6881975 -14.5597165, 40.6876007 -14.5598592, 40.6867491 -14.5600565)",,,,,,
246370656,residential,False,True,150.623,"LINESTRING (40.6881975 -14.5597165, 40.6883376 -14.5602502, 40.6883644 -14.5603682, 40.6885016 -14.5609725, 40.6885159 -14.5610354)",,,,,,
326530656,primary,False,True,6.684,"LINESTRING (40.6867491 -14.5600565, 40.6867638 -14.5601149)",,,,,,N8
246370609,residential,False,False,160.40300000000002,"LINESTRING (40.6867491 -14.5600565, 40.6876007 -14.5598592, 40.6881975 -14.5597165)",,,,,,
326530656,primary,False,False,89.287,"LINESTRING (40.6867491 -14.5600565, 40.6866646 -14.559671, 40.686576 -14.5592712)",,,,,,N8
246370606,residential,False,True,67.412,"LINESTRING (40.6891336 -14.5609349, 40.6885159 -14.5610354)",,,,,,
246370622,residential,False,False,227.515,"LINESTRING (40.6891336 -14.5609349, 40.6891993 -14.5612585, 40.6892677 -14.5615012, 40.6892913 -14.5615206, 40.6893226 -14.561522, 40.6900093 -14.5613805, 40.6907453 -14.5612462)",,,,,,
246370606,residential,False,False,67.412,"LINESTRING (40.6885159 -14.5610354, 40.6891336 -14.5609349)",,,,,,
246370606,residential,False,True,65.055,"LINESTRING (40.6885159 -14.5610354, 40.6880427 -14.5610919, 40.6879171 -14.5611141)",,,,,,
246370656,residential,False,False,150.623,"LINESTRING (40.6885159 -14.5610354, 40.6885016 -14.5609725, 40.6883644 -14.5603682, 40.6883376 -14.5602502, 40.6881975 -14.5597165)",,,,,,
246370606,residential,False,True,5.827,"LINESTRING (40.6879171 -14.5611141, 40.6878638 -14.5611233)",,,,,,
246370651,residential,False,False,98.357,"LINESTRING (40.6879171 -14.5611141, 40.6880578 -14.5619881)",,,,,,
246370606,residential,False,False,65.055,"LINESTRING (40.6879171 -14.5611141, 40.6880427 -14.5610919, 40.6885159 -14.5610354)",,,,,,
246370606,residential,False,False,90.35,"LINESTRING (40.6870374 -14.5612663, 40.6878638 -14.5611233)",,,,,,
326530656,primary,False,False,131.373,"LINESTRING (40.6870374 -14.5612663, 40.6867638 -14.5601149)",,,,,,N8
326530656,primary,False,True,82.945,"LINESTRING (40.6870374 -14.5612663, 40.6871983 -14.5619958)",,,,,,N8
246370615,residential,False,True,91.188,"LINESTRING (40.6880578 -14.5619881, 40.6872225 -14.5621256)",,,,,,
246370651,residential,False,True,98.357,"LINESTRING (40.6880578 -14.5619881, 40.6879171 -14.5611141)",,,,,,
246370615,residential,False,False,91.188,"LINESTRING (40.6872225 -14.5621256, 40.6880578 -14.5619881)",,,,,,
326530656,primary,False,False,14.666,"LINESTRING (40.6872225 -14.5621256, 40.6871983 -14.5619958)",,,,,,N8
218649583,residential,False,True,71.278,"LINESTRING (40.6830342 -14.5589402, 40.6836873 -14.5588338)",,,,,,
78194828,tertiary,False,False,58.418,"LINESTRING (40.6872338 -14.5550995, 40.6866977 -14.5550173)",,,,,,
78194828,tertiary,False,True,136.463,"LINESTRING (40.6872338 -14.5550995, 40.6872976 -14.5550902, 40.6873415 -14.5550727, 40.6873812 -14.555051, 40.6875348 -14.5549388, 40.6882004 -14.554327)",,,,,,
78194828,tertiary,False,True,58.418,"LINESTRING (40.6866977 -14.5550173, 40.6872338 -14.5550995)",,,,,,
327413940,tertiary,False,False,61.28,"LINESTRING (40.6866977 -14.5550173, 40.6866292 -14.5555644)",,,,,,
597403326,residential,False,True,22.611,"LINESTRING (40.6866977 -14.5550173, 40.6867263 -14.5549279, 40.6867571 -14.5548747, 40.6867903 -14.554838)",,,,,,
327413941,residential,False,False,158.185,"LINESTRING (40.6875336 -14.555747, 40.6886521 -14.5548241)",,,,,,
327413942,residential,False,False,95.148,"LINESTRING (40.6875336 -14.555747, 40.6880888 -14.5564129)",,,,,,
327413941,residential,False,True,99.859,"LINESTRING (40.6875336 -14.555747, 40.6874967 -14.5557257, 40.6874469 -14.5557045, 40.687389 -14.5556922, 40.6866292 -14.5555644)",,,,,,
327413941,residential,False,True,158.185,"LINESTRING (40.6886521 -14.5548241, 40.6875336 -14.555747)",,,,,,
327413950,residential,False,False,94.034,"LINESTRING (40.6886521 -14.5548241, 40.6892163 -14.5554698)",no,no,2,Rua Massacre de Moeda,30,
327413950,residential,False,True,73.612,"LINESTRING (40.6886521 -14.5548241, 40.6882004 -14.554327)",no,no,2,Rua Massacre de Moeda,30,
246370638,residential,False,False,160.383,"LINESTRING (40.6880888 -14.5564129, 40.6892163 -14.5554698)",,,,,,
327413942,residential,False,True,95.148,"LINESTRING (40.6880888 -14.5564129, 40.6875336 -14.555747)",,,,,,
246370638,residential,False,True,219.288,"LINESTRING (40.6880888 -14.5564129, 40.6874438 -14.5569179, 40.6873888 -14.5569815, 40.6873566 -14.5570581, 40.6873378 -14.5571541, 40.6873392 -14.5574293, 40.6873754 -14.5580589)",,,,,,
246370638,residential,False,True,125.34,"LINESTRING (40.6906128 -14.5543105, 40.6897372 -14.5550537)",,,,,,
246370638,residential,False,False,125.34,"LINESTRING (40.6897372 -14.5550537, 40.6906128 -14.5543105)",,,,,,
246370638,residential,False,True,72.69,"LINESTRING (40.6897372 -14.5550537, 40.6892163 -14.5554698)",,,,,,
327413945,residential,False,True,97.099,"LINESTRING (40.6897372 -14.5550537, 40.6903005 -14.5557358)",,,,,,
218649583,residential,False,False,72.54,"LINESTRING (40.6855904 -14.5584327, 40.6849359 -14.5585885)",,,,,,
443989489,residential,False,False,112.489,"LINESTRING (40.6855904 -14.5584327, 40.6858054 -14.5594227)",,,,,,
218649583,residential,False,True,84.58699999999999,"LINESTRING (40.6855904 -14.5584327, 40.6861 -14.5583237, 40.6863588 -14.558273)",,,,,,
443989490,residential,False,False,225.97899999999998,"LINESTRING (40.6855904 -14.5584327, 40.6855287 -14.5581666, 40.6853758 -14.5574947, 40.6852671 -14.5570035, 40.6852189 -14.556651, 40.6851885 -14.5564394)",,,,,,
218649623,residential,False,True,70.297,"LINESTRING (40.6858054 -14.5594227, 40.6851585 -14.5595101)",,,,,,
218649654,residential,False,False,99.468,"LINESTRING (40.6858054 -14.5594227, 40.6859685 -14.5603032)",,,,,,
443989489,residential,False,True,112.489,"LINESTRING (40.6858054 -14.5594227, 40.6855904 -14.5584327)",,,,,,
218649623,residential,False,False,84.63,"LINESTRING (40.6858054 -14.5594227, 40.6863285 -14.5593211, 40.686576 -14.5592712)",,,,,,
443989491,residential,False,True,219.024,"LINESTRING (40.6845846 -14.5566484, 40.6847348 -14.557435, 40.6849359 -14.5585885)",,,,,,
218649583,residential,False,False,30.284,"LINESTRING (40.6840534 -14.5587676, 40.6837768 -14.5588176)",,,,,,
218649583,residential,False,True,29.271,"LINESTRING (40.6840534 -14.5587676, 40.6843203 -14.558717)",,,,,,
601761961,residential,False,False,30.865000000000002,"LINESTRING (40.6840534 -14.5587676, 40.6839006 -14.5586248, 40.6838536 -14.558569)",,,,,,
246370622,residential,False,True,227.515,"LINESTRING (40.6907453 -14.5612462, 40.6900093 -14.5613805, 40.6893226 -14.561522, 40.6892913 -14.5615206, 40.6892677 -14.5615012, 40.6891993 -14.5612585, 40.6891336 -14.5609349)",,,,,,
443989490,residential,False,True,225.97899999999998,"LINESTRING (40.6851885 -14.5564394, 40.6852189 -14.556651, 40.6852671 -14.5570035, 40.6853758 -14.5574947, 40.6855287 -14.5581666, 40.6855904 -14.5584327)",,,,,,
531336186,residential,False,False,31.926,"LINESTRING (40.6889012 -14.5580098, 40.6888224 -14.557733)",,,,,,
531336186,residential,False,True,60.437,"LINESTRING (40.6889012 -14.5580098, 40.6890336 -14.558538)",,,,,,
246370636,residential,False,False,178.565,"LINESTRING (40.6889012 -14.5580098, 40.689583 -14.5578093, 40.6898162 -14.557733, 40.6898779 -14.5577032, 40.6899184 -14.5576731, 40.6900066 -14.5574747, 40.6900442 -14.5574137, 40.6901179 -14.5573436, 40.6901407 -14.5573125, 40.6901992 -14.5571882)",,,,,,
246370664,unclassified,False,True,34.85,"LINESTRING (40.6888224 -14.557733, 40.6885059 -14.5577992)",,,,,,
