osmid,highway,oneway,reversed,length,ref,geometry,junction,name,maxspeed,access
931016120,residential,False,False,89.602,,"LINESTRING (72.870951 22.6913931, 72.8718222 22.6913358)",,,,
222694897,primary,False,False,105.4,SH12,"LINESTRING (72.870951 22.6913931, 72.8709438 22.6915964, 72.8710274 22.6918853, 72.8712953 22.6922559)",,,,
222694897,primary,False,True,115.024,SH12,"LINESTRING (72.870951 22.6913931, 72.8710958 22.6909513, 72.8711795 22.6906186, 72.8712536 22.6903976)",,,,
120383222,secondary,False,True,5.167,,"LINESTRING (72.8727779 22.6939359, 72.8727438 22.6939701)",,,,
931302949,primary,True,False,15.123,SH12,"LINESTRING (72.8727779 22.6939359, 72.8726325 22.6939135)",,,,
444095013,tertiary,False,False,249.81700000000004,,"LINESTRING (72.8727779 22.6939359, 72.8729232 22.6937549, 72.8729834 22.6937174, 72.8732135 22.6934317, 72.8734435 22.6931966, 72.8738859 22.6927803, 72.8742911 22.6924162, 72.8744657 22.692343)",,,,
933708394,primary,True,False,2.169,,"LINESTRING (72.8676561 22.6898762, 72.8676434 22.6898606)",roundabout,,,
22867478,primary,False,True,84.678,,"LINESTRING (72.8681607 22.6902448, 72.8689344 22.6905101)",,,,
931378454,primary,True,False,66.028,,"LINESTRING (72.8681607 22.6902448, 72.8676561 22.6898762)",,,,
222694897,primary,False,False,93.53500000000001,SH12,"LINESTRING (72.8717538 22.6936929, 72.8719968 22.6937733, 72.8726325 22.6939135)",,,,
222694897,primary,False,True,167.67999999999998,SH12,"LINESTRING (72.8717538 22.6936929, 72.8717963 22.6935753, 72.8718246 22.6933424, 72.8718317 22.693103, 72.8717964 22.692943, 72.8714279 22.6924393, 72.8713442 22.6923235)",,,,
470843404,unclassified,False,True,212.791,,"LINESTRING (72.8717538 22.6936929, 72.8712912 22.6935852, 72.8702129 22.6931398, 72.8698292 22.6929922)",,,,
22867478,primary,False,False,59.073,,"LINESTRING (72.8695048 22.6905573, 72.8693119 22.6905671, 72.869142 22.6905458, 72.8689344 22.6905101)",,,,
22867478,primary,False,True,43.733999999999995,,"LINESTRING (72.8695048 22.6905573, 72.8696357 22.6904985, 72.8698444 22.6903253)",,,,
933708403,unclassified,False,False,81.26899999999999,,"LINESTRING (72.8695048 22.6905573, 72.8695383 22.690763, 72.8694686 22.6911293, 72.8694523 22.6912795)",,,,
164617502,secondary,False,False,21.824,,"LINESTRING (72.8690756 22.6875467, 72.8692018 22.6873887)",,Nana Kumbhnath Road,30,yes
164617292,tertiary,False,True,231.143,,"LINESTRING (72.8690756 22.6875467, 72.8689227 22.6874917, 72.867937 22.6872116, 72.8674113 22.6870829, 72.8669017 22.6870235)",,New Rahul Hospital Road,10,yes
164617502,secondary,False,True,124.91399999999999,,"LINESTRING (72.8690756 22.6875467, 72.8688489 22.6879144, 72.8687417 22.6881816, 72.8686236 22.6885825)",,Nana Kumbhnath Road,30,yes
164617594,tertiary,False,True,159.785,,"LINESTRING (72.8690756 22.6875467, 72.8696375 22.6877906, 72.869895 22.6879045, 72.870351 22.6880925, 72.8704905 22.688147)",,Alkapuri Road,20,yes
471984085,residential,False,True,67.743,,"LINESTRING (72.8669017 22.6870235, 72.8671479 22.6864582)",,,,
