osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,tunnel
970968708,True,2,NH52;752C,trunk,60,False,105.829,"LINESTRING (76.7280192 23.7136597, 76.7289167 23.7141399)",
677933533,False,,NH752C,trunk,,False,95.69999999999999,"LINESTRING (76.7325145 23.7148364, 76.7320278 23.7151834, 76.7318343 23.7153263, 76.7317792 23.7153723)",
906414337,True,,NH52,trunk,,False,688.579,"LINESTRING (76.734591 23.7173681, 76.7342046 23.7169574, 76.7335984 23.7164932, 76.7329332 23.7161101, 76.7317209 23.7154913, 76.7310584 23.7151475, 76.7298943 23.714509, 76.7289421 23.7140252)",
970968713,True,,,trunk_link,,False,370.48300000000006,"LINESTRING (76.734591 23.7173681, 76.7345372 23.7171735, 76.7344514 23.7170335, 76.7343172 23.7168935, 76.7340276 23.7166504, 76.733577 23.7163533, 76.73318 23.7161421, 76.7325845 23.715813, 76.7317792 23.7153723)",
217572486,True,2,NH52,trunk,60,False,659.228,"LINESTRING (76.7289167 23.7141399, 76.7300794 23.714762, 76.7309162 23.7152556, 76.7314553 23.7155355, 76.7320159 23.7158351, 76.7331773 23.7163975, 76.7336869 23.7167413, 76.7340571 23.7170335, 76.7343529 23.7173177)",
970968710,True,,NH752C,trunk,,False,316.56100000000004,"LINESTRING (76.7289167 23.7141399, 76.7294168 23.7145287, 76.7298326 23.7147792, 76.7307848 23.7153071, 76.7312984 23.7155662, 76.7315277 23.7156706)",
"[970968704, 677933533, 970968703]",False,,NH752C,trunk,,False,42.015,"LINESTRING (76.7317792 23.7153723, 76.7317331 23.7154109, 76.7315434 23.7156497, 76.7315277 23.7156706)",yes
677933533,False,,NH752C,trunk,,True,95.69999999999999,"LINESTRING (76.7317792 23.7153723, 76.7318343 23.7153263, 76.7320278 23.7151834, 76.7325145 23.7148364)",
970968711,True,,NH752C,trunk,,False,329.34499999999997,"LINESTRING (76.7317792 23.7153723, 76.7314178 23.7151991, 76.7309538 23.7149486, 76.7302859 23.7145827, 76.7298594 23.714315, 76.7295483 23.7141922, 76.7291701 23.714013, 76.7289421 23.7140252)",
"[970968704, 677933533, 970968703]",False,,NH752C,trunk,,True,42.015,"LINESTRING (76.7315277 23.7156706, 76.7315434 23.7156497, 76.7317331 23.7154109, 76.7317792 23.7153723)",yes
970968712,True,,,trunk_link,,False,342.099,"LINESTRING (76.7315277 23.7156706, 76.7323109 23.716093, 76.73296 23.7164466, 76.7334294 23.7167265, 76.7337808 23.7169451, 76.7341188 23.7172078, 76.7342019 23.7172717, 76.7343529 23.7173177)",
1031779492,False,,,unclassified,,True,187.935,"LINESTRING (76.7315277 23.7156706, 76.7314902 23.7158155, 76.7311764 23.7162956, 76.7309497 23.7167265, 76.7308277 23.7169893, 76.7307642 23.7171993)",
1031779492,False,,,unclassified,,False,187.93499999999997,"LINESTRING (76.7307642 23.7171993, 76.7308277 23.7169893, 76.7309497 23.7167265, 76.7311764 23.7162956, 76.7314902 23.7158155, 76.7315277 23.7156706)",
1031779492,False,,,unclassified,,True,29.942999999999998,"LINESTRING (76.7307642 23.7171993, 76.7307231 23.7173355, 76.73066 23.7174497)",
1031779492,False,,,unclassified,,False,29.942999999999998,"LINESTRING (76.73066 23.7174497, 76.7307231 23.7173355, 76.7307642 23.7171993)",
