osmid,ref,highway,oneway,reversed,length,lanes,geometry,name,bridge
53774914,SH40,primary,False,False,24.987,,"LINESTRING (76.2079945 15.0490218, 76.2081981 15.0491306)",,
154652571,SH25,primary,False,True,109.412,2,"LINESTRING (76.2079945 15.0490218, 76.2079829 15.0500057)",,
154652571,SH25,primary,False,False,203.46699999999998,2,"LINESTRING (76.2079945 15.0490218, 76.2080806 15.0476328, 76.2080863 15.0471945)",,
53774914,SH40,primary,False,False,115.346,,"LINESTRING (76.2133063 15.0484555, 76.2132894 15.0494927)",,
53774914,SH40,primary,False,True,394.649,,"LINESTRING (76.2133063 15.0484555, 76.2132512 15.0484271, 76.2128952 15.0483563, 76.2096705 15.0479712)",,
106965191,SH131,primary,False,False,277.913,,"LINESTRING (76.2133063 15.0484555, 76.2133769 15.0475151, 76.2134637 15.0459609)",Kotturu Road,
485302086,,residential,False,False,38.492999999999995,,"LINESTRING (76.2133063 15.0484555, 76.2133759 15.0484761, 76.2134939 15.0484761, 76.2136602 15.0484968)",,
53774914,SH40,primary,False,False,394.649,,"LINESTRING (76.2096705 15.0479712, 76.2128952 15.0483563, 76.2132512 15.0484271, 76.2133063 15.0484555)",,
53774914,SH40,primary,False,True,41.375,,"LINESTRING (76.2096705 15.0479712, 76.2094908 15.0479645, 76.2093632 15.0479512, 76.2092863 15.0479569)",,
608249028,,unclassified,False,False,644.6669999999999,,"LINESTRING (76.2096705 15.0479712, 76.2096691 15.0478078, 76.2096906 15.0476213, 76.2097227 15.0474555, 76.209873 15.0474555, 76.2102806 15.0474866, 76.2105811 15.047611, 76.2109244 15.0476731, 76.2111819 15.0477042, 76.2112248 15.0474245, 76.2112248 15.0470411, 76.2112462 15.0467096, 76.2112677 15.0463884, 76.21135 15.04626, 76.2119758 15.046264, 76.2123084 15.0463573, 76.2125444 15.046264, 76.2126088 15.0459532, 76.2128127 15.0459946, 76.2131131 15.0460775, 76.2134637 15.0459609)",,
53774914,SH40,primary,False,False,41.375,,"LINESTRING (76.2092863 15.0479569, 76.2093632 15.0479512, 76.2094908 15.0479645, 76.2096705 15.0479712)",,
