osmid,ref,highway,oneway,reversed,length,geometry,name,lanes
217965508,NH63,trunk,False,False,197.492,"LINESTRING (78.7121994 18.8262357, 78.7139601 18.8256215)",,
217965508,NH63,trunk,False,True,63.685,"LINESTRING (78.7121994 18.8262357, 78.7118761 18.8263433, 78.7116174 18.8263849)",,
1046782600,,residential,False,False,363.08299999999997,"LINESTRING (78.7121994 18.8262357, 78.7122672 18.8263797, 78.7128172 18.8265997, 78.7133555 18.82686, 78.7141695 18.8273528, 78.7145216 18.8275549, 78.7148565 18.8278227, 78.7150494 18.827995)",jhansi road,
217965508,NH63,trunk,False,False,369.599,"LINESTRING (78.7079367 18.8249215, 78.7082431 18.8249658, 78.7084852 18.8250393, 78.7108321 18.8262562, 78.7110905 18.8263352)",,
300085203,,secondary,False,True,337.071,"LINESTRING (78.7079367 18.8249215, 78.7076363 18.8234795, 78.7072497 18.8219614)",,
217965508,NH63,trunk,False,False,63.685,"LINESTRING (78.7116174 18.8263849, 78.7118761 18.8263433, 78.7121994 18.8262357)",,
217965508,NH63,trunk,False,True,56.235,"LINESTRING (78.7116174 18.8263849, 78.7113133 18.8263899, 78.7110905 18.8263352)",,
301000905,,tertiary,False,False,396.90900000000005,"LINESTRING (78.7116174 18.8263849, 78.711476 18.8259939, 78.7113203 18.8256107, 78.7112191 18.8252349, 78.7111023 18.8247854, 78.7110478 18.8244759, 78.7110478 18.8242843, 78.7109466 18.8239601, 78.7108454 18.8235917, 78.7107598 18.823179, 78.7107375 18.8229296)",,
301000905,,tertiary,False,True,396.909,"LINESTRING (78.7107375 18.8229296, 78.7107598 18.823179, 78.7108454 18.8235917, 78.7109466 18.8239601, 78.7110478 18.8242843, 78.7110478 18.8244759, 78.7111023 18.8247854, 78.7112191 18.8252349, 78.7113203 18.8256107, 78.711476 18.8259939, 78.7116174 18.8263849)",,
301000972,,tertiary,False,True,281.71,"LINESTRING (78.7107375 18.8229296, 78.7115944 18.8228608, 78.7118825 18.8227871, 78.7120693 18.8226986, 78.7122873 18.8225955, 78.7131984 18.8220724)",,
300085203,,secondary,False,False,337.071,"LINESTRING (78.7072497 18.8219614, 78.7076363 18.8234795, 78.7079367 18.8249215)",,
217965508,NH63,trunk,False,True,7.627,"LINESTRING (78.7147615 18.825342, 78.7146935 18.8253657)",,
301000996,,tertiary,False,False,122.995,"LINESTRING (78.7147615 18.825342, 78.7149253 18.8257114, 78.7151722 18.8261321, 78.7153033 18.8263189)",kallur road,2
217965508,NH63,trunk,False,False,56.235,"LINESTRING (78.7110905 18.8263352, 78.7113133 18.8263899, 78.7116174 18.8263849)",,
217965508,NH63,trunk,False,True,369.59900000000005,"LINESTRING (78.7110905 18.8263352, 78.7108321 18.8262562, 78.7084852 18.8250393, 78.7082431 18.8249658, 78.7079367 18.8249215)",,
301000972,,tertiary,False,False,281.71,"LINESTRING (78.7131984 18.8220724, 78.7122873 18.8225955, 78.7120693 18.8226986, 78.7118825 18.8227871, 78.7115944 18.8228608, 78.7107375 18.8229296)",,
748792620,,residential,False,False,16.78,"LINESTRING (78.7131984 18.8220724, 78.7132212 18.8221553, 78.7132335 18.8222195)",,
748792620,,residential,False,False,106.699,"LINESTRING (78.7132335 18.8222195, 78.7132538 18.8223982, 78.7133071 18.8231764)",,
748792620,,residential,False,True,16.78,"LINESTRING (78.7132335 18.8222195, 78.7132212 18.8221553, 78.7131984 18.8220724)",,
