osmid,ref,highway,oneway,reversed,length,geometry,junction,name,bridge
936868499,NH51,trunk,False,True,11.509,"LINESTRING (71.6666827 22.1644422, 71.6665771 22.1644083)",,,
935917241,NH51,trunk,False,False,2.895,"LINESTRING (71.6697249 22.1666938, 71.669746 22.166711)",,,
935917242,NH51,trunk,True,False,95.066,"LINESTRING (71.6697249 22.1666938, 71.6697189 22.1666475, 71.6696926 22.1666101, 71.669079 22.1660999)",,,
935917246,NH51,trunk,False,False,23.409999999999997,"LINESTRING (71.6702351 22.167433, 71.6701948 22.1675393, 71.6701513 22.1676285)",,,
937038667,NH51,trunk,True,False,29.958,"LINESTRING (71.6702351 22.167433, 71.6703737 22.1672355, 71.6703894 22.1672049)",roundabout,,
935917246,NH51,trunk,False,False,10.729,"LINESTRING (71.6666605 22.1693026, 71.6665675 22.1693461)",,,
935423003,,residential,False,False,35.516,"LINESTRING (71.6666605 22.1693026, 71.6666132 22.1691121, 71.6666132 22.1690549, 71.6666286 22.1689897)",,,
935917246,NH51,trunk,False,True,67.621,"LINESTRING (71.6666605 22.1693026, 71.6671926 22.1690587, 71.6672488 22.1690324)",,,
932953744,SH21,primary,False,False,39.396,"LINESTRING (71.6665277 22.1693758, 71.6664893 22.1693772, 71.6664538 22.169385, 71.6664144 22.1693996, 71.6663828 22.1694178, 71.6663557 22.1694397, 71.6662293 22.1695736)",,Pilyad -Botad Babarkot road SH -21,
935434718,NH51,trunk,True,False,29.924,"LINESTRING (71.6665277 22.1693758, 71.6665194 22.1693977, 71.6665144 22.169433, 71.6665149 22.1696433)",,,
935917245,SH38,primary,True,False,30.635,"LINESTRING (71.6728679 22.1641417, 71.6725891 22.1642378)",,Botad Road,
681186893,,tertiary,False,False,9.485,"LINESTRING (71.6721201 22.1645751, 71.6720363 22.1645397)",,,
653447321,SH38,primary,True,False,90.96199999999999,"LINESTRING (71.6721201 22.1645751, 71.6721329 22.1645671, 71.6723676 22.1644201, 71.6726369 22.1642875, 71.6728679 22.1641417)",,Botad Road,
932953744,SH21,primary,False,True,1.818,"LINESTRING (71.6648977 22.1709784, 71.6649098 22.1709665)",,Pilyad -Botad Babarkot road SH -21,
940257194,,tertiary,False,True,103.969,"LINESTRING (71.6648977 22.1709784, 71.6641277 22.1703736)",,,
932953744,SH21,primary,False,False,66.252,"LINESTRING (71.6648977 22.1709784, 71.6645253 22.171344, 71.664457 22.1714125)",,Pilyad -Botad Babarkot road SH -21,
936868499,NH51,trunk,False,False,5.572,"LINESTRING (71.6665299 22.1643838, 71.6665771 22.1644083)",,,
"[681186882, 730230228, 681186895]",,tertiary,False,"[False, True]",104.546,"LINESTRING (71.6701513 22.1676285, 71.6703228 22.1676722, 71.6705268 22.167676, 71.6706929 22.1676791, 71.6711523 22.1676004)",,,yes
935917246,NH51,trunk,False,False,19.792,"LINESTRING (71.6701513 22.1676285, 71.6701119 22.1677009, 71.6700595 22.1677521, 71.6700379 22.1677693)",,,
935917246,NH51,trunk,False,True,23.409999999999997,"LINESTRING (71.6701513 22.1676285, 71.6701948 22.1675393, 71.6702351 22.167433)",,,
681186895,,tertiary,False,False,63.769,"LINESTRING (71.6717574 22.1674794, 71.6716874 22.1674884, 71.6711523 22.1676004)",,,
