osmid,oneway,highway,reversed,length,geometry,ref,lanes,name
1055653218,True,primary,False,45.032,"LINESTRING (89.5264508 26.4865682, 89.5265083 26.4861665)",,,
845419480,False,unclassified,False,171.35299999999998,"LINESTRING (89.5264508 26.4865682, 89.5268135 26.486548, 89.5277995 26.4863869, 89.5281477 26.4863204)",,,
44642832,False,trunk,False,189.909,"LINESTRING (89.5268577 26.4808225, 89.5273341 26.4808221, 89.528398 26.480774, 89.5287643 26.4807659)",NH27,,
134410487,False,trunk,False,109.042,"LINESTRING (89.5268577 26.4808225, 89.5266278 26.4808144, 89.5257623 26.4808114)",NH27,,
1055653226,True,primary,False,311.639,"LINESTRING (89.5268577 26.4808225, 89.5268584 26.4809826, 89.5270603 26.481842, 89.5270711 26.4820795, 89.5270392 26.4823166, 89.526943 26.4829536, 89.5268438 26.4835925)",SH12A,,
177618219,False,tertiary,False,132.195,"LINESTRING (89.5235726 26.4838861, 89.5236579 26.4850725)",,,
177618219,False,tertiary,True,160.84199999999998,"LINESTRING (89.5235726 26.4838861, 89.5230848 26.4839191, 89.5230123 26.4833111, 89.523268 26.4829865)",,,
845419483,False,unclassified,True,13.174,"LINESTRING (89.5235726 26.4838861, 89.5235711 26.4838397, 89.5236489 26.4838212)",,,
177618219,False,tertiary,True,138.95,"LINESTRING (89.5266238 26.4850773, 89.5260851 26.4853827, 89.5253366 26.4854924)",,,
1055653226,True,primary,False,241.203,"LINESTRING (89.5266238 26.4850773, 89.5265777 26.4853298, 89.5263802 26.486573, 89.5263284 26.487229)",SH12A,,
177618219,False,tertiary,False,108.231,"LINESTRING (89.5237053 26.4857314, 89.5247785 26.4855742)",,,
177618219,False,tertiary,True,73.418,"LINESTRING (89.5237053 26.4857314, 89.5236579 26.4850725)",,,
844635150,False,unclassified,True,99.882,"LINESTRING (89.5237053 26.4857314, 89.5237535 26.4860805, 89.5240474 26.4860524, 89.5240759 26.4863332)",,1,Hospital Road
845287598,False,unclassified,False,109.238,"LINESTRING (89.5237053 26.4857314, 89.52349 26.4857286, 89.523082 26.4857762, 89.5226182 26.4858487)",,,
1055653218,True,primary,False,116.022,"LINESTRING (89.526471 26.4886655, 89.5263918 26.4876245)",,,
1055653218,True,primary,False,38.452,"LINESTRING (89.5263918 26.4876245, 89.5263942 26.4872787)",,,
1055653218,True,primary,False,67.283,"LINESTRING (89.52652 26.489269, 89.526471 26.4886655)",,,
1055653235,False,unclassified,False,6.927,"LINESTRING (89.5263284 26.487229, 89.5263979 26.4872323)",,,
844635150,False,unclassified,False,71.308,"LINESTRING (89.5263284 26.487229, 89.5259884 26.4872237, 89.5256146 26.4872636)",,1,Hospital Road
1055653226,True,primary,False,184.21599999999998,"LINESTRING (89.5263284 26.487229, 89.5263207 26.4873689, 89.5263278 26.4876255, 89.5263611 26.4881565, 89.5264077 26.4886927, 89.5264257 26.4888823)",SH12A,,
844635150,False,unclassified,False,21.786,"LINESTRING (89.5250462 26.4873526, 89.5248307 26.487387)",,1,Hospital Road
845285348,False,unclassified,True,91.642,"LINESTRING (89.5250462 26.4873526, 89.5249414 26.4865338)",,,
844635150,False,unclassified,True,49.887,"LINESTRING (89.5250462 26.4873526, 89.5254833 26.4872776, 89.5255391 26.4872716)",,1,Hospital Road
844635150,False,unclassified,False,99.882,"LINESTRING (89.5240759 26.4863332, 89.5240474 26.4860524, 89.5237535 26.4860805, 89.5237053 26.4857314)",,1,Hospital Road
844635150,False,unclassified,True,63.961999999999996,"LINESTRING (89.5240759 26.4863332, 89.5243604 26.4862937, 89.5243996 26.4866093)",,1,Hospital Road
845283553,False,unclassified,False,91.78200000000001,"LINESTRING (89.5240759 26.4863332, 89.5240063 26.4863459, 89.5236587 26.4863938, 89.5233355 26.4864197, 89.5231624 26.4864427)",,1,
845283553,False,unclassified,True,30.79,"LINESTRING (89.5228564 26.4864835, 89.5231624 26.4864427)",,1,
177618219,False,tertiary,False,56.285,"LINESTRING (89.5247785 26.4855742, 89.5253366 26.4854924)",,,
