osmid,oneway,highway,reversed,length,name,ref,geometry,lanes,access
133067443,True,residential,False,37.644,,,"LINESTRING (74.747068 13.3420232, 74.7474026 13.342116)",,
186091635,True,primary,False,131.003,Kavi Muddana Marga,,"LINESTRING (74.747068 13.3420232, 74.7467778 13.343167)",,
186091635,True,primary,False,72.823,Kavi Muddana Marga,,"LINESTRING (74.7474864 13.3415102, 74.747068 13.3420232)",,
236724276,False,primary,False,19.459,Kavi Muddana Marg,,"LINESTRING (74.7474864 13.3415102, 74.7475766 13.3413588)",,
236724276,False,primary,True,15.595,Kavi Muddana Marg,,"LINESTRING (74.7482564 13.3403171, 74.7481538 13.3404156)",,
1126881053,True,primary,False,14.383,Kavi Muddana Marg,,"LINESTRING (74.7482564 13.3403171, 74.7483852 13.3402851)",,
133067458,False,residential,False,91.533,,,"LINESTRING (74.7477964 13.3409897, 74.7486345 13.341102)",,
236724276,False,primary,False,74.635,Kavi Muddana Marg,,"LINESTRING (74.7477964 13.3409897, 74.7481538 13.3404156)",,
236724276,False,primary,True,47.434,Kavi Muddana Marg,,"LINESTRING (74.7477964 13.3409897, 74.7475766 13.3413588)",,
1208948785,False,residential,False,40.29,,,"LINESTRING (74.7477964 13.3409897, 74.7474273 13.3409417)",,
171867799,False,primary,False,18.443,,SH37,"LINESTRING (74.7500004 13.3391262, 74.7498601 13.3392204)",,
150301809,False,unclassified,False,113.34899999999999,,,"LINESTRING (74.7500004 13.3391262, 74.750048 13.3389626, 74.7501359 13.3385523, 74.7502188 13.3381297)",,
171867799,False,primary,True,108.741,,SH37,"LINESTRING (74.7500004 13.3391262, 74.7505232 13.3391558, 74.7510006 13.3392158)",,
171867799,False,primary,False,12.662,,SH37,"LINESTRING (74.7495064 13.3404527, 74.7494969 13.3405662)",,
133067552,False,unclassified,True,123.537,,,"LINESTRING (74.7495064 13.3404527, 74.7493497 13.3403837, 74.7483852 13.3402851)",,
171867799,False,primary,True,40.378,,SH37,"LINESTRING (74.7495064 13.3404527, 74.7495415 13.3401032, 74.7495427 13.3400913)",,
