osmid,lanes,ref,highway,oneway,reversed,length,bridge,geometry
"[319490307, 319490308, 319488324]",2,NH319D,trunk,False,True,718.349,yes,"LINESTRING (82.6197461 26.0223943, 82.6179398 26.0214064, 82.6177317 26.0212969, 82.6174879 26.0210699, 82.6173684 26.0209643, 82.6172115 26.0207787, 82.6167091 26.0203459, 82.6162424 26.0200521, 82.6157221 26.0197662, 82.6141615 26.0190262, 82.6137978 26.0188465)"
"[319490307, 319488324, 319490308]",2,NH319D,trunk,False,False,718.3489999999999,yes,"LINESTRING (82.6137978 26.0188465, 82.6141615 26.0190262, 82.6157221 26.0197662, 82.6162424 26.0200521, 82.6167091 26.0203459, 82.6172115 26.0207787, 82.6173684 26.0209643, 82.6174879 26.0210699, 82.6177317 26.0212969, 82.6179398 26.0214064, 82.6197461 26.0223943)"
