osmid,oneway,ref,highway,reversed,length,bridge,geometry
289052045,True,NH27,trunk,False,145.676,,"LINESTRING (92.7207451 26.302557, 92.7201346 26.3037473)"
1138670703,False,,trunk_link,False,11.17,,"LINESTRING (92.7156977 26.3083316, 92.7157809 26.3083989)"
1138670703,False,,trunk_link,True,11.17,,"LINESTRING (92.7157809 26.3083989, 92.7156977 26.3083316)"
"[289052020, 1138670701, 1138670702]",True,NH27,trunk,False,852.2440000000001,yes,"LINESTRING (92.7157809 26.3083989, 92.7163267 26.3079457, 92.7166647 26.307674, 92.7169409 26.3074564, 92.71724 26.3072184, 92.717645 26.3069274, 92.7180219 26.3066569, 92.7184081 26.3063864, 92.7186669 26.3061929, 92.7188493 26.3060438, 92.7190572 26.3058442, 92.719198 26.3056747, 92.7193348 26.3054944, 92.7194931 26.3052419, 92.7197345 26.3047947, 92.7198203 26.3046168, 92.7209052 26.3024678)"
"[1138670699, 1138670700, 289052045]",True,NH27,trunk,False,260.631,yes,"LINESTRING (92.7201346 26.3037473, 92.7197009 26.3045927, 92.7196191 26.3047514, 92.7194193 26.3051494, 92.7193254 26.3053165, 92.7192168 26.3054788, 92.7190961 26.3056399, 92.7189781 26.3057685, 92.7189282 26.3058159)"
1265703478,False,,residential,False,205.296,,"LINESTRING (92.7201346 26.3037473, 92.7200939 26.303343, 92.7200378 26.3027946, 92.7198884 26.3020996, 92.7199304 26.3019217)"
1265703478,False,,residential,False,146.19799999999998,,"LINESTRING (92.7199304 26.3019217, 92.7205796 26.3012058, 92.7208532 26.3008998)"
1265703478,False,,residential,True,205.296,,"LINESTRING (92.7199304 26.3019217, 92.7198884 26.3020996, 92.7200378 26.3027946, 92.7200939 26.303343, 92.7201346 26.3037473)"
1265703479,False,,residential,False,2342.511,,"LINESTRING (92.7199304 26.3019217, 92.7197214 26.3020591, 92.7188717 26.3021976, 92.7176927 26.3021502, 92.7166032 26.3021065, 92.7159649 26.3020482, 92.715229 26.3019352, 92.7145867 26.3017785, 92.7137817 26.301363, 92.7128548 26.3008637, 92.7123832 26.3002988, 92.7121312 26.3000254, 92.7119563 26.2999161, 92.711627 26.2999015, 92.7109562 26.3001785, 92.7104155 26.3005758, 92.7102854 26.3006377, 92.7100781 26.3009694, 92.7097366 26.3016473, 92.7095293 26.301968, 92.7097529 26.3020701, 92.7101065 26.3024309, 92.7105741 26.3029921, 92.7111676 26.3034696, 92.7116961 26.3038705, 92.7124645 26.3045083, 92.7128426 26.3048399, 92.7133223 26.305095, 92.7139687 26.3052444, 92.7148509 26.3052517, 92.7160747 26.3051424, 92.7168634 26.3050185, 92.7171154 26.3050331, 92.7175911 26.305106, 92.7183513 26.3054595, 92.7189282 26.3058159)"
1265703478,False,,residential,True,146.19799999999998,,"LINESTRING (92.7208532 26.3008998, 92.7205796 26.3012058, 92.7199304 26.3019217)"
1138670699,True,NH27,trunk,False,426.7969999999999,,"LINESTRING (92.7189282 26.3058159, 92.7188453 26.3058947, 92.7187099 26.3060125, 92.7185476 26.3061388, 92.7182123 26.3063828, 92.7177456 26.3067158, 92.7173513 26.3070116, 92.7170831 26.3072112, 92.7169208 26.3073314, 92.7165641 26.3076199, 92.7161376 26.3079793, 92.7156977 26.3083316)"
1265703479,False,,residential,True,2342.5110000000004,,"LINESTRING (92.7189282 26.3058159, 92.7183513 26.3054595, 92.7175911 26.305106, 92.7171154 26.3050331, 92.7168634 26.3050185, 92.7160747 26.3051424, 92.7148509 26.3052517, 92.7139687 26.3052444, 92.7133223 26.305095, 92.7128426 26.3048399, 92.7124645 26.3045083, 92.7116961 26.3038705, 92.7111676 26.3034696, 92.7105741 26.3029921, 92.7101065 26.3024309, 92.7097529 26.3020701, 92.7095293 26.301968, 92.7097366 26.3016473, 92.7100781 26.3009694, 92.7102854 26.3006377, 92.7104155 26.3005758, 92.7109562 26.3001785, 92.711627 26.2999015, 92.7119563 26.2999161, 92.7121312 26.3000254, 92.7123832 26.3002988, 92.7128548 26.3008637, 92.7137817 26.301363, 92.7145867 26.3017785, 92.715229 26.3019352, 92.7159649 26.3020482, 92.7166032 26.3021065, 92.7176927 26.3021502, 92.7188717 26.3021976, 92.7197214 26.3020591, 92.7199304 26.3019217)"
