osmid,ref,highway,oneway,reversed,length,geometry
1213504536,,residential,False,False,29.511,"LINESTRING (74.9987859 13.2160909, 74.9987376 13.2163521)"
1213504534,,residential,False,False,139.94099999999997,"LINESTRING (74.9987859 13.2160909, 74.9983889 13.216117, 74.9981368 13.216211, 74.9975119 13.216211)"
173957701,,tertiary,False,False,48.431,"LINESTRING (74.9975119 13.216211, 74.9975119 13.2164532, 74.9975199 13.2166464)"
173957701,,tertiary,False,True,113.88799999999999,"LINESTRING (74.9975119 13.216211, 74.9975118 13.2157491, 74.9975332 13.2153652, 74.9976916 13.2152766)"
1213504534,,residential,False,True,139.941,"LINESTRING (74.9975119 13.216211, 74.9981368 13.216211, 74.9983889 13.216117, 74.9987859 13.2160909)"
1213504535,,residential,False,True,109.617,"LINESTRING (74.9989682 13.2151212, 74.9987859 13.2160909)"
173957701,,tertiary,False,False,140.29700000000003,"LINESTRING (74.9989682 13.2151212, 74.9987751 13.2151772, 74.9981313 13.2152242, 74.9977478 13.2152451, 74.9976916 13.2152766)"
1213504536,,residential,False,True,29.511,"LINESTRING (74.9987376 13.2163521, 74.9987859 13.2160909)"
1213504537,,residential,False,False,106.655,"LINESTRING (74.9966509 13.2157253, 74.9967743 13.2163207, 74.9968011 13.2166715)"
173960638,,residential,False,False,77.969,"LINESTRING (74.9968011 13.2166715, 74.9969619 13.2166813, 74.9975199 13.2166464)"
173960638,,residential,False,True,88.771,"LINESTRING (74.9968011 13.2166715, 74.9965758 13.2166578, 74.9961788 13.2165899, 74.9960018 13.2165194)"
1213504537,,residential,False,True,106.655,"LINESTRING (74.9968011 13.2166715, 74.9967743 13.2163207, 74.9966509 13.2157253)"
1213504538,,residential,False,False,38.443,"LINESTRING (74.9956477 13.2164931, 74.9960018 13.2165194)"
1213504539,,residential,False,False,61.784,"LINESTRING (74.9956477 13.2164931, 74.9955565 13.2170416)"
1213504540,,residential,False,False,47.379,"LINESTRING (74.9956477 13.2164931, 74.9956316 13.2164513, 74.9956424 13.21607)"
1213504539,,residential,False,True,61.784,"LINESTRING (74.9955565 13.2170416, 74.9956477 13.2164931)"
1213504540,,residential,False,True,47.379,"LINESTRING (74.9956424 13.21607, 74.9956316 13.2164513, 74.9956477 13.2164931)"
155770362,,secondary,False,False,17.743,"LINESTRING (74.9975521 13.214151, 74.9974176 13.2142422)"
155770362,,secondary,False,True,198.225,"LINESTRING (74.9975521 13.214151, 74.9980184 13.2138348, 74.9990194 13.2132039, 74.9990862 13.2131822)"
1213504541,,residential,False,False,126.258,"LINESTRING (74.9975521 13.214151, 74.9976111 13.2144246, 74.9976433 13.2148895, 74.9976916 13.2152766)"
173957701,,tertiary,False,False,113.888,"LINESTRING (74.9976916 13.2152766, 74.9975332 13.2153652, 74.9975118 13.2157491, 74.9975119 13.216211)"
173957701,,tertiary,False,True,140.297,"LINESTRING (74.9976916 13.2152766, 74.9977478 13.2152451, 74.9981313 13.2152242, 74.9987751 13.2151772, 74.9989682 13.2151212)"
1213504541,,residential,False,True,126.258,"LINESTRING (74.9976916 13.2152766, 74.9976433 13.2148895, 74.9976111 13.2144246, 74.9975521 13.214151)"
1213504542,,residential,False,False,89.05799999999999,"LINESTRING (74.9967528 13.2138187, 74.9968333 13.2141739, 74.9970264 13.2145686)"
150289499,SH1,primary,False,True,55.773,"LINESTRING (74.9970264 13.2145686, 74.9974176 13.2142422)"
150289499,SH1,primary,False,False,158.053,"LINESTRING (74.9970264 13.2145686, 74.9965915 13.2149315, 74.9957742 13.2152677)"
1213504542,,residential,False,True,89.05799999999999,"LINESTRING (74.9970264 13.2145686, 74.9968333 13.2141739, 74.9967528 13.2138187)"
