osmid,highway,oneway,reversed,length,geometry,name,lanes,tunnel,ref,bridge,maxspeed
23648617,tertiary,False,False,172.27999999999997,"LINESTRING (80.1168116 12.9231364, 80.1166472 12.9225535, 80.1164393 12.9218161, 80.1164136 12.9216976, 80.1164011 12.9216399)",,,,,,
133594560,tertiary,False,False,45.212,"LINESTRING (80.1168116 12.9231364, 80.1168618 12.9232515, 80.1169188 12.9235275)",Tambaram Perungalathur Road,,,,,
133594560,tertiary,False,True,88.92,"LINESTRING (80.1168116 12.9231364, 80.1165676 12.9230966, 80.1160095 12.9229698)",Tambaram Perungalathur Road,,,,,
133594560,tertiary,False,False,88.92,"LINESTRING (80.1160095 12.9229698, 80.1165676 12.9230966, 80.1168116 12.9231364)",Tambaram Perungalathur Road,,,,,
133594560,tertiary,False,True,340.39200000000005,"LINESTRING (80.1160095 12.9229698, 80.1157226 12.9228049, 80.1137745 12.9214189, 80.1134441 12.9212065)",Tambaram Perungalathur Road,,,,,
"[443997616, 443997612, 33856350]",tertiary,False,False,207.10000000000002,"LINESTRING (80.1160095 12.9229698, 80.1158935 12.9229823, 80.1157746 12.9229378, 80.1155841 12.9228923, 80.1154119 12.9229145, 80.1153281 12.9229769, 80.1151564 12.9231874, 80.1150781 12.9232349, 80.1148771 12.923224, 80.1145213 12.923047, 80.1144049 12.9230372, 80.1143196 12.9230982)",,2,yes,,,
1113605702,primary,True,False,309.746,"LINESTRING (80.1143196 12.9230982, 80.1123275 12.9211008)",Grand Southern Trunk Road,,,SHU88,,
"[443997616, 443997612, 33856350]",tertiary,False,True,207.1,"LINESTRING (80.1143196 12.9230982, 80.1144049 12.9230372, 80.1145213 12.923047, 80.1148771 12.923224, 80.1150781 12.9232349, 80.1151564 12.9231874, 80.1153281 12.9229769, 80.1154119 12.9229145, 80.1155841 12.9228923, 80.1157746 12.9229378, 80.1158935 12.9229823, 80.1160095 12.9229698)",,2,yes,,,
24163755,residential,False,False,75.8,"LINESTRING (80.1119085 12.9258785, 80.111984 12.9265562)",,,,,,
24163755,residential,False,True,112.277,"LINESTRING (80.1119085 12.9258785, 80.1117304 12.9248838)",,,,,,
30119488,residential,False,True,69.26,"LINESTRING (80.1119085 12.9258785, 80.1125351 12.9257561)",Sivanandam Street,,,,,
30119488,residential,False,False,81.953,"LINESTRING (80.1119085 12.9258785, 80.1116236 12.9258747, 80.1114057 12.9258585, 80.1113208 12.9256265)",Sivanandam Street,,,,,
24163755,residential,False,False,112.277,"LINESTRING (80.1117304 12.9248838, 80.1119085 12.9258785)",,,,,,
102192199,unclassified,False,True,67.849,"LINESTRING (80.1117304 12.9248838, 80.1118289 12.9249225, 80.1123396 12.9248279)",,,,,,
"[102192195, 1039898430]",primary,True,False,372.82599999999996,"LINESTRING (80.1117304 12.9248838, 80.1129833 12.9246737, 80.1148345 12.924374, 80.1149713 12.9243482, 80.1151193 12.924311)",Tambaram - Mudichur - Sriperumbudur Road,,,SH110,yes,
24163755,residential,False,False,89.48,"LINESTRING (80.1120434 12.927972, 80.1120868 12.9287756)",,,,,,
24163755,residential,False,True,81.106,"LINESTRING (80.1120434 12.927972, 80.1120425 12.9272426)",,,,,,
32254469,residential,False,True,100.735,"LINESTRING (80.1120434 12.927972, 80.1116644 12.9279144, 80.1112016 12.9276322)",,,,,,
24163755,residential,False,True,89.48,"LINESTRING (80.1120868 12.9287756, 80.1120434 12.927972)",,,,,,
30119505,secondary,False,False,98.913,"LINESTRING (80.1120868 12.9287756, 80.1112792 12.9283612)",Gandhi Road,,,,,40
133594561,residential,False,False,49.811,"LINESTRING (80.1164592 12.9235289, 80.1169188 12.9235275)",,,,,,
