osmid,highway,oneway,reversed,length,geometry,ref,bridge,name
333019720,secondary,False,False,256.258,"LINESTRING (77.4632834 22.4512572, 77.4635622 22.4513001, 77.4639155 22.4513716, 77.4642957 22.451558, 77.4645973 22.451613, 77.4650617 22.4516167, 77.4653396 22.4515965, 77.4657079 22.4515968)",,,
933160777,residential,False,False,220.188,"LINESTRING (77.4666004 22.4497151, 77.4666795 22.4499067, 77.4667136 22.4500068, 77.466721 22.4500617, 77.4667233 22.4501285, 77.4667195 22.4502715, 77.4667039 22.4504206, 77.4666916 22.4508355, 77.4666916 22.4510884, 77.4666937 22.4515267, 77.4666723 22.4516743)",,,
323189018,residential,False,False,213.509,"LINESTRING (77.4656587 22.4497948, 77.4657586 22.449864, 77.4659034 22.4499979, 77.4659195 22.4503301, 77.4657371 22.4512621, 77.4657079 22.4515968)",,,
323189018,residential,False,True,96.44800000000001,"LINESTRING (77.4656587 22.4497948, 77.4656298 22.4497748, 77.4655386 22.4497302, 77.4654367 22.4495616, 77.4653884 22.4490509, 77.4653859 22.4490181)",,,
323192119,residential,False,False,252.79699999999997,"LINESTRING (77.4656587 22.4497948, 77.4643795 22.4500869, 77.4632384 22.4501335)",,,
323192119,residential,False,True,118.39,"LINESTRING (77.4656587 22.4497948, 77.466257 22.4496407, 77.4666218 22.4495713, 77.4667799 22.4495614)",,,
323189021,residential,False,False,186.298,"LINESTRING (77.4616907 22.447947, 77.4618689 22.4462797)",,,
323189021,residential,False,True,65.578,"LINESTRING (77.4616907 22.447947, 77.461628 22.4485339)",,,
933154053,residential,False,False,36.512,"LINESTRING (77.4616907 22.447947, 77.4620459 22.4479541)",,,
933154053,residential,False,False,17.193,"LINESTRING (77.4620459 22.4479541, 77.4622132 22.4479538)",,,
933154053,residential,False,True,36.512,"LINESTRING (77.4620459 22.4479541, 77.4616907 22.447947)",,,
323189029,residential,False,False,197.919,"LINESTRING (77.4620459 22.4479541, 77.462136 22.4471444, 77.4622395 22.4461832)",,,
323189029,residential,False,True,56.122,"LINESTRING (77.4620459 22.4479541, 77.4620303 22.4480941, 77.4620151 22.4484578)",,,
933154053,residential,False,True,17.193,"LINESTRING (77.4622132 22.4479538, 77.4620459 22.4479541)",,,
323192134,residential,False,True,19.061,"LINESTRING (77.4630038 22.449092, 77.4629509 22.4489277)",,,
323192134,residential,False,False,118.606,"LINESTRING (77.4630038 22.449092, 77.4630293 22.4491712, 77.4631658 22.4496215, 77.4632384 22.4501335)",,,
933160775,residential,False,False,125.61699999999999,"LINESTRING (77.4630038 22.449092, 77.4625169 22.4491393, 77.4621055 22.4491459, 77.4617844 22.4491559)",,,
933160775,residential,False,True,125.61699999999999,"LINESTRING (77.4617844 22.4491559, 77.4621055 22.4491459, 77.4625169 22.4491393, 77.4630038 22.449092)",,,
323200507,secondary,False,False,78.308,"LINESTRING (77.4647201 22.4454043, 77.4648128 22.4456718, 77.4649647 22.4460712)",MD3324,,
323200507,secondary,False,True,43.345,"LINESTRING (77.4655838 22.4474428, 77.4654298 22.4470799)",MD3324,,
323200507,secondary,False,False,270.784,"LINESTRING (77.4655838 22.4474428, 77.4657361 22.4478017, 77.4662476 22.4490559, 77.4664033 22.449238, 77.4665305 22.4493467, 77.4667095 22.449477, 77.4667799 22.4495614)",MD3324,,
1270774712,unclassified,False,False,195.28900000000002,"LINESTRING (77.4655838 22.4474428, 77.4659862 22.4473297, 77.4666109 22.447207, 77.4668763 22.447207, 77.4670745 22.4472447, 77.4671595 22.4473166, 77.4672975 22.4474327, 77.4673616 22.4474618)",,,
1270774716,residential,False,True,35.712,"LINESTRING (77.4687114 22.4496685, 77.4688919 22.4494771, 77.4689248 22.4494171)",,,
1270774717,residential,False,False,10.921,"LINESTRING (77.4678585 22.4493823, 77.467867 22.4494802)",,,
1270774713,residential,False,False,50.224999999999994,"LINESTRING (77.4678585 22.4493823, 77.4682619 22.4493675, 77.4683469 22.4493666)",,,
"[1270774713, 1270774722]",residential,False,True,115.575,"LINESTRING (77.4678585 22.4493823, 77.4678478 22.4492972, 77.4677788 22.4492171, 77.4676567 22.4491451, 77.4674037 22.4490568, 77.4672401 22.4489964, 77.4673165 22.4487)",,,
1270774715,residential,False,False,113.05999999999999,"LINESTRING (77.4678585 22.4493823, 77.4673488 22.4494379, 77.4669524 22.4495, 77.4667799 22.4495614)",,,
1270774713,residential,False,True,60.001000000000005,"LINESTRING (77.4689248 22.4494171, 77.4686335 22.4493626, 77.4683469 22.4493666)",,,
1270774716,residential,False,False,35.712,"LINESTRING (77.4689248 22.4494171, 77.4688919 22.4494771, 77.4687114 22.4496685)",,,
"[1270774712, 1270774716]","['residential', 'unclassified']",False,True,325.36,"LINESTRING (77.4689248 22.4494171, 77.4689574 22.4493577, 77.4690158 22.4489619, 77.4689928 22.4485285, 77.4690122 22.4483862, 77.4689591 22.4480117, 77.4688477 22.4477566, 77.4687875 22.447714, 77.4686088 22.4476633, 77.468223 22.4476454, 77.4677045 22.4475979, 77.4675554 22.4475428)",,,
1270774713,residential,False,False,60.001000000000005,"LINESTRING (77.4683469 22.4493666, 77.4686335 22.4493626, 77.4689248 22.4494171)",,,
1270774713,residential,False,True,50.224999999999994,"LINESTRING (77.4683469 22.4493666, 77.4682619 22.4493675, 77.4678585 22.4493823)",,,
"[1270774714, 1270774719]",residential,False,"[False, True]",97.138,"LINESTRING (77.4683469 22.4493666, 77.4683433 22.4497306, 77.4683159 22.4497299, 77.467867 22.4494802)",,,
1270774717,residential,False,True,10.921,"LINESTRING (77.467867 22.4494802, 77.4678585 22.4493823)",,,
1270774717,residential,False,False,83.187,"LINESTRING (77.467867 22.4494802, 77.4677438 22.4497935, 77.4676667 22.4502021)",,,
"[1270774714, 1270774719]",residential,False,"[False, True]",97.138,"LINESTRING (77.467867 22.4494802, 77.4683159 22.4497299, 77.4683433 22.4497306, 77.4683469 22.4493666)",,,
1270774717,residential,False,False,42.243,"LINESTRING (77.4676667 22.4502021, 77.4672878 22.4503494)",,,
1270774717,residential,False,True,83.187,"LINESTRING (77.4676667 22.4502021, 77.4677438 22.4497935, 77.467867 22.4494802)",,,
1270774718,residential,False,False,173.685,"LINESTRING (77.4676667 22.4502021, 77.4679641 22.450101, 77.4682521 22.4500611, 77.4684293 22.4500597, 77.4689592 22.4501409, 77.4693259 22.4501651)",,,
1062398300,unclassified,False,False,163.709,"LINESTRING (77.4672878 22.4503494, 77.4680044 22.4516643)",,,
1270774717,residential,False,True,42.243,"LINESTRING (77.4672878 22.4503494, 77.4676667 22.4502021)",,,
1062398300,unclassified,False,True,102.065,"LINESTRING (77.4672878 22.4503494, 77.4671855 22.4501618, 77.4667799 22.4495614)",,,
1270774718,residential,False,True,173.685,"LINESTRING (77.4693259 22.4501651, 77.4689592 22.4501409, 77.4684293 22.4500597, 77.4682521 22.4500611, 77.4679641 22.450101, 77.4676667 22.4502021)",,,
