osmid,oneway,highway,reversed,length,lanes,maxspeed,access,geometry,name,ref,tunnel
133481669,True,secondary_link,False,49.185,,,,"LINESTRING (75.9246952 14.4672287, 75.9246656 14.4676701)",,,
238085563,False,primary,False,32.674,2,50,yes,"LINESTRING (75.9246952 14.4672287, 75.9246735 14.4671273, 75.9246586 14.4670834, 75.9246083 14.4669478)",,,
82711958,False,tertiary,True,52.26,,,,"LINESTRING (75.9217584 14.4643676, 75.921873 14.4639109)",,,
82711985,False,tertiary,False,62.574,,,,"LINESTRING (75.9217584 14.4643676, 75.9223292 14.4642618)",Kuvempu Road,,
158175619,False,primary,False,80.701,,,,"LINESTRING (75.9217584 14.4643676, 75.9215674 14.4650694)",,,
133117062,True,tertiary,False,201.023,,,,"LINESTRING (75.9217584 14.4643676, 75.9209883 14.4642488, 75.9199583 14.4639914, 75.9199356 14.4639857)",,,
158175619,False,primary,True,148.794,,,,"LINESTRING (75.9210766 14.4670388, 75.9211346 14.4667801, 75.9212223 14.466423, 75.921383 14.465734)",,,
167570534,False,primary,False,118.754,,40,,"LINESTRING (75.9210766 14.4670388, 75.9201981 14.4670892, 75.9199757 14.4671038)",,SH76,
167570534,False,primary,True,152.796,,40,,"LINESTRING (75.9210766 14.4670388, 75.9214926 14.4670073, 75.9215736 14.467, 75.9224902 14.466918)",,SH76,
158175619,False,primary,True,76.521,,,,"LINESTRING (75.921383 14.465734, 75.9215674 14.4650694)",,,
97098540,False,residential,False,78.953,,,,"LINESTRING (75.921383 14.465734, 75.9217987 14.4655935, 75.9220703 14.4654871)",,,
158175619,False,primary,False,148.794,,,,"LINESTRING (75.921383 14.465734, 75.9212223 14.466423, 75.9211346 14.4667801, 75.9210766 14.4670388)",,,
158175619,False,primary,False,76.521,,,,"LINESTRING (75.9215674 14.4650694, 75.921383 14.465734)",,,
158175619,False,primary,True,80.701,,,,"LINESTRING (75.9215674 14.4650694, 75.9217584 14.4643676)",,,
97098541,False,residential,True,202.652,,,,"LINESTRING (75.9215674 14.4650694, 75.9211733 14.464977, 75.9205269 14.4648031, 75.9204116 14.4647721, 75.9203082 14.4647443, 75.9202156 14.4647194, 75.9197515 14.4645909)",,,
