osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,access,geometry
345550523,2,NH67,BADVEL ROAD,trunk,False,True,22.347,,,"LINESTRING (78.7358333 14.7258381, 78.7356287 14.7258732)"
566035617,2,,Mydukuru Main Road,primary,False,False,56.368,,,"LINESTRING (78.7329082 14.7223742, 78.7328231 14.7228744)"
566035617,2,,Mydukuru Main Road,primary,False,True,5.207,,,"LINESTRING (78.7329082 14.7223742, 78.7329161 14.722328)"
130211013,,,,unclassified,False,True,323.20799999999997,20,yes,"LINESTRING (78.7329082 14.7223742, 78.7332593 14.7226858, 78.7342054 14.7236174, 78.7344248 14.7238414, 78.734593 14.7239782, 78.7349234 14.7245082)"
566035617,2,,Mydukuru Main Road,primary,False,False,32.533,,,"LINESTRING (78.7330601 14.7215175, 78.7330098 14.721806)"
321834728,,,,residential,False,True,149.858,,,"LINESTRING (78.7330601 14.7215175, 78.7336016 14.7214933, 78.7344458 14.7213867)"
566035617,2,,Mydukuru Main Road,primary,False,False,10.737,,,"LINESTRING (78.7325557 14.724307, 78.732539 14.7244022)"
566035617,2,,Mydukuru Main Road,primary,False,True,79.736,,,"LINESTRING (78.7325557 14.724307, 78.7326918 14.7236021)"
751277733,,,,residential,False,False,78.15,,,"LINESTRING (78.7325557 14.724307, 78.7332791 14.7242403)"
"[22831661, 566035613]",2,NH67,Proddatur Mydukuru Road,trunk,True,False,319.454,,,"LINESTRING (78.7321574 14.7264393, 78.7319375 14.7264635, 78.7311852 14.7266083, 78.7292382 14.7269676)"
345550523,2,NH67,BADVEL ROAD,trunk,False,False,261.396,,,"LINESTRING (78.7321574 14.7264393, 78.7328858 14.726321, 78.7345551 14.7260537)"
345550526,2,,Mydukuru Main Road,primary,False,False,573.164,,,"LINESTRING (78.7321574 14.7264393, 78.7321441 14.726734, 78.7321331 14.7271311, 78.7320911 14.7276136, 78.7321706 14.7280172, 78.7321905 14.7283054, 78.7321684 14.7284079, 78.7320757 14.7285211, 78.7318152 14.7287239, 78.7312279 14.7290549, 78.7298106 14.7299132, 78.7294435 14.730158)"
566035617,2,,Mydukuru Main Road,primary,False,True,212.88299999999998,,,"LINESTRING (78.7321574 14.7264393, 78.7322123 14.7262064, 78.7323528 14.7255541, 78.732512 14.7245566)"
321834728,,,,residential,False,False,149.858,,,"LINESTRING (78.7344458 14.7213867, 78.7336016 14.7214933, 78.7330601 14.7215175)"
321834732,,,,residential,False,True,233.505,,,"LINESTRING (78.7351659 14.7216392, 78.7347606 14.7217211, 78.7345953 14.7217115, 78.7344556 14.7217096, 78.7342981 14.7217458, 78.7340069 14.7217686, 78.7330098 14.721806)"
566035617,2,,Mydukuru Main Road,primary,False,False,58.912,,,"LINESTRING (78.7330098 14.721806, 78.7329161 14.722328)"
566035617,2,,Mydukuru Main Road,primary,False,True,32.533,,,"LINESTRING (78.7330098 14.721806, 78.7330601 14.7215175)"
321834732,,,,residential,False,False,233.505,,,"LINESTRING (78.7330098 14.721806, 78.7340069 14.7217686, 78.7342981 14.7217458, 78.7344556 14.7217096, 78.7345953 14.7217115, 78.7347606 14.7217211, 78.7351659 14.7216392)"
