osmid,oneway,highway,reversed,length,ref,name,geometry,lanes,maxspeed,access,tunnel
150783800,False,tertiary,False,124.311,,,"LINESTRING (76.4754197 13.259824, 76.4754007 13.2609418)",,,,
167947782,False,trunk,False,119.929,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4754197 13.259824, 76.4765082 13.2596221)",,,,
167947782,False,trunk,True,92.01,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4754197 13.259824, 76.4748301 13.2599324, 76.4745855 13.2599832)",,,,
150785081,False,residential,True,159.832,,Railway Station Road,"LINESTRING (76.4765082 13.2596221, 76.4763768 13.2581904)",2,30,yes,
167947782,False,trunk,False,82.298,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4765082 13.2596221, 76.4772567 13.2594917)",,,,
167947782,False,trunk,True,119.929,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4765082 13.2596221, 76.4754197 13.259824)",,,,
167947782,False,trunk,False,24.944,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4780824 13.2593097, 76.4783116 13.2592862)",,,,
167947782,False,trunk,True,45.556,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4780824 13.2593097, 76.4776766 13.2594185)",,,,
167948695,False,residential,False,154.458,,,"LINESTRING (76.4780824 13.2593097, 76.4778791 13.2585763, 76.4777718 13.2581482, 76.477713 13.2579683)",2,20,yes,
167947782,False,trunk,False,22.789,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4714393 13.2604385, 76.471648 13.2604113)",,,,
167947782,False,trunk,True,65.436,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4714393 13.2604385, 76.4708358 13.2604739)",,,,
1013265214,False,residential,False,97.29199999999999,,,"LINESTRING (76.4714393 13.2604385, 76.4713459 13.260105, 76.4713465 13.2600744, 76.4713595 13.2600488, 76.4713607 13.2600231, 76.4712499 13.2597228, 76.4712306 13.2596761, 76.4712061 13.259605)",,,,
"[150783800, 150783789]",False,tertiary,True,155.478,,,"LINESTRING (76.4752762 13.2623317, 76.4753793 13.2617119, 76.4753828 13.2615839, 76.4753986 13.2610147, 76.4754007 13.2609418)",,,,
168967235,False,residential,False,144.202,,,"LINESTRING (76.4752762 13.2623317, 76.4748913 13.2623513, 76.4743763 13.2623983, 76.4739501 13.2624514)",2,30,yes,
150783800,False,tertiary,True,124.311,,,"LINESTRING (76.4754007 13.2609418, 76.4754197 13.259824)",,,,
150783802,False,secondary,False,257.727,,Kerekatte Road,"LINESTRING (76.4754007 13.2609418, 76.4777237 13.2614515)",,,,
"[150783800, 150783789]",False,tertiary,False,155.478,,,"LINESTRING (76.4754007 13.2609418, 76.4753986 13.2610147, 76.4753828 13.2615839, 76.4753793 13.2617119, 76.4752762 13.2623317)",,,,
167947782,False,trunk,True,24.944,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4783116 13.2592862, 76.4780824 13.2593097)",,,,
150785081,False,residential,False,159.832,,Railway Station Road,"LINESTRING (76.4763768 13.2581904, 76.4765082 13.2596221)",2,30,yes,
150785081,False,residential,True,132.143,,Railway Station Road,"LINESTRING (76.4763768 13.2581904, 76.4763011 13.2570043)",2,30,yes,
167948893,False,residential,True,59.849999999999994,,,"LINESTRING (76.4763768 13.2581904, 76.4765916 13.2581691, 76.4768223 13.2581325, 76.4769228 13.2581091)",1,20,yes,
150785081,False,residential,False,39.461,,Railway Station Road,"LINESTRING (76.4762785 13.2566501, 76.4763011 13.2570043)",2,30,yes,
167571144,False,residential,False,66.734,,,"LINESTRING (76.4762785 13.2566501, 76.4768917 13.2565873)",,20,yes,
150785081,False,residential,True,49.33,,Railway Station Road,"LINESTRING (76.4762785 13.2566501, 76.476248 13.2563315, 76.4762218 13.2562105)",2,30,yes,
167571144,False,residential,False,58.564,,,"LINESTRING (76.4773323 13.2565643, 76.4778713 13.256518)",,20,yes,
167571144,False,residential,True,47.756,,,"LINESTRING (76.4773323 13.2565643, 76.4768917 13.2565873)",,20,yes,
167948695,False,residential,True,161.482,,,"LINESTRING (76.4773323 13.2565643, 76.4774607 13.2570203, 76.4775572 13.2574067, 76.4776967 13.2579184, 76.477713 13.2579683)",2,20,yes,
167947782,False,trunk,False,45.556,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4776766 13.2594185, 76.4780824 13.2593097)",,,,
167947782,False,trunk,True,46.169,NH73,Bengaluru Honnavara Road,"LINESTRING (76.4776766 13.2594185, 76.4772567 13.2594917)",,,,
1012335459,False,residential,False,242.875,,,"LINESTRING (76.4776766 13.2594185, 76.4781527 13.261553)",,,,
