osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,junction,maxspeed,lanes
62288250,True,NH181;NH948,N.H. Road,trunk,False,51.998,"LINESTRING (76.9597276 11.0006493, 76.9598069 11.0001882)",,,,
134823126,False,,,residential,True,91.832,"LINESTRING (76.9597276 11.0006493, 76.9595289 11.0014518)",,,,
241418557,False,NH948,Sukrawarpettai Mill Road,trunk,False,137.031,"LINESTRING (76.9597276 11.0006493, 76.9609342 11.0009896)",,,,
66252738,False,,Goods Shed Road,secondary,False,87.69200000000001,"LINESTRING (76.9636592 11.0002234, 76.9639089 10.9999207, 76.964129 10.9995851)",,,,
"[22964201, 66252738]",False,,Goods Shed Road,secondary,True,146.37300000000002,"LINESTRING (76.9636592 11.0002234, 76.9633781 11.0005966, 76.9629634 11.001092, 76.9628413 11.0012657)",yes,,,
293066646,True,,,secondary_link,False,166.91400000000002,"LINESTRING (76.9636592 11.0002234, 76.9634291 11.0004384, 76.9628552 11.0011363, 76.962829 11.0011786, 76.9627905 11.0013086, 76.962738 11.0014029)",,,,
29980764,False,,,residential,False,24.317,"LINESTRING (76.9612654 11.0059815, 76.9610491 11.0059291)",,,,
1054205836,False,,Krishnasamy Road,secondary,False,272.31100000000004,"LINESTRING (76.9612654 11.0059815, 76.9618246 11.0051053, 76.9625057 11.0038582)",,,,
"[22964201, 66252738]",False,,Goods Shed Road,secondary,False,146.37300000000002,"LINESTRING (76.9628413 11.0012657, 76.9629634 11.001092, 76.9633781 11.0005966, 76.9636592 11.0002234)",yes,,,
25842789,True,NH948,Station Flyover,trunk,False,38.098,"LINESTRING (76.9628413 11.0012657, 76.9627292 11.0012314, 76.9626528 11.0012423, 76.9625842 11.0012771, 76.962531 11.001332)",yes,roundabout,,
25842789,True,NH948,Station Flyover,trunk,False,7.643,"LINESTRING (76.9629565 11.0014585, 76.9629456 11.0013906)",yes,roundabout,,
29980764,False,,,residential,False,178.571,"LINESTRING (76.9610491 11.0059291, 76.9594245 11.0057397)",,,,
29980764,False,,,residential,True,24.317,"LINESTRING (76.9610491 11.0059291, 76.9612654 11.0059815)",,,,
29980765,False,,,residential,False,194.573,"LINESTRING (76.9610491 11.0059291, 76.9607162 11.0056023, 76.9605331 11.0054716, 76.9600671 11.0053572, 76.9594681 11.0052734)",,,,
29980764,False,,,residential,True,178.571,"LINESTRING (76.9594245 11.0057397, 76.9610491 11.0059291)",,,,
1190165372,False,,,residential,True,52.301,"LINESTRING (76.9594245 11.0057397, 76.9594726 11.0054632, 76.9594681 11.0052734)",,,,
29980765,False,,,residential,False,68.45,"LINESTRING (76.9594681 11.0052734, 76.9588557 11.0051408)",,,,
29980765,False,,,residential,True,194.573,"LINESTRING (76.9594681 11.0052734, 76.9600671 11.0053572, 76.9605331 11.0054716, 76.9607162 11.0056023, 76.9610491 11.0059291)",,,,
1190165372,False,,,residential,False,52.301,"LINESTRING (76.9594681 11.0052734, 76.9594726 11.0054632, 76.9594245 11.0057397)",,,,
29982716,False,,,unclassified,False,57.107,"LINESTRING (76.9647219 11.0043925, 76.9642089 11.0042916)",,,,
"[1240466161, 29982716]",False,,Somasundar Mill Road,unclassified,"[False, True]",72.17,"LINESTRING (76.9647219 11.0043925, 76.9652058 11.004416, 76.9653077 11.0042743)",,,,
29982716,False,,,unclassified,True,57.107,"LINESTRING (76.9642089 11.0042916, 76.9647219 11.0043925)",,,,
29982716,False,,,unclassified,False,192.62900000000002,"LINESTRING (76.9642089 11.0042916, 76.9637975 11.0041674, 76.9633229 11.004087, 76.9627918 11.0039732, 76.9625057 11.0038582)",,,,
29982716,False,,,unclassified,True,192.629,"LINESTRING (76.9625057 11.0038582, 76.9627918 11.0039732, 76.9633229 11.004087, 76.9637975 11.0041674, 76.9642089 11.0042916)",,,,
1054205836,False,,Krishnasamy Road,secondary,False,235.861,"LINESTRING (76.9625057 11.0038582, 76.9629043 11.003192, 76.9630533 11.0029704, 76.9632939 11.0024806, 76.9635534 11.0020053)",,,,
1054205836,False,,Krishnasamy Road,secondary,True,272.31100000000004,"LINESTRING (76.9625057 11.0038582, 76.9618246 11.0051053, 76.9612654 11.0059815)",,,,
1046572038,False,,,unclassified,True,18.602,"LINESTRING (76.9654636 11.0022308, 76.9654929 11.002066)",,,,
