osmid,oneway,lanes,name,highway,reversed,length,ref,maxspeed,geometry,access
181053616,False,2,Harippad - Veeyapuram Road,secondary,False,29.222,,,"LINESTRING (76.4543924 9.2816175, 76.4542966 9.2818627)",
1086279046,False,2,Salem - Kochi - Kanyakumari Road,trunk,True,29.652,NH66,70,"LINESTRING (76.4543924 9.2816175, 76.4543262 9.2816199, 76.4541223 9.2816152)",
1086279047,False,2,Salem - Kochi - Kanyakumari Road,trunk,False,113.211,NH66,70,"LINESTRING (76.4543924 9.2816175, 76.4548668 9.2815813, 76.4552763 9.2815549, 76.4554213 9.2815437)",
180204450,False,,,residential,False,43.826,,,"LINESTRING (76.4544638 9.2849398, 76.4546037 9.2849799, 76.4547198 9.2850135, 76.4548512 9.2850318)",
181048883,False,1,Danapadi Road,residential,False,87.09200000000001,,,"LINESTRING (76.4544638 9.2849398, 76.4543186 9.2848766, 76.4542167 9.2848395, 76.4540933 9.2848024, 76.453986 9.2847707, 76.4538991 9.2847331, 76.4538251 9.2847019, 76.4537607 9.2846913, 76.4537167 9.2846989)",
181053616,False,2,Harippad - Veeyapuram Road,secondary,False,85.156,,,"LINESTRING (76.4544638 9.2849398, 76.4545233 9.2850652, 76.4545681 9.2851537, 76.4546785 9.2853235, 76.4548773 9.2855847)",
181053616,False,2,Harippad - Veeyapuram Road,secondary,True,161.45,,,"LINESTRING (76.4544638 9.2849398, 76.4543718 9.2846991, 76.4543115 9.2844908, 76.4542474 9.2843288, 76.4542318 9.2842536, 76.4542204 9.2841205, 76.4542228 9.2839446, 76.4542242 9.2835267)",
181053616,False,2,Harippad - Veeyapuram Road,secondary,True,31.114,,,"LINESTRING (76.4563166 9.2889384, 76.4562476 9.288667)",
963849468,False,,,residential,False,248.287,,,"LINESTRING (76.4563166 9.2889384, 76.4561935 9.2889318, 76.4560272 9.288908, 76.4558635 9.2888948, 76.4557241 9.2889107, 76.4555524 9.2889133, 76.4549142 9.2889013, 76.4542867 9.2888497, 76.4540801 9.2889424)",
181053616,False,2,Harippad - Veeyapuram Road,secondary,False,48.009,,,"LINESTRING (76.4548773 9.2855847, 76.4551459 9.2859255)",
181053616,False,2,Harippad - Veeyapuram Road,secondary,True,85.156,,,"LINESTRING (76.4548773 9.2855847, 76.4546785 9.2853235, 76.4545681 9.2851537, 76.4545233 9.2850652, 76.4544638 9.2849398)",
796503926,False,,,unclassified,False,48.916,,,"LINESTRING (76.4548773 9.2855847, 76.4549301 9.2853475, 76.4549657 9.2851536)",
181053616,False,2,Harippad - Veeyapuram Road,secondary,False,161.45,,,"LINESTRING (76.4542242 9.2835267, 76.4542228 9.2839446, 76.4542204 9.2841205, 76.4542318 9.2842536, 76.4542474 9.2843288, 76.4543115 9.2844908, 76.4543718 9.2846991, 76.4544638 9.2849398)",
181053616,False,2,Harippad - Veeyapuram Road,secondary,True,186.18200000000002,,,"LINESTRING (76.4542242 9.2835267, 76.4542667 9.2831453, 76.4542829 9.2829208, 76.4543173 9.2826417, 76.4543385 9.2823715, 76.4543325 9.2821773, 76.4543261 9.2819997, 76.4543199 9.2819237, 76.4542966 9.2818627)",
