osmid,highway,oneway,reversed,length,lanes,geometry,bridge,name
443590639,residential,False,False,25.283,,"LINESTRING (85.046763 25.6373537, 85.0467409 25.6371272)",,
1001037307,primary,False,False,16.174,2,"LINESTRING (85.046763 25.6373537, 85.0469208 25.637384)",,
1001037307,primary,False,True,71.514,2,"LINESTRING (85.046763 25.6373537, 85.0461646 25.6373335, 85.0460501 25.6373368)",,
1225608561,primary,False,True,13.386,2,"LINESTRING (85.0437137 25.6373341, 85.0435822 25.6373132)",,
1225612056,residential,False,True,137.525,,"LINESTRING (85.0437137 25.6373341, 85.042812 25.6382662)",,
"[1225608561, 713969418, 1001037307]",primary,False,False,119.73899999999999,2,"LINESTRING (85.0437137 25.6373341, 85.0438558 25.6373403, 85.0440265 25.6373289, 85.0442082 25.6373052, 85.044788 25.6373483, 85.0449031 25.6373583)",yes,
96988175,tertiary,False,False,17.31,,"LINESTRING (85.0454391 25.6350792, 85.0454566 25.635109, 85.0454697 25.6351583, 85.0454851 25.6352282)",,
96988175,tertiary,False,True,175.883,,"LINESTRING (85.0454391 25.6350792, 85.045114 25.6350206, 85.0449677 25.6349753, 85.0448267 25.6349269, 85.0445912 25.6348331, 85.0443965 25.6347447, 85.0442578 25.6346762, 85.0441279 25.6345996, 85.0438558 25.6344336)",,
443590640,residential,False,False,286.431,,"LINESTRING (85.0454391 25.6350792, 85.0454359 25.6349351, 85.0454398 25.6341965, 85.0452957 25.6325083)",,
1001037307,primary,False,False,9.396,2,"LINESTRING (85.0450085 25.6373642, 85.0451018 25.6373723)",,
1001037307,primary,False,True,10.586,2,"LINESTRING (85.0450085 25.6373642, 85.0449031 25.6373583)",,
96988175,tertiary,False,True,48.70099999999999,,"LINESTRING (85.0450085 25.6373642, 85.0450672 25.637151, 85.0451203 25.636938)",,
96988175,tertiary,False,True,50.494,,"LINESTRING (85.0438558 25.6344336, 85.0434407 25.6341764)",,
