osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,tunnel
200258254,trunk,True,False,433.519,"LINESTRING (77.7952058 13.0767611, 77.7950618 13.0766847, 77.7945939 13.0763907, 77.7934181 13.0757368, 77.7917557 13.074786)",3,NH75,Old Madras Road,80,
45475802,tertiary,False,False,14.547,"LINESTRING (77.795289 13.0766584, 77.7952058 13.0767611)",,,,,
238454051,tertiary,True,False,54.643,"LINESTRING (77.795289 13.0766584, 77.7948546 13.0764085)",,,,,
45475802,tertiary,False,True,238.06500000000003,"LINESTRING (77.795289 13.0766584, 77.7953016 13.0766286, 77.7952993 13.0764612, 77.7952657 13.0759723, 77.7951828 13.0757734, 77.7951184 13.0755435, 77.7950111 13.0749791, 77.794936 13.0745611)",,,,,
655521096,residential,False,True,69.47,"LINESTRING (77.7880666 13.0729563, 77.7878896 13.0735568)",,,,,
240285286,trunk,True,False,159.91799999999998,"LINESTRING (77.7880666 13.0729563, 77.7889554 13.073442, 77.7891433 13.0735441, 77.7893483 13.0736697)",,,National Highway 207,,
45467347,residential,False,False,56.732,"LINESTRING (77.7916129 13.0753411, 77.7918023 13.0756026, 77.7918787 13.0757776)",,,,,
45467347,residential,False,True,117.34,"LINESTRING (77.7916129 13.0753411, 77.7915448 13.0752472, 77.7913195 13.0751114, 77.7909118 13.0750278, 77.7906284 13.0750413)",,,,,
655674479,unclassified,False,False,37.417,"LINESTRING (77.7916129 13.0753411, 77.7916521 13.0752771, 77.791693 13.0752046, 77.7917104 13.0751622, 77.7917258 13.0751204, 77.7917319 13.0750792, 77.7917298 13.0750317)",,,,,
1227515345,residential,False,True,30.656,"LINESTRING (77.7929342 13.0710289, 77.7928822 13.0707579)",,,,,
215202830,residential,False,False,8.102,"LINESTRING (77.7934928 13.0706677, 77.7935036 13.0705956)",,,,,
655784587,residential,False,True,66.893,"LINESTRING (77.7934928 13.0706677, 77.7928822 13.0707579)",,,,,
215202830,residential,False,True,35.459,"LINESTRING (77.7934928 13.0706677, 77.7934575 13.0708182, 77.7934119 13.0709766)",,,,,
655784587,residential,False,False,66.893,"LINESTRING (77.7928822 13.0707579, 77.7934928 13.0706677)",,,,,
655784587,residential,False,True,41.769,"LINESTRING (77.7928822 13.0707579, 77.7928205 13.0703871)",,,,,
1227515345,residential,False,False,30.656,"LINESTRING (77.7928822 13.0707579, 77.7929342 13.0710289)",,,,,
655784587,residential,False,False,41.769,"LINESTRING (77.7928205 13.0703871, 77.7928822 13.0707579)",,,,,
655784589,residential,False,True,33.391,"LINESTRING (77.7928205 13.0703871, 77.7925131 13.0704097)",,,,,
655784587,residential,False,True,57.358999999999995,"LINESTRING (77.7928205 13.0703871, 77.7928045 13.0701144, 77.7927902 13.0698721)",,,,,
655784589,residential,False,False,78.327,"LINESTRING (77.7928205 13.0703871, 77.7931541 13.0703627, 77.7935427 13.0703654)",,,,,
215342824,residential,False,False,32.122,"LINESTRING (77.7927902 13.0698721, 77.7930848 13.0698389)",,,,,
215342824,residential,False,True,34.75,"LINESTRING (77.7927902 13.0698721, 77.7924715 13.069908)",,,,,
655784587,residential,False,False,57.358999999999995,"LINESTRING (77.7927902 13.0698721, 77.7928045 13.0701144, 77.7928205 13.0703871)",,,,,
1068162101,residential,False,True,36.292,"LINESTRING (77.7927902 13.0698721, 77.7927142 13.0695605, 77.7927088 13.0695574)",,,,,
655784589,residential,False,False,33.391,"LINESTRING (77.7925131 13.0704097, 77.7928205 13.0703871)",,,,,
655784589,residential,False,True,74.813,"LINESTRING (77.7925131 13.0704097, 77.7918248 13.0704658)",,,,,
