osmid,lanes,ref,highway,oneway,reversed,length,geometry,junction,name
970868201,2,MDR143W,secondary,False,False,35.918,"LINESTRING (77.4652654 27.4935759, 77.4652238 27.4938968)",,
672474731,2,MDR143W,secondary,True,False,77.29599999999999,"LINESTRING (77.4652654 27.4935759, 77.4653108 27.4934274, 77.4653891 27.4928906)",,
218266631,2,MDR143W,secondary,False,False,8.215,"LINESTRING (77.4650733 27.4940544, 77.4649977 27.4940854)",,
673308126,,MDR143W,secondary,True,False,20.76,"LINESTRING (77.4650733 27.4940544, 77.4650822 27.4941004, 77.465113 27.4941382, 77.4651595 27.4941601, 77.4652121 27.4941615)",roundabout,
218266632,2,MDR143W,secondary,True,False,187.267,"LINESTRING (77.4584112 27.4953136, 77.4583203 27.4969958)",,
218266648,2,MDR94W,secondary,False,True,18.479,"LINESTRING (77.4584112 27.4953136, 77.4582255 27.4952916)",,
335579803,2,MDR143W,secondary,False,True,10.276,"LINESTRING (77.4584112 27.4953136, 77.4585152 27.4953191)",,
970873283,,,secondary_link,False,False,6.373,"LINESTRING (77.4582508 27.4987753, 77.4583152 27.4987706)",,
218266632,2,MDR143W,secondary,True,False,66.31,"LINESTRING (77.4582508 27.4987753, 77.4582776 27.4989776, 77.4583084 27.4990918, 77.4583863 27.4993582)",,
971927532,,,tertiary,False,False,17.465,"LINESTRING (77.4656111 27.4952372, 77.4656516 27.4950843)",,Chhatikara-Govardan Road
971927532,,,tertiary,False,True,52.975,"LINESTRING (77.4656111 27.4952372, 77.4654441 27.49569)",,Chhatikara-Govardan Road
678435779,,,residential,False,False,97.19600000000001,"LINESTRING (77.4656111 27.4952372, 77.4658796 27.4958136, 77.4659874 27.496013, 77.4660017 27.4960394)",,
971927532,,,tertiary,False,False,48.951,"LINESTRING (77.4656809 27.4971389, 77.4655809 27.4967077)",,Chhatikara-Govardan Road
971927532,,,tertiary,False,True,8.324,"LINESTRING (77.4656809 27.4971389, 77.4657059 27.4972104)",,Chhatikara-Govardan Road
"[973475970, 335565204]",,,residential,False,False,36.499,"LINESTRING (77.4656809 27.4971389, 77.4653924 27.4972385, 77.4653371 27.4972602)",,
335565210,,,residential,False,False,29.466,"LINESTRING (77.4661702 27.4984923, 77.46592 27.4986371)",,
971927532,,,tertiary,False,False,108.387,"LINESTRING (77.4661702 27.4984923, 77.4660573 27.4981773, 77.4658633 27.4975565)",,Chhatikara-Govardan Road
335534881,,,residential,False,False,35.638,"LINESTRING (77.4591582 27.494205, 77.4594363 27.4944096)",,
335534881,,,residential,False,True,29.041999999999998,"LINESTRING (77.4591582 27.494205, 77.4591114 27.4941789, 77.4590252 27.4941303, 77.4589166 27.4940562)",,
973462125,,,residential,False,False,79.358,"LINESTRING (77.4591582 27.494205, 77.4594051 27.4939465, 77.4596825 27.4936637)",,
