osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,access
387919867,NH2,Tedim Rd,trunk,False,False,29.06,,"LINESTRING (93.6999537 24.3460165, 93.700068 24.3462562)",,
676861475,NH102B,Tedim Rd,trunk,False,True,262.599,,"LINESTRING (93.6999537 24.3460165, 93.6989446 24.3438412)",,
174064312,NH2,Tipaimukh Road,trunk,False,True,323.135,2,"LINESTRING (93.6999537 24.3460165, 93.6995725 24.3461483, 93.6994784 24.3461456, 93.6993771 24.3461084, 93.6982607 24.3454218, 93.6973181 24.3446996)",,
387917639,,,residential,False,True,60.254,,"LINESTRING (93.700068 24.3462562, 93.7006195 24.3460533)",,
387917651,,Rengkai Rd,primary,False,False,151.611,,"LINESTRING (93.700068 24.3462562, 93.7009429 24.34515)",40,
387919867,NH2,Tedim Rd,trunk,False,True,29.06,,"LINESTRING (93.700068 24.3462562, 93.6999537 24.3460165)",,
387919867,NH2,Tedim Rd,trunk,False,False,85.747,,"LINESTRING (93.700068 24.3462562, 93.7001673 24.346443, 93.7002905 24.3466747, 93.7004218 24.3469216, 93.700437 24.3469502)",,
387917662,,,residential,False,False,93.017,,"LINESTRING (93.6989866 24.3415429, 93.698961 24.3407067)",,
676861476,,Nehru Marg,tertiary,False,False,127.669,2,"LINESTRING (93.6989866 24.3415429, 93.7002455 24.3414913)",40,
676861476,,Nehru Marg,tertiary,False,True,117.67699999999999,2,"LINESTRING (93.6989866 24.3415429, 93.6982629 24.3415859, 93.6980776 24.3416059, 93.6978435 24.3416851)",40,
387917668,,,residential,False,True,118.697,,"LINESTRING (93.7002144 24.3424138, 93.7002668 24.3434802)",,
387917670,,,residential,False,False,104.991,,"LINESTRING (93.7002144 24.3424138, 93.7012499 24.3424517)",,
387917668,,,residential,False,False,102.686,,"LINESTRING (93.7002144 24.3424138, 93.7002116 24.3419855, 93.7002455 24.3414913)",,
387917670,,,residential,False,True,104.991,,"LINESTRING (93.7012499 24.3424517, 93.7002144 24.3424138)",,
693882032,,,living_street,False,False,106.154,,"LINESTRING (93.7012499 24.3424517, 93.7012666 24.3422215, 93.7012936 24.341849, 93.7013189 24.3414991)",,
174064312,NH2,Tipaimukh Road,trunk,False,True,165.937,2,"LINESTRING (93.6952336 24.3431392, 93.6939603 24.3422005)",,
174064312,NH2,Tipaimukh Road,trunk,False,False,189.61100000000002,2,"LINESTRING (93.6952336 24.3431392, 93.696504 24.3440758, 93.6966857 24.344215)",,
387917664,,IB Road,tertiary,False,False,182.43,,"LINESTRING (93.6952336 24.3431392, 93.695468 24.3429434, 93.695782 24.3427488, 93.6966998 24.3421915)",,
387917664,,IB Road,tertiary,False,True,83.209,,"LINESTRING (93.6952336 24.3431392, 93.6950007 24.3431866, 93.6946151 24.3431799, 93.6944233 24.3431388)",,
387917678,,,residential,False,True,47.916,,"LINESTRING (93.7011831 24.343445, 93.7007114 24.3434766)",,
387917678,,,residential,False,False,47.916,,"LINESTRING (93.7007114 24.3434766, 93.7011831 24.343445)",,
387917678,,,residential,False,True,45.044,,"LINESTRING (93.7007114 24.3434766, 93.7002668 24.3434802)",,
387917675,,,residential,False,True,213.588,,"LINESTRING (93.7007114 24.3434766, 93.7006195 24.3442964, 93.7006417 24.3445667, 93.7005157 24.3449248, 93.7009429 24.34515)",,
387917668,,,residential,False,False,118.697,,"LINESTRING (93.7002668 24.3434802, 93.7002144 24.3424138)",,
387917678,,,residential,False,False,45.044,,"LINESTRING (93.7002668 24.3434802, 93.7007114 24.3434766)",,
387917678,,,residential,False,True,141.374,,"LINESTRING (93.7002668 24.3434802, 93.6996702 24.3435464, 93.6989446 24.3438412)",,
387917651,,Rengkai Rd,primary,False,True,182.646,,"LINESTRING (93.7019968 24.3438173, 93.7009429 24.34515)",40,
676861475,NH102B,Tedim Rd,trunk,False,False,262.599,,"LINESTRING (93.6989446 24.3438412, 93.6999537 24.3460165)",,
387917678,,,residential,False,False,141.374,,"LINESTRING (93.6989446 24.3438412, 93.6996702 24.3435464, 93.7002668 24.3434802)",,
676861475,NH102B,Tedim Rd,trunk,False,True,264.44399999999996,,"LINESTRING (93.6989446 24.3438412, 93.6985093 24.3430168, 93.6983465 24.3426981, 93.6978435 24.3416851)",,
387917651,,Rengkai Rd,primary,False,False,182.646,,"LINESTRING (93.7009429 24.34515, 93.7019968 24.3438173)",40,
387917651,,Rengkai Rd,primary,False,True,151.611,,"LINESTRING (93.7009429 24.34515, 93.700068 24.3462562)",40,
387917675,,,residential,False,False,213.58800000000002,,"LINESTRING (93.7009429 24.34515, 93.7005157 24.3449248, 93.7006417 24.3445667, 93.7006195 24.3442964, 93.7007114 24.3434766)",,
