osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,tunnel
31886646,MEX 119,Carretera Federal Puebla-Tlaxcala,primary,False,False,72.534,,"LINESTRING (-98.2402571 19.2167151, -98.2406819 19.2162007)",
31886646,MEX 119,Carretera Federal Puebla-Tlaxcala,primary,False,True,23.37,,"LINESTRING (-98.2402571 19.2167151, -98.2401258 19.2168848)",
848541255,,Avenida Benito Juárez Poniente,residential,False,False,65.018,40,"LINESTRING (-98.2402571 19.2167151, -98.2407812 19.2170265)",
848554144,,Avenida Benito Juárez Oriente,residential,True,False,48.343,40,"LINESTRING (-98.2402571 19.2167151, -98.2398489 19.216514)",
31886664,MEX 119,Carretera Federal Puebla-Tlaxcala,primary,True,False,14.006,,"LINESTRING (-98.2414835 19.2150231, -98.2415435 19.2149106)",
31886646,MEX 119,Carretera Federal Puebla-Tlaxcala,primary,False,True,69.473,,"LINESTRING (-98.2414835 19.2150231, -98.2412909 19.2153888, -98.2411608 19.2155669)",
31886646,MEX 119,Carretera Federal Puebla-Tlaxcala,primary,False,False,23.37,,"LINESTRING (-98.2401258 19.2168848, -98.2402571 19.2167151)",
104423032,,Calle Progreso,residential,False,True,61.414,40,"LINESTRING (-98.2401258 19.2168848, -98.240069 19.2174345)",
31886646,MEX 119,Carretera Federal Puebla-Tlaxcala,primary,False,True,358.17199999999997,,"LINESTRING (-98.2401258 19.2168848, -98.2398886 19.2172479, -98.2397126 19.2176855, -98.2396708 19.2179653, -98.2396216 19.2182855, -98.2396414 19.218714, -98.239748 19.2192918, -98.2399055 19.2199808)",
913110975,,Avenida Libertad Norte,secondary,False,True,100.759,,"LINESTRING (-98.2394929 19.2135719, -98.2389536 19.2143214)",
913769508,,Avenida 16 de Septiembre,secondary,False,True,54.746,,"LINESTRING (-98.2394929 19.2135719, -98.2393024 19.2131136)",
848603463,,Avenida 16 de Septiembre,residential,False,False,161.477,,"LINESTRING (-98.2394929 19.2135719, -98.2396415 19.2137632, -98.24046 19.2147006)",
934028768,,Avenida Libertad Norte,secondary,False,False,27.47,,"LINESTRING (-98.2385062 19.2149511, -98.2386485 19.2147438)",
934028768,,Avenida Libertad Norte,secondary,False,True,15.46,,"LINESTRING (-98.2385062 19.2149511, -98.2384144 19.2150598)",
31446686,,Avenida Independencia,secondary,True,False,267.43199999999996,,"LINESTRING (-98.2385062 19.2149511, -98.2391238 19.2152829, -98.2397459 19.2156471, -98.2406819 19.2162007)",
848562310,,Avenida Libertad Norte,secondary,False,True,58.927,,"LINESTRING (-98.2384144 19.2150598, -98.2381108 19.2155055)",
848576977,,Avenida Ignacio Zaragoza,secondary,False,False,118.607,,"LINESTRING (-98.2384144 19.2150598, -98.2373232 19.2147841)",
934028768,,Avenida Libertad Norte,secondary,False,False,15.46,,"LINESTRING (-98.2384144 19.2150598, -98.2385062 19.2149511)",
913110975,,Avenida Libertad Norte,secondary,False,False,100.759,,"LINESTRING (-98.2389536 19.2143214, -98.2394929 19.2135719)",
934028768,,Avenida Libertad Norte,secondary,False,True,56.854,,"LINESTRING (-98.2389536 19.2143214, -98.2386485 19.2147438)",
31447148,,Avenida Lerdo de Tejada Poniente,secondary,True,False,38.822,40,"LINESTRING (-98.2411608 19.2155669, -98.2408413 19.2153912)",
31886646,MEX 119,Carretera Federal Puebla-Tlaxcala,primary,False,False,69.473,,"LINESTRING (-98.2411608 19.2155669, -98.2412909 19.2153888, -98.2414835 19.2150231)",
31886646,MEX 119,Carretera Federal Puebla-Tlaxcala,primary,False,True,35.665,,"LINESTRING (-98.2411608 19.2155669, -98.2410597 19.2156976, -98.2409631 19.2158277)",
31447159,,Calle Estrella Norte,residential,True,False,72.542,40,"LINESTRING (-98.2427752 19.2164348, -98.2431833 19.2159084)",
848538566,,Avenida Lerdo de Tejada Poniente,residential,True,False,135.869,40,"LINESTRING (-98.2427752 19.2164348, -98.2416554 19.2158225)",
31447159,,Calle Estrella Norte,residential,True,False,139.804,40,"LINESTRING (-98.2401181 19.219885, -98.2408877 19.218859)",
31447293,,Calle Emperador,residential,False,False,16.358,40,"LINESTRING (-98.2401181 19.219885, -98.239976 19.2198247)",
