osmid,oneway,name,highway,reversed,length,geometry
870593985,False,José María Morelos y Pavón,residential,False,228.125,"LINESTRING (-90.8044659 19.0621993, -90.8044399 19.0611642, -90.8044143 19.0601483)"
870591149,True,Alfredo V. Bonfil,secondary,False,112.631,"LINESTRING (-90.8044984 19.0631942, -90.803427 19.0632177)"
870593985,False,José María Morelos y Pavón,residential,False,110.681,"LINESTRING (-90.8044984 19.0631942, -90.8044659 19.0621993)"
870593985,False,José María Morelos y Pavón,residential,True,12.205,"LINESTRING (-90.8044984 19.0631942, -90.8044878 19.0633035)"
870591148,True,Alfredo V. Bonfil,secondary,False,113.242,"LINESTRING (-90.8044878 19.0633035, -90.8055651 19.0632837)"
870593985,False,José María Morelos y Pavón,residential,False,12.205,"LINESTRING (-90.8044878 19.0633035, -90.8044984 19.0631942)"
870593985,False,José María Morelos y Pavón,residential,True,111.98,"LINESTRING (-90.8044878 19.0633035, -90.8045234 19.06431)"
870593985,False,José María Morelos y Pavón,residential,False,111.98,"LINESTRING (-90.8045234 19.06431, -90.8044878 19.0633035)"
870593985,False,José María Morelos y Pavón,residential,True,116.104,"LINESTRING (-90.8045234 19.06431, -90.8045476 19.0653539)"
1225212317,False,Parcela Escolar,residential,False,112.713,"LINESTRING (-90.8045234 19.06431, -90.8034512 19.0643328)"
1225212317,False,Parcela Escolar,residential,True,111.872,"LINESTRING (-90.8045234 19.06431, -90.8055876 19.0642874)"
870593975,False,Unidad de Dotación,residential,False,113.878,"LINESTRING (-90.8045476 19.0653539, -90.8056308 19.0653272)"
870593975,False,Unidad de Dotación,residential,True,111.505,"LINESTRING (-90.8045476 19.0653539, -90.8034868 19.0653728)"
870593985,False,José María Morelos y Pavón,residential,False,116.104,"LINESTRING (-90.8045476 19.0653539, -90.8045234 19.06431)"
934165751,False,Francisco Villa,residential,True,102.833,"LINESTRING (-90.8108158 19.0600771, -90.8098382 19.0600387)"
870593968,False,Lázaro Cárdenas,residential,False,103.956,"LINESTRING (-90.8087794 19.0601246, -90.8088043 19.0610592)"
870593968,False,Lázaro Cárdenas,residential,True,121.15299999999999,"LINESTRING (-90.8087794 19.0601246, -90.8087771 19.0600396, -90.8087502 19.0590354)"
934165751,False,Francisco Villa,residential,False,111.99000000000001,"LINESTRING (-90.8087794 19.0601246, -90.8092989 19.0600454, -90.8098382 19.0600387)"
870593977,False,Alfredo V. Bonfil,secondary,True,110.458,"LINESTRING (-90.8066278 19.0628203, -90.8076787 19.0628062)"
875326347,False,Venustiano Carranza,tertiary,True,75.295,"LINESTRING (-90.8066278 19.0628203, -90.8065991 19.0621437)"
1225212074,False,Venustiano Carranza,secondary,False,36.389,"LINESTRING (-90.8066278 19.0628203, -90.8066341 19.0631475)"
934165754,False,,tertiary_link,True,10.892,"LINESTRING (-90.8077577 19.0658277, -90.8078612 19.0658226)"
870591158,True,Emiliano Zapata,tertiary,False,65.972,"LINESTRING (-90.8078612 19.0658226, -90.807845 19.0652295)"
934165754,False,,tertiary_link,False,10.892,"LINESTRING (-90.8078612 19.0658226, -90.8077577 19.0658277)"
870591155,False,Emiliano Zapata,tertiary,True,93.696,"LINESTRING (-90.8076236 19.0589757, -90.8076029 19.0581333)"
999305799,True,Emiliano Zapata,tertiary,False,10.749,"LINESTRING (-90.8076236 19.0589757, -90.8075799 19.0590631)"
870591155,False,Emiliano Zapata,tertiary,False,93.696,"LINESTRING (-90.8076029 19.0581333, -90.8076236 19.0589757)"
870591155,False,Emiliano Zapata,tertiary,True,9.043,"LINESTRING (-90.8076029 19.0581333, -90.8076009 19.058052)"
934271697,False,Luis Cabrera,residential,True,121.23500000000001,"LINESTRING (-90.8076029 19.0581333, -90.8083863 19.0580616, -90.8087524 19.0580768)"
870593968,False,Lázaro Cárdenas,residential,False,106.592,"LINESTRING (-90.8087524 19.0580768, -90.8087502 19.0590354)"
934271697,False,Luis Cabrera,residential,False,121.23500000000001,"LINESTRING (-90.8087524 19.0580768, -90.8083863 19.0580616, -90.8076029 19.0581333)"
